date,timestamp_utc,Long Liquidations USD
2018-12-28,2018-12-28T00:00:00Z,165.08373
2018-12-29,2018-12-29T00:00:00Z,16318.589260399996
2018-12-30,2018-12-30T00:00:00Z,42359.05511817473
2018-12-31,2018-12-31T00:00:00Z,87987.82332422472
2019-01-01,2019-01-01T00:00:00Z,15920.989941850004
2019-01-02,2019-01-02T00:00:00Z,65700.81996749996
2019-01-03,2019-01-03T00:00:00Z,552925.1972129749
2019-01-04,2019-01-04T00:00:00Z,286256.0020960752
2019-01-05,2019-01-05T00:00:00Z,223436.0517646008
2019-01-06,2019-01-06T00:00:00Z,164640.43620830015
2019-01-07,2019-01-07T00:00:00Z,79907.09553385002
2019-01-08,2019-01-08T00:00:00Z,99010.26145144996
2019-01-09,2019-01-09T00:00:00Z,36223.17130117502
2019-01-10,2019-01-10T00:00:00Z,680187.9703184515
2019-01-11,2019-01-11T00:00:00Z,315936.9358008482
2019-01-12,2019-01-12T00:00:00Z,17397.8534097
2019-01-13,2019-01-13T00:00:00Z,178839.25145205017
2019-01-14,2019-01-14T00:00:00Z,53453.09535067521
2019-01-15,2019-01-15T00:00:00Z,344589.68738745095
2019-01-16,2019-01-16T00:00:00Z,48177.62973482501
2019-01-17,2019-01-17T00:00:00Z,82236.24593162492
2019-01-18,2019-01-18T00:00:00Z,68169.415041925
2019-01-19,2019-01-19T00:00:00Z,16098.322196100034
2019-01-20,2019-01-20T00:00:00Z,278089.28428262635
2019-01-21,2019-01-21T00:00:00Z,106885.3326689001
2019-01-22,2019-01-22T00:00:00Z,100709.19675375012
2019-01-23,2019-01-23T00:00:00Z,13415.902432550018
2019-01-24,2019-01-24T00:00:00Z,83291.6818647003
2019-01-25,2019-01-25T00:00:00Z,79727.69746189963
2019-01-26,2019-01-26T00:00:00Z,1618.101337500005
2019-01-27,2019-01-27T00:00:00Z,219248.9878041748
2019-01-28,2019-01-28T00:00:00Z,400996.7741730008
2019-01-29,2019-01-29T00:00:00Z,26794.95829262511
2019-01-30,2019-01-30T00:00:00Z,27673.65876872502
2019-01-31,2019-01-31T00:00:00Z,55931.80684777488
2019-02-01,2019-02-01T00:00:00Z,39795.599889549965
2019-02-02,2019-02-02T00:00:00Z,1583.1541125
2019-02-03,2019-02-03T00:00:00Z,32132.26576212493
2019-02-04,2019-02-04T00:00:00Z,4167.4412609
2019-02-05,2019-02-05T00:00:00Z,6146.926489250033
2019-02-06,2019-02-06T00:00:00Z,167668.26037309912
2019-02-07,2019-02-07T00:00:00Z,0.3475776
2019-02-08,2019-02-08T00:00:00Z,11931.559290075
2019-02-09,2019-02-09T00:00:00Z,42707.68796019986
2019-02-10,2019-02-10T00:00:00Z,11409.767683199983
2019-02-11,2019-02-11T00:00:00Z,11038.931790249995
2019-02-12,2019-02-12T00:00:00Z,40068.54111612502
2019-02-13,2019-02-13T00:00:00Z,103390.5417036
2019-02-14,2019-02-14T00:00:00Z,52123.0670468
2019-02-15,2019-02-15T00:00:00Z,1149.917775
2019-02-16,2019-02-16T00:00:00Z,0.0
