date,Chain,TVL
2020-09-13,Ethereum,8164805165
2020-09-13,Tron,125330244
2020-09-20,Celo,215149178
2020-09-20,Ethereum,9363150422
2020-09-20,Tron,298293172
2020-09-27,Celo,263163891
2020-09-27,Ethereum,9745048400
2020-09-27,Tron,297124970
2020-10-04,AB,313238
2020-10-04,Ethereum,9470427073
2020-10-04,Tron,213589099
2020-10-04,Tezos,226452
2020-10-04,Celo,229534376
2020-10-11,AB,288368
2020-10-11,Celo,232459529
2020-10-11,Ethereum,9438525994
2020-10-11,Polygon,142895
2020-10-11,Tezos,291721
2020-10-11,Tron,199975897
2020-10-18,AB,283174
2020-10-18,Celo,218348131
2020-10-18,Ethereum,9275673126
2020-10-18,Polygon,404151
2020-10-18,Tezos,304222
2020-10-18,Tron,209809794
2020-10-25,Celo,211318798
2020-10-25,Ethereum,9694397747
2020-10-25,AB,351730
2020-10-25,Tron,218394195
2020-10-25,Polygon,428317
2020-10-25,Tezos,287185
2020-11-01,AB,194758
2020-11-01,BSC,12873962
2020-11-01,Celo,178404470
2020-11-01,Ethereum,9459029754
2020-11-01,Kava,23136565
2020-11-01,Polygon,830989
2020-11-01,Tezos,271020
2020-11-01,Tron,203796585
2020-11-08,AB,282153
2020-11-08,BSC,17966420
2020-11-08,Celo,180976401
2020-11-08,Ethereum,10106141591
2020-11-08,Kava,37017328
2020-11-08,Polygon,613908
2020-11-08,Tezos,329117
2020-11-08,Tron,166612807
2020-11-15,AB,358065
2020-11-15,BSC,49405387
2020-11-15,Celo,187310984
2020-11-15,Kava,132330977
2020-11-15,Tron,168000409
2020-11-15,Polygon,605354
2020-11-15,Terra Classic,2647373
2020-11-15,Tezos,403990
2020-11-15,Ethereum,11257705890
2020-11-22,Celo,191040801
2020-11-22,Ethereum,11912858151
2020-11-22,AB,356053
2020-11-22,BSC,93928146
2020-11-22,Kava,63421706
2020-11-22,Tezos,507396
2020-11-22,Tron,156834246
2020-11-22,Polygon,558301
2020-11-22,Terra Classic,2783460
2020-11-29,Kava,70124670
2020-11-29,Ethereum,10983905436
2020-11-29,BSC,121709567
2020-11-29,AB,440751
2020-11-29,Celo,190640982
2020-11-29,Tron,149248530
2020-11-29,Tezos,475208
2020-11-29,Polygon,540783
2020-11-29,Wanchain,9558
2020-11-29,Terra Classic,2919039
2020-12-06,BSC,149960583
2020-12-06,Kava,79250700
2020-12-06,Celo,192441345
2020-12-06,Ethereum,12327091156
2020-12-06,AB,426805
2020-12-06,Polygon,450965
2020-12-06,Terra Classic,44113129
2020-12-06,Wanchain,344852
2020-12-06,Tezos,543520
2020-12-06,Tron,142016901
2020-12-13,Terra Classic,50147586
2020-12-13,Tezos,588914
2020-12-13,Tron,138354916
2020-12-13,Wanchain,544944
2020-12-13,AB,453072
2020-12-13,BSC,156233625
2020-12-13,Celo,177111225
2020-12-13,Ethereum,12031722306
2020-12-13,Kava,81762935
2020-12-13,Polygon,394490
2020-12-20,Celo,175273677
2020-12-20,Kava,91088025
2020-12-20,AB,377262
2020-12-20,Ethereum,13729571479
2020-12-20,BSC,181482489
2020-12-20,Polygon,451850
2020-12-20,Tron,149456248
2020-12-20,Wanchain,657127
2020-12-20,Terra Classic,44663442
2020-12-20,Tezos,794775
2020-12-27,AB,317904
2020-12-27,BSC,147884467
2020-12-27,Celo,152747054
2020-12-27,Ethereum,14018583650
2020-12-27,Kava,90822290
2020-12-27,Polygon,347114
2020-12-27,Terra Classic,48681396
2020-12-27,Tezos,679544
2020-12-27,Tron,135014400
2020-12-27,Wanchain,1951699
2021-01-03,Celo,157386845
2021-01-03,Ethereum,15242808981
2021-01-03,AB,365737
2021-01-03,BSC,161915736
2021-01-03,Kava,93227071
2021-01-03,Polygon,319409
2021-01-03,Tron,131724037
2021-01-03,Wanchain,2868511
2021-01-03,Terra Classic,53337735
2021-01-03,Tezos,780327
2021-01-10,Heco,683997
2021-01-10,Ethereum,21517822149
2021-01-10,AB,378836
2021-01-10,Terra Classic,49047198
2021-01-10,Tezos,1051550
2021-01-10,BSC,218092727
2021-01-10,Kava,97755960
2021-01-10,Tron,160271749
2021-01-10,Polygon,376600
2021-01-10,Wanchain,3739296
2021-01-10,Celo,243098649
2021-01-17,AB,361521
2021-01-17,BSC,212640530
2021-01-17,Celo,233954211
2021-01-17,Ethereum,21699964413
2021-01-17,Heco,12764101
2021-01-17,Kava,104514513
2021-01-17,Polygon,1019493
2021-01-17,Terra Classic,59562090
2021-01-17,Tezos,948620
2021-01-17,Tron,152702103
2021-01-17,Wanchain,4049443
2021-01-24,AB,327905
2021-01-24,BSC,258047019
2021-01-24,Celo,339694698
2021-01-24,Ethereum,21933130297
2021-01-24,Heco,579561071
2021-01-24,Kava,99610893
2021-01-24,Ontology,94548326
2021-01-24,Polygon,2928082
2021-01-24,Terra Classic,67253572
2021-01-24,Tezos,1084986
2021-01-24,Tron,148975617
2021-01-24,Wanchain,3423828
2021-01-31,Heco,910267676
2021-01-31,Kava,110087384
2021-01-31,AB,341241
2021-01-31,BSC,365040694
2021-01-31,Celo,332661961
2021-01-31,Ethereum,24942392185
2021-01-31,Terra Classic,87836633
2021-01-31,Tezos,1032890
2021-01-31,Tron,161241935
2021-01-31,Wanchain,3798634
2021-01-31,Ontology,88289674
2021-01-31,Polygon,5032785
2021-02-07,AB,451815
2021-02-07,Avalanche,6723694
2021-02-07,BSC,524049083
2021-02-07,Celo,351523743
2021-02-07,Ethereum,33052913390
2021-02-07,Heco,1097577868
2021-02-07,Kava,138151394
2021-02-07,Ontology,95406867
2021-02-07,Polygon,4769260
2021-02-07,Terra Classic,106985188
2021-02-07,Tezos,1174801
2021-02-07,Tron,182621582
2021-02-07,Wanchain,6229877
2021-02-14,Ontology,122144738
2021-02-14,Heco,1062490401
2021-02-14,AB,838973
2021-02-14,Avalanche,54185280
2021-02-14,BSC,967595659
2021-02-14,Polygon,9180200
2021-02-14,Celo,556933168
2021-02-14,Terra Classic,128947042
2021-02-14,Tezos,1727156
2021-02-14,Tron,272139486
2021-02-14,Wanchain,10835767
2021-02-14,Kava,210056331
2021-02-14,Ethereum,38208944559
2021-02-21,BSC,2059314971
2021-02-21,Gnosis,114
2021-02-21,Ethereum,41653145633
2021-02-21,Heco,1510544086
2021-02-21,AB,1141168
2021-02-21,Avalanche,271346292
2021-02-21,Celo,632402876
2021-02-21,Tron,1281723850
2021-02-21,Tezos,9
2021-02-21,Wanchain,11913636
2021-02-21,Kava,275465054
2021-02-21,Ontology,136789575
2021-02-21,Terra Classic,174015970
2021-02-21,Polygon,21273751
2021-02-28,Gnosis,33315
2021-02-28,Avalanche,201175113
2021-02-28,BSC,2087097041
2021-02-28,Celo,463482746
2021-02-28,Tron,1207533153
2021-02-28,Fantom,598083
2021-02-28,Ontology,137507925
2021-02-28,Ethereum,33903934616
2021-02-28,Kava,247880709
2021-02-28,Heco,2134946416
2021-02-28,Polygon,67170337
2021-02-28,Terra Classic,188121656
2021-02-28,Tezos,30
2021-02-28,Wanchain,10884558
2021-02-28,AB,1300497
2021-03-07,AB,1388897
2021-03-07,Avalanche,203825308
2021-03-07,BSC,2186451462
2021-03-07,Celo,448396694
2021-03-07,Ethereum,38169212325
2021-03-07,Fantom,653749
2021-03-07,Gnosis,5585070
2021-03-07,Heco,2102706297
2021-03-07,Kava,244264242
2021-03-07,Ontology,160967619
2021-03-07,Polygon,96570157
2021-03-07,Terra Classic,226358719
2021-03-07,Tezos,1451361
2021-03-07,Tron,1521916933
2021-03-07,Wanchain,12166459
2021-03-14,AB,1408239
2021-03-14,Avalanche,298240601
2021-03-14,BSC,3055817777
2021-03-14,Celo,479654471
2021-03-14,Ethereum,44030977766
2021-03-14,Fantom,661405
2021-03-14,Gnosis,7077206
2021-03-14,Harmony,1471751
2021-03-14,Heco,1931735636
2021-03-14,Kava,296621073
2021-03-14,Ontology,179611865
2021-03-14,Polygon,118433758
2021-03-14,Terra Classic,300575198
2021-03-14,Tezos,1634828
2021-03-14,Tron,1665247439
2021-03-14,Wanchain,18002835
2021-03-21,Gnosis,7333100
2021-03-21,Harmony,2943352
2021-03-21,AB,1906707
2021-03-21,Avalanche,250108838
2021-03-21,BSC,3151186884
2021-03-21,Bitcoin,64933229
2021-03-21,Celo,481854667
2021-03-21,Ethereum,45133042777
2021-03-21,Fantom,746152
2021-03-21,Ontology,214727364
2021-03-21,Polygon,119270741
2021-03-21,Solana,151935325
2021-03-21,Terra Classic,474870097
2021-03-21,Tezos,1388655
2021-03-21,Tron,2148942535
2021-03-21,Wanchain,21497828
2021-03-21,Heco,2270635077
2021-03-21,Kava,271613950
2021-03-28,AB,1955288
2021-03-28,Avalanche,212136787
2021-03-28,BSC,4356516123
2021-03-28,Bitcoin,64748628
2021-03-28,Celo,410682656
2021-03-28,Energi,10910857
2021-03-28,Ethereum,41813961457
2021-03-28,Fantom,870924
2021-03-28,Heco,1648851577
2021-03-28,Gnosis,5889901
2021-03-28,Harmony,20333774
2021-03-28,Kava,238330562
2021-03-28,Ontology,224816112
2021-03-28,Polygon,116591055
2021-03-28,Solana,172583244
2021-03-28,Terra Classic,534672951
2021-03-28,Tezos,1375397
2021-03-28,Tron,2091160645
2021-03-28,Wanchain,21382298
2021-04-04,AB,2761787
2021-04-04,Avalanche,206886325
2021-04-04,BSC,6908328757
2021-04-04,Gnosis,27790366
2021-04-04,Wanchain,32408420
2021-04-04,Energi,10777877
2021-04-04,Ethereum,54745552496
2021-04-04,Fantom,3816911
2021-04-04,Terra Classic,612459525
2021-04-04,Celo,534974667
2021-04-04,Heco,1944354720
2021-04-04,Kava,262258663
2021-04-04,Ontology,250803870
2021-04-04,Polygon,124779815
2021-04-04,Bitcoin,66759527
2021-04-04,Harmony,26828431
2021-04-04,Tezos,1242692
2021-04-04,Tron,3171574631
2021-04-04,Solana,236512420
2021-04-11,Ethereum,56773205928
2021-04-11,Fantom,7764913
2021-04-11,AB,2977879
2021-04-11,Avalanche,226624946
2021-04-11,BSC,9263467924
2021-04-11,Bitcoin,72281441
2021-04-11,Celo,514540822
2021-04-11,Energi,10703910
2021-04-11,Gnosis,44570421
2021-04-11,Harmony,23851795
2021-04-11,Ontology,299832008
2021-04-11,Polygon,137419644
2021-04-11,Solana,647826457
2021-04-11,Terra Classic,2642564119
2021-04-11,Tezos,1531956
2021-04-11,Tron,3686264320
2021-04-11,Heco,2151323142
2021-04-11,Kava,335588813
2021-04-11,Wanchain,47087159
2021-04-18,BSC,12037209877
2021-04-18,Fantom,10530356
2021-04-18,Bitcoin,72032678
2021-04-18,AB,3294477
2021-04-18,Ethereum,63835704540
2021-04-18,Avalanche,251447336
2021-04-18,Harmony,22732659
2021-04-18,Energi,14821537
2021-04-18,Gnosis,48128272
2021-04-18,Celo,521824232
2021-04-18,Heco,2463116609
2021-04-18,Thorchain,15227238
2021-04-18,Polygon,440747825
2021-04-18,Terra Classic,2637021367
2021-04-18,Tezos,1485914
2021-04-18,Ontology,323579241
2021-04-18,Tron,4817313929
2021-04-18,Wanchain,47963626
2021-04-18,Solana,731812653
2021-04-18,Kava,342232158
2021-04-25,AB,2437531
2021-04-25,Avalanche,193324313
2021-04-25,BSC,14806651470
2021-04-25,Bitcoin,60543004
2021-04-25,Celo,586380936
2021-04-25,Energi,14728974
2021-04-25,Ethereum,57016427053
2021-04-25,Fantom,11597737
2021-04-25,Gnosis,41196610
2021-04-25,Harmony,24044450
2021-04-25,Heco,2006780400
2021-04-25,Kava,310357033
2021-04-25,Ontology,291539889
2021-04-25,Polygon,594743497
2021-04-25,Solana,916208113
2021-04-25,Terra Classic,3444321563
2021-04-25,Tezos,772101
2021-04-25,Thorchain,12619910
2021-04-25,Tron,3294872933
2021-04-25,Wanchain,36728020
2021-05-02,Gnosis,46874189
2021-05-02,Harmony,33380097
2021-05-02,AB,2514401
2021-05-02,Avalanche,308626533
2021-05-02,BSC,20198074812
2021-05-02,Bitcoin,71007442
2021-05-02,Celo,656485978
2021-05-02,Energi,15126851
2021-05-02,Ethereum,69652692982
2021-05-02,Fantom,52401771
2021-05-02,Kava,373903503
2021-05-02,Polygon,1572934090
2021-05-02,Solana,1470780217
2021-05-02,Terra Classic,3781596127
2021-05-02,Tezos,1033887
2021-05-02,Thorchain,23705822
2021-05-02,Tron,3981808960
2021-05-02,Heco,2909391092
2021-05-02,Wanchain,52457415
2021-05-02,Ontology,335554032
2021-05-09,AB,2431479
2021-05-09,Harmony,31403995
2021-05-09,BSC,21386057171
2021-05-09,Solana,1599948716
2021-05-09,Fantom,255180151
2021-05-09,Avalanche,407246499
2021-05-09,Ethereum,81358939141
2021-05-09,Bitcoin,74422823
2021-05-09,Gnosis,47144825
2021-05-09,Zilliqa,220785316
2021-05-09,Energi,15221921
2021-05-09,Kava,383694036
2021-05-09,Tezos,1018670
2021-05-09,Ontology,374341378
2021-05-09,Heco,2914852130
2021-05-09,Tron,4423004516
2021-05-09,Terra Classic,3503282738
2021-05-09,Celo,662138077
2021-05-09,Thorchain,53807686
2021-05-09,Polygon,2602530315
2021-05-09,Wanchain,69576004
2021-05-09,NEO,334948230
2021-05-16,Gnosis,43989694
2021-05-16,Harmony,35915639
2021-05-16,AB,1954462
2021-05-16,Avalanche,380528800
2021-05-16,BSC,18800166128
2021-05-16,Bitcoin,61856103
2021-05-16,Celo,586231438
2021-05-16,Energi,12932625
2021-05-16,Ethereum,78742949695
2021-05-16,Fantom,278319452
2021-05-16,Heco,2428907379
2021-05-16,Kava,334106287
2021-05-16,NEO,249808469
2021-05-16,Secret,48563513
2021-05-16,Solana,1549574579
2021-05-16,Terra Classic,3471677493
2021-05-16,Tezos,766651
2021-05-16,Thorchain,64857846
2021-05-16,Tron,3685145110
2021-05-16,Wanchain,63010208
2021-05-16,Zilliqa,168240979
2021-05-16,Ontology,315065900
2021-05-16,Polygon,4109174439
2021-05-23,Heco,1540682734
2021-05-23,AB,2226715
2021-05-23,BSC,8957548086
2021-05-23,Bitcoin,46073506
2021-05-23,Kava,176783291
2021-05-23,Avalanche,212443008
2021-05-23,Ethereum,52792007941
2021-05-23,Fantom,141229477
2021-05-23,Harmony,27025703
2021-05-23,Celo,360048832
2021-05-23,Energi,7716933
2021-05-23,Gnosis,27987553
2021-05-23,Wanchain,35763346
2021-05-23,Tezos,142012
2021-05-23,Thorchain,43671293
2021-05-23,Polygon,4527223228
2021-05-23,Solana,658552593
2021-05-23,Terra Classic,2208610641
2021-05-23,NEO,141668339
2021-05-23,Zilliqa,84038608
2021-05-23,ThunderCore,1532439
2021-05-23,Tron,2484373070
2021-05-23,Ontology,185658917
2021-05-23,Secret,31002304
2021-05-30,Avalanche,187020790
2021-05-30,NEO,175781903
2021-05-30,BSC,9016425812
2021-05-30,Energi,8704282
2021-05-30,Heco,1378936381
2021-05-30,Kava,208973329
2021-05-30,Gnosis,27602535
2021-05-30,Harmony,30102304
2021-05-30,Ethereum,54545481172
2021-05-30,Fantom,121508539
2021-05-30,Bitcoin,49617540
2021-05-30,Celo,397535665
2021-05-30,AB,1543294
2021-05-30,Polygon,5874617732
2021-05-30,Solana,813407821
2021-05-30,Rootstock,46827580
2021-05-30,OKTChain,40810824
2021-05-30,Secret,36636996
2021-05-30,Wanchain,41333934
2021-05-30,Ontology,221262912
2021-05-30,Terra Classic,2485181606
2021-05-30,Tron,2294095044
2021-05-30,Zilliqa,102096769
2021-05-30,Thorchain,57562964
2021-05-30,Tezos,106987
2021-05-30,ThunderCore,1492137
2021-06-06,Bitcoin,51532530
2021-06-06,Algorand,0
2021-06-06,Arbitrum,0
2021-06-06,Zilliqa,101430171
2021-06-06,Heco,2101824104
2021-06-06,Avalanche,201819572
2021-06-06,Ethereum,62893486045
2021-06-06,Fantom,149778784
2021-06-06,Gnosis,33966652
2021-06-06,AB,1375565
2021-06-06,BSC,11018750672
2021-06-06,Energi,6562947
2021-06-06,NEO,192070865
2021-06-06,Kava,257367522
2021-06-06,Tezos,90438
2021-06-06,OKTChain,29470191
2021-06-06,Solana,742389346
2021-06-06,Polygon,6662541175
2021-06-06,Rootstock,78275823
2021-06-06,Celo,373523118
2021-06-06,Wanchain,41354486
2021-06-06,Terra Classic,2580841580
2021-06-06,Harmony,23517327
2021-06-06,ThunderCore,1432631
2021-06-06,Tron,2557276844
2021-06-06,Ontology,234152696
2021-06-06,Sifchain,12130562
2021-06-06,Secret,43781046
2021-06-06,Thorchain,80038249
2021-06-13,AB,1375611
2021-06-13,Algorand,0
2021-06-13,Arbitrum,0
2021-06-13,Bitcoin,58571176
2021-06-13,Avalanche,177246282
2021-06-13,BSC,11286925724
2021-06-13,Celo,302934311
2021-06-13,Harmony,18314976
2021-06-13,Heco,1880484682
2021-06-13,Energi,6562947
2021-06-13,Kava,259154552
2021-06-13,Fantom,118007789
2021-06-13,Ethereum,59964167776
2021-06-13,Gnosis,21851024
2021-06-13,NEO,182401475
2021-06-13,OKTChain,21179504
2021-06-13,ThunderCore,1881523
2021-06-13,Polygon,7076966350
2021-06-13,Rootstock,82873873
2021-06-13,Secret,31650153
2021-06-13,Terra Classic,2648907965
2021-06-13,Sifchain,10122286
2021-06-13,Solana,541039253
2021-06-13,Wanchain,38924045
2021-06-13,Zilliqa,84270921
2021-06-13,Ontology,227447176
2021-06-13,Thorchain,64932171
2021-06-13,Tezos,76409
2021-06-13,Tron,1952287026
2021-06-20,Celo,272940723
2021-06-20,Avalanche,182484610
2021-06-20,Bitcoin,56765787
2021-06-20,Ethereum,57655050814
2021-06-20,Energi,6562947
2021-06-20,Harmony,18689653
2021-06-20,Gnosis,29361458
2021-06-20,Kardia,2780233
2021-06-20,Algorand,0
2021-06-20,Fantom,145943977
2021-06-20,Kava,260336057
2021-06-20,Arbitrum,0
2021-06-20,Heco,1841552570
2021-06-20,AB,1151999
2021-06-20,BSC,11012324698
2021-06-20,Sifchain,9598097
2021-06-20,Solana,506128155
2021-06-20,Rootstock,81928315
2021-06-20,Secret,29373294
2021-06-20,Terra Classic,2734736068
2021-06-20,ThunderCore,3210984
2021-06-20,Thorchain,88163202
2021-06-20,Zilliqa,78714744
2021-06-20,Ontology,212911511
2021-06-20,Tezos,61981
2021-06-20,OKTChain,14916153
2021-06-20,Polygon,6821189652
2021-06-20,Tron,2006927563
2021-06-20,NEO,158000599
2021-06-20,Wanchain,36516354
2021-06-27,Kava,244950324
2021-06-27,BSC,10186468898
2021-06-27,Bitcoin,56295311
2021-06-27,Celo,459204839
2021-06-27,AB,794647
2021-06-27,Energi,6562947
2021-06-27,Fantom,131192632
2021-06-27,Ethereum,50356559325
2021-06-27,Heco,1750159842
2021-06-27,Ontology,165359167
2021-06-27,Harmony,17956672
2021-06-27,NEO,103858077
2021-06-27,Gnosis,26156047
2021-06-27,Kardia,6884141
2021-06-27,Osmosis,63210457
2021-06-27,Avalanche,145252849
2021-06-27,Thorchain,79312739
2021-06-27,Polygon,5239582744
2021-06-27,Rootstock,72732271
2021-06-27,Secret,18868971
2021-06-27,Solana,449526718
2021-06-27,Sifchain,5703290
2021-06-27,Terra Classic,2799573731
2021-06-27,OKTChain,11545802
2021-06-27,Zilliqa,58170615
2021-06-27,Tezos,54630
2021-06-27,Wanchain,31943237
2021-06-27,Algorand,0
2021-06-27,Tron,1806399102
2021-06-27,Nuls,11086524
2021-06-27,ThunderCore,3210984
2021-07-04,AB,883214
2021-07-04,Algorand,0
2021-07-04,Avalanche,165984431
2021-07-04,Celo,396859285
2021-07-04,Energi,6562947
2021-07-04,Fantom,218758483
2021-07-04,Heco,1819129768
2021-07-04,Kardia,9944230
2021-07-04,NEO,133700696
2021-07-04,Ethereum,56763915758
2021-07-04,BSC,10979869411
2021-07-04,Moonriver,87716498
2021-07-04,Gnosis,27985810
2021-07-04,Bitcoin,58990660
2021-07-04,Kava,266505057
2021-07-04,Harmony,22239203
2021-07-04,Wanchain,33202904
2021-07-04,Thorchain,119966105
2021-07-04,Ontology,196832181
2021-07-04,Osmosis,92804171
2021-07-04,Polygon,5682562563
2021-07-04,Sifchain,6318803
2021-07-04,Terra Classic,2936226463
2021-07-04,ThunderCore,3210984
2021-07-04,Secret,20401564
2021-07-04,OKTChain,8196277
2021-07-04,Zilliqa,64881747
2021-07-04,Solana,873447775
2021-07-04,Nuls,10747740
2021-07-04,Tezos,61236
2021-07-04,Rootstock,83303885
2021-07-04,Tron,1947218981
2021-07-11,Nuls,11781367
2021-07-11,Ethereum,58449439380
2021-07-11,AB,859245
2021-07-11,Algorand,0
2021-07-11,Energi,6562947
2021-07-11,Bitcoin,61621730
2021-07-11,Celo,342138926
2021-07-11,Rootstock,85619835
2021-07-11,Fantom,225569844
2021-07-11,Kardia,15603968
2021-07-11,Harmony,36516860
2021-07-11,Kava,272448921
2021-07-11,Moonriver,87827464
2021-07-11,Gnosis,27312266
2021-07-11,Heco,1669991645
2021-07-11,NEO,133010712
2021-07-11,Polygon,5547735080
2021-07-11,OKTChain,14050249
2021-07-11,Avalanche,167435015
2021-07-11,Ontology,192604357
2021-07-11,Solana,855127871
2021-07-11,Osmosis,91019857
2021-07-11,Terra Classic,3151847478
2021-07-11,Secret,19744183
2021-07-11,BSC,11663028739
2021-07-11,Sifchain,5750545
2021-07-11,Tron,1831699881
2021-07-11,Thorchain,136688659
2021-07-11,Wanchain,31650587
2021-07-11,Waves,803976581
2021-07-11,Tezos,50821
2021-07-11,ThunderCore,3210984
2021-07-11,Zilliqa,57746934
2021-07-18,Ethereum,54662393227
2021-07-18,Energi,6562947
