date,Miner Withdrawing Transactions
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,1
2009-10-21,0
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,0
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,1
2009-12-02,0
2009-12-03,0
2009-12-04,0
2009-12-05,1
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,6
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0
2009-12-14,1
2009-12-15,0
2009-12-16,0
2009-12-17,3
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,1
2009-12-26,0
2009-12-27,1
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,1
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,2
2010-01-13,1
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,1
2010-01-19,0
2010-01-20,0
2010-01-21,1
2010-01-22,1
2010-01-23,0
2010-01-24,0
2010-01-25,2
2010-01-26,3
2010-01-27,2
2010-01-28,2
2010-01-29,3
2010-01-30,1
2010-01-31,2
2010-02-01,3
2010-02-02,1
2010-02-03,2
2010-02-04,3
2010-02-05,1
2010-02-06,12
2010-02-07,2
2010-02-08,3
2010-02-09,1
2010-02-10,1
2010-02-11,4
2010-02-12,1
2010-02-13,1
2010-02-14,5
2010-02-15,4
2010-02-16,3
2010-02-17,5
2010-02-18,2
2010-02-19,1
2010-02-20,1
2010-02-21,2
2010-02-22,2
2010-02-23,0
2010-02-24,1
2010-02-25,0
2010-02-26,3
2010-02-27,1
2010-02-28,1
2010-03-01,2
2010-03-02,2
2010-03-03,2
2010-03-04,1
2010-03-05,0
2010-03-06,3
2010-03-07,1
2010-03-08,3
2010-03-09,0
2010-03-10,2
2010-03-11,1
2010-03-12,0
2010-03-13,0
2010-03-14,1
2010-03-15,1
2010-03-16,2
2010-03-17,0
2010-03-18,4
2010-03-19,4
2010-03-20,5
2010-03-21,0
2010-03-22,1
2010-03-23,4
2010-03-24,4
2010-03-25,4
2010-03-26,2
2010-03-27,1
2010-03-28,0
2010-03-29,6
2010-03-30,1
2010-03-31,0
2010-04-01,2
2010-04-02,2
2010-04-03,2
2010-04-04,5
2010-04-05,11
2010-04-06,6
2010-04-07,5
2010-04-08,2
2010-04-09,7
2010-04-10,6
2010-04-11,7
2010-04-12,11
2010-04-13,4
2010-04-14,11
2010-04-15,14
2010-04-16,6
2010-04-17,4
2010-04-18,22
2010-04-19,12
2010-04-20,11
2010-04-21,8
2010-04-22,5
2010-04-23,5
2010-04-24,5
2010-04-25,5
2010-04-26,9
2010-04-27,8
2010-04-28,7
2010-04-29,6
2010-04-30,2
2010-05-01,4
2010-05-02,1
2010-05-03,10
2010-05-04,17
2010-05-05,8
2010-05-06,10
2010-05-07,9
2010-05-08,5
2010-05-09,10
2010-05-10,9
2010-05-11,8
2010-05-12,8
2010-05-13,12
2010-05-14,13
2010-05-15,6
2010-05-16,2
2010-05-17,8
2010-05-18,15
2010-05-19,16
2010-05-20,8
2010-05-21,16
2010-05-22,13
2010-05-23,47
2010-05-24,36
2010-05-25,26
2010-05-26,37
2010-05-27,32
2010-05-28,31
2010-05-29,24
2010-05-30,34
2010-05-31,34
2010-06-01,29
2010-06-02,27
2010-06-03,31
2010-06-04,36
2010-06-05,24
2010-06-06,34
2010-06-07,35
2010-06-08,47
2010-06-09,28
2010-06-10,26
2010-06-11,26
2010-06-12,36
2010-06-13,30
2010-06-14,40
2010-06-15,31
2010-06-16,29
2010-06-17,30
2010-06-18,20
2010-06-19,28
2010-06-20,15
2010-06-21,32
2010-06-22,33
2010-06-23,32
2010-06-24,37
2010-06-25,28
2010-06-26,18
2010-06-27,18
2010-06-28,15
2010-06-29,26
2010-06-30,10
2010-07-01,21
2010-07-02,28
2010-07-03,15
2010-07-04,16
2010-07-05,25
2010-07-06,9
2010-07-07,19
2010-07-08,25
2010-07-09,28
2010-07-10,10
2010-07-11,25
2010-07-12,65
2010-07-13,84
2010-07-14,75
2010-07-15,97
2010-07-16,89
2010-07-17,37
2010-07-18,46
2010-07-19,70
2010-07-20,37
2010-07-21,45
2010-07-22,29
2010-07-23,50
2010-07-24,25
2010-07-25,29
2010-07-26,54
2010-07-27,28
2010-07-28,31
2010-07-29,16
2010-07-30,31
2010-07-31,22
2010-08-01,22
2010-08-02,45
2010-08-03,44
2010-08-04,29
2010-08-05,36
2010-08-06,28
2010-08-07,25
2010-08-08,33
2010-08-09,45
2010-08-10,40
2010-08-11,52
2010-08-12,39
2010-08-13,43
2010-08-14,60
2010-08-15,59
2010-08-16,73
2010-08-17,25
2010-08-18,36
2010-08-19,27
2010-08-20,41
2010-08-21,27
2010-08-22,38
2010-08-23,44
2010-08-24,22
2010-08-25,34
2010-08-26,30
2010-08-27,36
2010-08-28,32
2010-08-29,27
2010-08-30,43
2010-08-31,67
2010-09-01,29
2010-09-02,28
2010-09-03,31
2010-09-04,22
2010-09-05,30
2010-09-06,40
2010-09-07,30
2010-09-08,34
2010-09-09,26
2010-09-10,25
2010-09-11,28
2010-09-12,30
2010-09-13,38
2010-09-14,34
2010-09-15,36
2010-09-16,50
2010-09-17,23
2010-09-18,18
2010-09-19,27
2010-09-20,32
2010-09-21,28
2010-09-22,18
2010-09-23,79
2010-09-24,30
2010-09-25,12
2010-09-26,10
2010-09-27,22
2010-09-28,31
2010-09-29,21
2010-09-30,15
2010-10-01,16
2010-10-02,16
2010-10-03,19
2010-10-04,24
2010-10-05,36
2010-10-06,17
2010-10-07,22
2010-10-08,39
2010-10-09,28
2010-10-10,22
2010-10-11,24
2010-10-12,25
2010-10-13,23
2010-10-14,19
2010-10-15,15
2010-10-16,18
2010-10-17,18
2010-10-18,28
2010-10-19,39
2010-10-20,19
2010-10-21,21
2010-10-22,20
2010-10-23,10
2010-10-24,17
2010-10-25,18
2010-10-26,25
2010-10-27,25
2010-10-28,22
2010-10-29,22
2010-10-30,24
2010-10-31,20
2010-11-01,15
2010-11-02,15
2010-11-03,21
2010-11-04,22
2010-11-05,33
2010-11-06,25
2010-11-07,31
2010-11-08,34
2010-11-09,39
2010-11-10,23
2010-11-11,23
2010-11-12,21
2010-11-13,23
2010-11-14,31
2010-11-15,36
2010-11-16,32
2010-11-17,21
2010-11-18,31
2010-11-19,27
2010-11-20,14
2010-11-21,23
2010-11-22,28
2010-11-23,37
2010-11-24,30
2010-11-25,28
2010-11-26,42
2010-11-27,40
2010-11-28,18
2010-11-29,41
2010-11-30,34
2010-12-01,39
2010-12-02,39
2010-12-03,27
2010-12-04,32
2010-12-05,29
2010-12-06,30
2010-12-07,52
2010-12-08,30
2010-12-09,36
2010-12-10,25
2010-12-11,33
2010-12-12,33
2010-12-13,40
2010-12-14,28
2010-12-15,30
2010-12-16,36
2010-12-17,26
2010-12-18,35
2010-12-19,31
2010-12-20,30
2010-12-21,49
2010-12-22,44
2010-12-23,25
2010-12-24,17
2010-12-25,21
2010-12-26,26
2010-12-27,39
2010-12-28,33
2010-12-29,50
2010-12-30,43
2010-12-31,32
2011-01-01,47
2011-01-02,39
2011-01-03,99
2011-01-04,56
2011-01-05,152
2011-01-06,56
2011-01-07,63
2011-01-08,115
2011-01-09,127
2011-01-10,110
2011-01-11,125
2011-01-12,112
2011-01-13,120
2011-01-14,119
2011-01-15,62
2011-01-16,58
2011-01-17,46
2011-01-18,43
2011-01-19,40
2011-01-20,52
2011-01-21,60
2011-01-22,114
2011-01-23,53
2011-01-24,74
2011-01-25,66
2011-01-26,61
2011-01-27,57
2011-01-28,90
2011-01-29,75
2011-01-30,65
2011-01-31,73
2011-02-01,83
2011-02-02,67
2011-02-03,58
2011-02-04,73
2011-02-05,67
2011-02-06,96
2011-02-07,77
2011-02-08,76
2011-02-09,94
2011-02-10,100
2011-02-11,96
2011-02-12,120
2011-02-13,101
2011-02-14,125
2011-02-15,113
2011-02-16,106
2011-02-17,113
2011-02-18,134
2011-02-19,68
2011-02-20,80
2011-02-21,91
2011-02-22,88
2011-02-23,102
2011-02-24,109
2011-02-25,111
2011-02-26,113
2011-02-27,119
2011-02-28,101
2011-03-01,99
2011-03-02,104
2011-03-03,98
2011-03-04,104
2011-03-05,95
2011-03-06,99
2011-03-07,84
2011-03-08,99
2011-03-09,104
2011-03-10,63
2011-03-11,92
2011-03-12,84
2011-03-13,73
2011-03-14,85
2011-03-15,66
2011-03-16,85
2011-03-17,75
2011-03-18,86
2011-03-19,74
2011-03-20,81
2011-03-21,106
2011-03-22,86
2011-03-23,96
2011-03-24,138
2011-03-25,105
2011-03-26,111
2011-03-27,113
2011-03-28,137
2011-03-29,158
2011-03-30,98
2011-03-31,117
2011-04-01,124
2011-04-02,93
2011-04-03,108
2011-04-04,135
2011-04-05,125
2011-04-06,107
2011-04-07,106
2011-04-08,113
2011-04-09,107
2011-04-10,117
2011-04-11,133
2011-04-12,140
2011-04-13,131
2011-04-14,128
2011-04-15,128
2011-04-16,135
2011-04-17,131
2011-04-18,195
2011-04-19,142
2011-04-20,141
2011-04-21,122
2011-04-22,135
2011-04-23,162
2011-04-24,133
2011-04-25,166
2011-04-26,163
2011-04-27,176
2011-04-28,175
2011-04-29,202
2011-04-30,207
2011-05-01,193
2011-05-02,193
2011-05-03,197
2011-05-04,216
2011-05-05,197
2011-05-06,170
2011-05-07,213
2011-05-08,128
2011-05-09,212
2011-05-10,240
2011-05-11,187
2011-05-12,227
2011-05-13,234
2011-05-14,252
2011-05-15,236
2011-05-16,265
2011-05-17,275
2011-05-18,293
2011-05-19,194
2011-05-20,194
2011-05-21,148
2011-05-22,148
2011-05-23,231
2011-05-24,224
2011-05-25,220
2011-05-26,284
2011-05-27,156
2011-05-28,142
2011-05-29,147
2011-05-30,168
2011-05-31,168
2011-06-01,229
2011-06-02,250
2011-06-03,269
2011-06-04,240
2011-06-05,267
2011-06-06,309
2011-06-07,318
2011-06-08,419
2011-06-09,338
2011-06-10,334
2011-06-11,292
2011-06-12,306
2011-06-13,312
2011-06-14,346
2011-06-15,336
2011-06-16,307
2011-06-17,293
2011-06-18,258
2011-06-19,334
2011-06-20,316
2011-06-21,338
2011-06-22,319
2011-06-23,277
2011-06-24,300
2011-06-25,292
2011-06-26,345
2011-06-27,471
2011-06-28,442
2011-06-29,448
2011-06-30,415
2011-07-01,400
2011-07-02,329
2011-07-03,366
2011-07-04,446
2011-07-05,426
2011-07-06,497
2011-07-07,356
2011-07-08,438
2011-07-09,375
2011-07-10,347
2011-07-11,374
2011-07-12,372
2011-07-13,377
2011-07-14,392
2011-07-15,363
2011-07-16,350
2011-07-17,378
2011-07-18,418
2011-07-19,402
2011-07-20,408
2011-07-21,415
2011-07-22,360
2011-07-23,313
2011-07-24,347
2011-07-25,375
2011-07-26,427
2011-07-27,351
2011-07-28,368
2011-07-29,330
2011-07-30,296
2011-07-31,352
2011-08-01,369
2011-08-02,426
2011-08-03,447
2011-08-04,412
2011-08-05,412
2011-08-06,399
2011-08-07,416
2011-08-08,398
2011-08-09,529
2011-08-10,546
2011-08-11,527
2011-08-12,516
2011-08-13,370
2011-08-14,507
2011-08-15,506
2011-08-16,528
2011-08-17,501
2011-08-18,399
2011-08-19,411
2011-08-20,432
2011-08-21,408
2011-08-22,415
2011-08-23,454
2011-08-24,452
2011-08-25,480
2011-08-26,562
2011-08-27,407
2011-08-28,323
2011-08-29,393
2011-08-30,441
2011-08-31,448
2011-09-01,465
2011-09-02,416
2011-09-03,396
2011-09-04,367
2011-09-05,426
2011-09-06,523
2011-09-07,490
2011-09-08,476
2011-09-09,910
2011-09-10,456
2011-09-11,452
2011-09-12,540
2011-09-13,455
2011-09-14,457
2011-09-15,492
2011-09-16,431
2011-09-17,413
2011-09-18,422
2011-09-19,593
2011-09-20,1148
2011-09-21,866
2011-09-22,519
2011-09-23,478
2011-09-24,365
2011-09-25,357
2011-09-26,406
2011-09-27,442
2011-09-28,437
2011-09-29,368
2011-09-30,405
2011-10-01,442
2011-10-02,343
2011-10-03,461
2011-10-04,325
2011-10-05,389
2011-10-06,399
2011-10-07,400
2011-10-08,368
2011-10-09,366
2011-10-10,395
2011-10-11,332
2011-10-12,387
2011-10-13,318
2011-10-14,419
2011-10-15,362
2011-10-16,333
2011-10-17,334
2011-10-18,340
2011-10-19,365
2011-10-20,355
2011-10-21,323
2011-10-22,344
2011-10-23,362
2011-10-24,416
2011-10-25,396
2011-10-26,437
2011-10-27,372
2011-10-28,425
2011-10-29,508
2011-10-30,326
2011-10-31,356
2011-11-01,435
2011-11-02,505
2011-11-03,508
2011-11-04,552
2011-11-05,412
2011-11-06,383
2011-11-07,425
2011-11-08,577
2011-11-09,502
2011-11-10,576
2011-11-11,437
2011-11-12,394
2011-11-13,434
2011-11-14,615
2011-11-15,670
2011-11-16,584
2011-11-17,474
2011-11-18,585
2011-11-19,492
2011-11-20,487
2011-11-21,446
2011-11-22,506
2011-11-23,474
2011-11-24,449
2011-11-25,461
2011-11-26,414
2011-11-27,445
2011-11-28,542
2011-11-29,610
2011-11-30,598
2011-12-01,533
2011-12-02,528
2011-12-03,464
2011-12-04,519
2011-12-05,551
2011-12-06,616
2011-12-07,570
2011-12-08,522
2011-12-09,503
2011-12-10,377
2011-12-11,385
2011-12-12,317
2011-12-13,442
2011-12-14,526
2011-12-15,352
2011-12-16,433
2011-12-17,362
2011-12-18,368
2011-12-19,535
2011-12-20,516
2011-12-21,503
2011-12-22,464
2011-12-23,608
2011-12-24,512
2011-12-25,617
2011-12-26,630
2011-12-27,548
2011-12-28,407
2011-12-29,437
2011-12-30,453
2011-12-31,379
2012-01-01,474
2012-01-02,478
2012-01-03,554
2012-01-04,513
2012-01-05,649
2012-01-06,580
2012-01-07,470
2012-01-08,479
2012-01-09,530
2012-01-10,470
2012-01-11,587
2012-01-12,552
2012-01-13,612
2012-01-14,520
2012-01-15,490
2012-01-16,550
2012-01-17,513
2012-01-18,571
2012-01-19,559
2012-01-20,592
2012-01-21,518
2012-01-22,349
2012-01-23,507
2012-01-24,548
2012-01-25,691
2012-01-26,629
2012-01-27,688
2012-01-28,477
2012-01-29,488
2012-01-30,525
2012-01-31,735
2012-02-01,622
2012-02-02,650
2012-02-03,673
2012-02-04,704
2012-02-05,513
2012-02-06,511
2012-02-07,553
2012-02-08,637
2012-02-09,550
2012-02-10,635
2012-02-11,466
2012-02-12,492
2012-02-13,686
2012-02-14,718
2012-02-15,642
2012-02-16,757
2012-02-17,599
2012-02-18,608
2012-02-19,515
2012-02-20,563
2012-02-21,659
2012-02-22,728
2012-02-23,678
2012-02-24,600
2012-02-25,630
2012-02-26,499
2012-02-27,634
2012-02-28,639
2012-02-29,647
2012-03-01,649
2012-03-02,757
2012-03-03,477
2012-03-04,490
2012-03-05,611
2012-03-06,582
2012-03-07,615
2012-03-08,678
2012-03-09,668
2012-03-10,495
2012-03-11,433
2012-03-12,544
2012-03-13,693
2012-03-14,655
2012-03-15,747
2012-03-16,783
2012-03-17,803
2012-03-18,577
2012-03-19,670
2012-03-20,743
2012-03-21,737
2012-03-22,652
2012-03-23,583
2012-03-24,619
2012-03-25,647
2012-03-26,638
2012-03-27,600
2012-03-28,708
2012-03-29,715
2012-03-30,577
2012-03-31,537
2012-04-01,446
2012-04-02,577
2012-04-03,813
2012-04-04,768
2012-04-05,690
2012-04-06,692
2012-04-07,585
2012-04-08,536
2012-04-09,601
2012-04-10,709
2012-04-11,872
2012-04-12,835
2012-04-13,608
2012-04-14,714
2012-04-15,621
2012-04-16,703
2012-04-17,713
2012-04-18,699
2012-04-19,657
2012-04-20,750
2012-04-21,561
2012-04-22,515
2012-04-23,621
2012-04-24,760
2012-04-25,722
2012-04-26,645
2012-04-27,641
2012-04-28,592
2012-04-29,563
2012-04-30,628
2012-05-01,733
2012-05-02,750
2012-05-03,747
2012-05-04,787
2012-05-05,661
2012-05-06,614
2012-05-07,781
2012-05-08,804
2012-05-09,782
2012-05-10,750
2012-05-11,840
2012-05-12,609
2012-05-13,583
2012-05-14,703
2012-05-15,751
2012-05-16,677
2012-05-17,665
2012-05-18,730
2012-05-19,608
2012-05-20,708
2012-05-21,727
2012-05-22,927
2012-05-23,765
2012-05-24,735
2012-05-25,683
2012-05-26,576
2012-05-27,635
2012-05-28,585
2012-05-29,1286
2012-05-30,1010
2012-05-31,905
2012-06-01,1119
2012-06-02,727
2012-06-03,1070
2012-06-04,949
2012-06-05,950
2012-06-06,823
2012-06-07,1243
2012-06-08,884
2012-06-09,883
2012-06-10,1023
2012-06-11,854
2012-06-12,882
2012-06-13,903
2012-06-14,975
2012-06-15,1106
2012-06-16,941
2012-06-17,909
2012-06-18,863
2012-06-19,858
2012-06-20,970
2012-06-21,919
2012-06-22,860
2012-06-23,1117
2012-06-24,946
2012-06-25,1722
2012-06-26,1338
2012-06-27,907
2012-06-28,882
2012-06-29,984
2012-06-30,821
2012-07-01,746
2012-07-02,908
2012-07-03,1154
2012-07-04,791
2012-07-05,984
2012-07-06,1237
2012-07-07,929
2012-07-08,529
2012-07-09,859
2012-07-10,791
2012-07-11,830
2012-07-12,805
2012-07-13,1002
2012-07-14,871
2012-07-15,967
2012-07-16,768
2012-07-17,1108
2012-07-18,961
2012-07-19,704
2012-07-20,1591
2012-07-21,1279
2012-07-22,1135
2012-07-23,1013
2012-07-24,796
2012-07-25,662
2012-07-26,691
2012-07-27,737
2012-07-28,980
2012-07-29,669
2012-07-30,938
2012-07-31,1572
2012-08-01,759
2012-08-02,786
2012-08-03,925
2012-08-04,853
2012-08-05,895
2012-08-06,777
2012-08-07,814
2012-08-08,1040
2012-08-09,782
2012-08-10,863
2012-08-11,964
2012-08-12,1039
2012-08-13,1050
2012-08-14,948
2012-08-15,762
2012-08-16,1131
2012-08-17,1128
2012-08-18,878
2012-08-19,772
2012-08-20,732
2012-08-21,1074
2012-08-22,895
2012-08-23,975
2012-08-24,1482
2012-08-25,1691
2012-08-26,1074
2012-08-27,1984
2012-08-28,1621
2012-08-29,1278
2012-08-30,1289
2012-08-31,1488
2012-09-01,1205
2012-09-02,632
2012-09-03,585
2012-09-04,1270
2012-09-05,1006
2012-09-06,1240
2012-09-07,768
2012-09-08,787
2012-09-09,1575
2012-09-10,1009
2012-09-11,2051
2012-09-12,1364
2012-09-13,1049
2012-09-14,1365
2012-09-15,1691
2012-09-16,1107
2012-09-17,1188
2012-09-18,2043
2012-09-19,2102
2012-09-20,1773
2012-09-21,1357
2012-09-22,699
2012-09-23,928
2012-09-24,1218
2012-09-25,1458
2012-09-26,1292
2012-09-27,1109
2012-09-28,1124
2012-09-29,968
2012-09-30,1628
2012-10-01,1272
2012-10-02,1734
2012-10-03,1183
2012-10-04,1038
2012-10-05,1454
2012-10-06,628
2012-10-07,975
2012-10-08,1300
2012-10-09,1266
2012-10-10,957
2012-10-11,818
2012-10-12,849
2012-10-13,621
2012-10-14,748
2012-10-15,1027
2012-10-16,1128
2012-10-17,1546
2012-10-18,1244
2012-10-19,1082
2012-10-20,790
2012-10-21,1618
2012-10-22,1147
2012-10-23,1020
2012-10-24,1048
2012-10-25,1047
2012-10-26,855
2012-10-27,607
2012-10-28,890
2012-10-29,577
2012-10-30,1155
2012-10-31,1083
2012-11-01,1038
2012-11-02,992
2012-11-03,1605
2012-11-04,763
2012-11-05,1146
2012-11-06,1041
2012-11-07,1174
2012-11-08,1007
2012-11-09,1039
2012-11-10,737
2012-11-11,751
2012-11-12,704
2012-11-13,1074
2012-11-14,914
2012-11-15,925
2012-11-16,913
2012-11-17,857
2012-11-18,787
2012-11-19,811
2012-11-20,874
2012-11-21,993
2012-11-22,1225
2012-11-23,1487
2012-11-24,1189
2012-11-25,968
2012-11-26,2661
2012-11-27,1159
2012-11-28,1386
2012-11-29,975
2012-11-30,808
2012-12-01,1256
2012-12-02,609
2012-12-03,826
2012-12-04,1319
2012-12-05,1225
2012-12-06,916
2012-12-07,1021
2012-12-08,738
2012-12-09,696
2012-12-10,1080
2012-12-11,1222
2012-12-12,908
2012-12-13,2225
2012-12-14,2527
2012-12-15,1580
2012-12-16,615
2012-12-17,1043
2012-12-18,2127
2012-12-19,3240
2012-12-20,1463
2012-12-21,2182
2012-12-22,1767
2012-12-23,871
2012-12-24,2377
2012-12-25,686
2012-12-26,883
2012-12-27,2649
2012-12-28,3409
2012-12-29,3233
2012-12-30,1264
2012-12-31,1032
2013-01-01,1555
2013-01-02,1713
2013-01-03,3078
2013-01-04,1870
2013-01-05,1424
2013-01-06,758
2013-01-07,1719
2013-01-08,1641
2013-01-09,1838
2013-01-10,1483
2013-01-11,2228
2013-01-12,2022
2013-01-13,2856
2013-01-14,3071
2013-01-15,2316
2013-01-16,1540
2013-01-17,2499
2013-01-18,1782
2013-01-19,2217
2013-01-20,2073
2013-01-21,2823
2013-01-22,2163
2013-01-23,2180
2013-01-24,1558
2013-01-25,2279
2013-01-26,1819
2013-01-27,1349
2013-01-28,3303
2013-01-29,1565
2013-01-30,1497
2013-01-31,1141
2013-02-01,2940
2013-02-02,1412
2013-02-03,1210
2013-02-04,2589
2013-02-05,2389
2013-02-06,2645
2013-02-07,1374
2013-02-08,2887
2013-02-09,1995
2013-02-10,1002
2013-02-11,1535
2013-02-12,3097
2013-02-13,2496
2013-02-14,1847
2013-02-15,1314
2013-02-16,1973
2013-02-17,1608
2013-02-18,1122
2013-02-19,1644
2013-02-20,1633
2013-02-21,1323
2013-02-22,1856
2013-02-23,1769
2013-02-24,1595
2013-02-25,1286
2013-02-26,1339
2013-02-27,1030
2013-02-28,1144
2013-03-01,1202
2013-03-02,716
2013-03-03,884
2013-03-04,1435
2013-03-05,1171
2013-03-06,1438
2013-03-07,1218
2013-03-08,1183
2013-03-09,1135
2013-03-10,2565
2013-03-11,1104
2013-03-12,1196
2013-03-13,1329
2013-03-14,1236
2013-03-15,1371
2013-03-16,995
2013-03-17,932
2013-03-18,1234
2013-03-19,1570
