date,Miners' Position Index (MPI)
2011-01-07,-0.3168029035023196
2011-01-08,-0.1489475930334449
2011-01-09,-0.332274018276112
2011-01-10,-0.3921738127508662
2011-01-11,0.1287010261338373
2011-01-12,-0.3303469740658932
2011-01-13,0.0661860722204142
2011-01-14,-0.0071130976047138
2011-01-15,-0.3498291718993143
2011-01-16,-0.312840638887674
2011-01-17,-0.4158483494173651
2011-01-18,-0.2176327979122369
2011-01-19,-0.3816354862811016
2011-01-20,-0.3668657085952662
2011-01-21,-0.315526821610771
2011-01-22,-0.1491392488126175
2011-01-23,-0.1725463343603782
2011-01-24,-0.2787854343045292
2011-01-25,-0.2755295309698021
2011-01-26,-0.1667846460570269
2011-01-27,-0.3098919417770437
2011-01-28,-0.2425053415019586
2011-01-29,-0.0712373686225303
2011-01-30,-0.2603661845623629
2011-01-31,-0.1005560123735066
2011-02-01,0.2853645053913306
2011-02-02,-0.2630715385508615
2011-02-03,-0.3309676542409231
2011-02-04,-0.0940740153339906
2011-02-05,0.388157998057877
2011-02-06,0.0443176562426665
2011-02-07,0.1119478256140935
2011-02-08,-0.3312304561046301
2011-02-09,0.0863638729637549
2011-02-10,-0.0237583950769714
2011-02-11,0.197716049198503
2011-02-12,-0.0202467378905002
2011-02-13,0.1814379393099313
2011-02-14,0.6459163500139433
2011-02-15,-0.161236800419188
2011-02-16,-0.1330259094171036
2011-02-17,-0.27296898783366
2011-02-18,0.0140096928487856
2011-02-19,-0.2645268419670224
2011-02-20,-0.2990829860567967
2011-02-21,-0.2835028687343512
2011-02-22,-0.3093522717889794
2011-02-23,-0.2027923815616873
2011-02-24,-0.0928348820904854
2011-02-25,-0.0193152954470918
2011-02-26,0.0450648778989392
2011-02-27,-0.161974157188871
2011-02-28,0.365908584153282
2011-03-01,3.5064236995684785
2011-03-02,-0.265350782229292
2011-03-03,-0.3513676306031825
2011-03-04,-0.3234514585075476
2011-03-05,-0.065362598899225
2011-03-06,-0.2343302236931952
2011-03-07,-0.2665618025866512
2011-03-08,-0.3684638737555329
2011-03-09,-0.3686315282137509
2011-03-10,-0.3854301819077187
2011-03-11,-0.3734321722793428
2011-03-12,-0.3815187244355092
2011-03-13,-0.3976932939204624
2011-03-14,-0.1536444645328763
2011-03-15,-0.405280553241153
2011-03-16,-0.2491735339403195
2011-03-17,-0.3987375123552528
2011-03-18,-0.2688530122629997
2011-03-19,-0.4079610048316325
2011-03-20,-0.4244014750984911
2011-03-21,-0.4073800989243382
2011-03-22,-0.4090534633816433
2011-03-23,-0.380046059257006
2011-03-24,-0.1134713347979782
2011-03-25,-0.3435504286390218
2011-03-26,-0.1636845557471307
2011-03-27,-0.3598791288970838
2011-03-28,-0.3139105251716408
2011-03-29,-0.3813814833128703
2011-03-30,-0.402461464141065
2011-03-31,-0.3516078724819164
2011-04-01,-0.412823048747203
2011-04-02,-0.4313218908221633
2011-04-03,-0.42914071703766
2011-04-04,-0.3149230004696807
2011-04-05,-0.3678022100295906
2011-04-06,-0.3848063032649102
2011-04-07,-0.3728814721787808
2011-04-08,-0.3904821313772473
2011-04-09,-0.4148846946636532
2011-04-10,-0.4041222354615812
2011-04-11,-0.3124158778848832
2011-04-12,-0.1978598995140365
2011-04-13,-0.1569634449174739
2011-04-14,-0.3170016429791091
2011-04-15,-0.2326130407625823
2011-04-16,-0.2956904081685595
