Datetime,Realized Cap
2026-04-10T00:00:00Z,1084057514144.3229
2026-04-09T00:00:00Z,1083806215108.0919
2026-04-08T00:00:00Z,1083771084532.019
2026-04-07T00:00:00Z,1083475038276.169
2026-04-06T00:00:00Z,1083526392785.4485
2026-04-05T00:00:00Z,1083439353998.3224
2026-04-04T00:00:00Z,1083148294913.3668
2026-04-03T00:00:00Z,1083160746815.0153
2026-04-02T00:00:00Z,1083348314645.6554
2026-04-01T00:00:00Z,1084013800095.5063
2026-03-31T00:00:00Z,1084006775323.1044
2026-03-30T00:00:00Z,1084068361940.1315
2026-03-29T00:00:00Z,1084724912495.3969
2026-03-28T00:00:00Z,1084822680625.9926
2026-03-27T00:00:00Z,1085091743109.3044
2026-03-26T00:00:00Z,1086126983577.5079
2026-03-25T00:00:00Z,1086412434173.2981
2026-03-24T00:00:00Z,1086645509448.2642
2026-03-23T00:00:00Z,1087481473590.8629
2026-03-22T00:00:00Z,1087475987117.5974
2026-03-21T00:00:00Z,1087034335083.8165
2026-03-20T00:00:00Z,1087014646479.798
2026-03-19T00:00:00Z,1087265565139.9698
2026-03-18T00:00:00Z,1087699436072.8862
2026-03-17T00:00:00Z,1088199182805.0679
2026-03-16T00:00:00Z,1088198752758.8761
2026-03-15T00:00:00Z,1087787836456.7356
2026-03-14T00:00:00Z,1087650499104.5323
2026-03-13T00:00:00Z,1087957503771.7081
2026-03-12T00:00:00Z,1087815233245.7014
2026-03-11T00:00:00Z,1088135480032.713
2026-03-10T00:00:00Z,1089261254166.3416
2026-03-09T00:00:00Z,1089229057613.9143
2026-03-08T00:00:00Z,1089386045391.0298
2026-03-07T00:00:00Z,1089470238000.5946
2026-03-06T00:00:00Z,1089665943517.9011
2026-03-05T00:00:00Z,1090694372691.5852
2026-03-04T00:00:00Z,1090951810752.6073
2026-03-03T00:00:00Z,1090761896420.3921
2026-03-02T00:00:00Z,1090944691226.6072
2026-03-01T00:00:00Z,1091028009966.9902
2026-02-28T00:00:00Z,1091138920618.5579
2026-02-27T00:00:00Z,1091305408827.7714
2026-02-26T00:00:00Z,1091955706195.8859
2026-02-25T00:00:00Z,1092089734982.7756
2026-02-24T00:00:00Z,1092262870721.587
2026-02-23T00:00:00Z,1093644966587.1255
2026-02-22T00:00:00Z,1094599403868.58
2026-02-21T00:00:00Z,1094674374874.4727
2026-02-20T00:00:00Z,1094638760918.9015
2026-02-19T00:00:00Z,1095674041244.1694
2026-02-18T00:00:00Z,1096039705259.5061
2026-02-17T00:00:00Z,1096801336331.0961
2026-02-16T00:00:00Z,1097246593335.1018
2026-02-15T00:00:00Z,1097774804020.7557
2026-02-14T00:00:00Z,1097795520866.9437
2026-02-13T00:00:00Z,1097701309612.8859
2026-02-12T00:00:00Z,1098445715327.1439
2026-02-11T00:00:00Z,1099728541633.3315
2026-02-10T00:00:00Z,1100959889090.3682
2026-02-09T00:00:00Z,1101857448476.3892
2026-02-08T00:00:00Z,1102824128318.3606
2026-02-07T00:00:00Z,1102647432610.928
2026-02-06T00:00:00Z,1104017281277.7356
2026-02-05T00:00:00Z,1105586217691.2285
2026-02-04T00:00:00Z,1110776436050.6204
2026-02-03T00:00:00Z,1112842989221.638
2026-02-02T00:00:00Z,1114845017935.913
2026-02-01T00:00:00Z,1115800442641.3853
2026-01-31T00:00:00Z,1116290789397.1501
2026-01-30T00:00:00Z,1117186885045.1165
2026-01-29T00:00:00Z,1118086288789.8428
2026-01-28T00:00:00Z,1118730676114.3938
2026-01-27T00:00:00Z,1118763013262.0417
2026-01-26T00:00:00Z,1118671987124.969
2026-01-25T00:00:00Z,1118799248445.26
2026-01-24T00:00:00Z,1118989454054.0093
2026-01-23T00:00:00Z,1119022691452.2134
2026-01-22T00:00:00Z,1123544424961.247
2026-01-21T00:00:00Z,1123685522823.6216
2026-01-20T00:00:00Z,1124137251884.8254
2026-01-19T00:00:00Z,1124835686913.8188
2026-01-18T00:00:00Z,1124851518868.1396
2026-01-17T00:00:00Z,1124674628256.9827
2026-01-16T00:00:00Z,1124324932177.8342
2026-01-15T00:00:00Z,1124108973624.122
2026-01-14T00:00:00Z,1123553633946.7139
2026-01-13T00:00:00Z,1122621040408.5203
2026-01-12T00:00:00Z,1121792123840.2769
2026-01-11T00:00:00Z,1121830321258.4666
2026-01-10T00:00:00Z,1122031796864.2092
2026-01-09T00:00:00Z,1121983760525.1958
2026-01-08T00:00:00Z,1122321554544.138
2026-01-07T00:00:00Z,1122537483326.2915
2026-01-06T00:00:00Z,1122255318247.2224
2026-01-05T00:00:00Z,1121903890988.783
2026-01-04T00:00:00Z,1121246556922.2205
2026-01-03T00:00:00Z,1121073149665.5159
2026-01-02T00:00:00Z,1120986070550.0042
2026-01-01T00:00:00Z,1120925354345.7327
2025-12-31T00:00:00Z,1120962277644.9458
2025-12-30T00:00:00Z,1121535814568.8198
2025-12-29T00:00:00Z,1121935147055.1711
2025-12-28T00:00:00Z,1122034011588.4346
2025-12-27T00:00:00Z,1122214291977.6257
2025-12-26T00:00:00Z,1122190796204.587
2025-12-25T00:00:00Z,1123060023509.9094
2025-12-24T00:00:00Z,1122941166114.4905
2025-12-23T00:00:00Z,1123332144936.413
2025-12-22T00:00:00Z,1123414846510.6777
2025-12-21T00:00:00Z,1123290772046.5354
2025-12-20T00:00:00Z,1123157201003.269
2025-12-19T00:00:00Z,1123793098955.696
2025-12-18T00:00:00Z,1123862899468.1724
2025-12-17T00:00:00Z,1123958488224.4287
2025-12-16T00:00:00Z,1124408015504.4353
2025-12-15T00:00:00Z,1124576452336.6094
2025-12-14T00:00:00Z,1125751677194.4587
2025-12-13T00:00:00Z,1125838990353.7983
2025-12-12T00:00:00Z,1125787107158.3257
2025-12-11T00:00:00Z,1126124381855.5874
2025-12-10T00:00:00Z,1126202199276.1553
2025-12-09T00:00:00Z,1124664877639.7068
2025-12-08T00:00:00Z,1124469490878.7014
2025-12-07T00:00:00Z,1124627944636.0972
2025-12-06T00:00:00Z,1124662925381.0078
2025-12-05T00:00:00Z,1124616431100.305
2025-12-04T00:00:00Z,1125613961955.8354
2025-12-03T00:00:00Z,1125521482165.3718
2025-12-02T00:00:00Z,1125042817022.182
2025-12-01T00:00:00Z,1125552181585.9324
2025-11-30T00:00:00Z,1126260454550.1973
2025-11-29T00:00:00Z,1126352759621.1726
2025-11-28T00:00:00Z,1126363222340.2493
2025-11-27T00:00:00Z,1126610565541.2131
2025-11-26T00:00:00Z,1126679597674.9412
2025-11-25T00:00:00Z,1125333035063.373
2025-11-24T00:00:00Z,1125468216999.8433
2025-11-23T00:00:00Z,1125467292994.3433
2025-11-22T00:00:00Z,1118295947942.584
2025-11-21T00:00:00Z,1115440222633.8125
2025-11-20T00:00:00Z,1118567655505.4355
2025-11-19T00:00:00Z,1119141422760.43
2025-11-18T00:00:00Z,1120140088877.3755
2025-11-17T00:00:00Z,1119576801421.3958
2025-11-16T00:00:00Z,1120116587407.2705
2025-11-15T00:00:00Z,1120272929193.6267
2025-11-14T00:00:00Z,1120136932223.8103
2025-11-13T00:00:00Z,1121438140517.6611
2025-11-12T00:00:00Z,1121806999833.4082
2025-11-11T00:00:00Z,1121360427759.0886
2025-11-10T00:00:00Z,1120919459805.2886
2025-11-09T00:00:00Z,1120016736472.64
2025-11-08T00:00:00Z,1119758177813.404
2025-11-07T00:00:00Z,1119354930382.0107
2025-11-06T00:00:00Z,1116219389079.3433
2025-11-05T00:00:00Z,1116273278977.4968
2025-11-04T00:00:00Z,1116413796986.3147
2025-11-03T00:00:00Z,1116940536398.2412
2025-11-02T00:00:00Z,1116376242938.885
2025-11-01T00:00:00Z,1116124110008.384
2025-10-31T00:00:00Z,1115338162540.7268
2025-10-30T00:00:00Z,1114786467427.4817
2025-10-29T00:00:00Z,1113239164263.493
2025-10-28T00:00:00Z,1111751101220.7144
2025-10-27T00:00:00Z,1109570464336.1191
2025-10-26T00:00:00Z,1108201498522.021
2025-10-25T00:00:00Z,1107247549956.0986
2025-10-24T00:00:00Z,1106818917077.5938
2025-10-23T00:00:00Z,1106254187784.8445
2025-10-22T00:00:00Z,1105370903481.3052
2025-10-21T00:00:00Z,1103650913033.2937
2025-10-20T00:00:00Z,1102642683066.5632
2025-10-19T00:00:00Z,1102233089983.2087
2025-10-18T00:00:00Z,1102085874222.506
2025-10-17T00:00:00Z,1101795285799.4155
2025-10-16T00:00:00Z,1101183489246.2175
2025-10-15T00:00:00Z,1101574781065.0854
2025-10-14T00:00:00Z,1097626169091.3246
2025-10-13T00:00:00Z,1095748402775.7388
2025-10-12T00:00:00Z,1095456839996.6171
2025-10-11T00:00:00Z,1095081593703.1228
2025-10-10T00:00:00Z,1095127075436.1586
2025-10-09T00:00:00Z,1094825772334.0103
2025-10-08T00:00:00Z,1092914314521.4402
2025-10-07T00:00:00Z,1090916794907.0275
2025-10-06T00:00:00Z,1087059459159.2124
2025-10-05T00:00:00Z,1085324265788.1768
2025-10-04T00:00:00Z,1084338753310.0784
2025-10-03T00:00:00Z,1083088432797.9478
2025-10-02T00:00:00Z,1080737632288.3773
2025-10-01T00:00:00Z,1078464489199.1509
