date,supF
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,3.146757524312145
2020-12-12,3.109824057808712
2020-12-13,3.1331129722991164
2020-12-14,3.1549979135632187
2020-12-15,3.1572362162933265
2020-12-16,3.133096537901303
2020-12-17,3.167710184687331
2020-12-18,3.1638425997108706
2020-12-19,3.1825518381321465
2020-12-20,3.185134383377813
2020-12-21,3.163642135726082
2020-12-22,3.1627793720851884
2020-12-23,3.1750959859066556
2020-12-24,3.0514498210062726
2020-12-25,3.0924897329364556
2020-12-26,3.105550322748739
2020-12-27,3.1133805574850673
2020-12-28,3.157923499096404
2020-12-29,3.113030727356004
2020-12-30,3.113376991746145
2020-12-31,3.1434965943500788
2021-01-01,3.1212511013839626
2021-01-02,3.113847713812688
2021-01-03,3.1508379413112677
2021-01-04,3.23564697120632
2021-01-05,3.5181276477833077
2021-01-06,3.5113428293919045
2021-01-07,3.4530016841352857
2021-01-08,3.4769341218185694
2021-01-09,3.5156642978521
2021-01-10,3.5596250402133194
2021-01-11,3.538848198503364
2021-01-12,3.3529076333743197
2021-01-13,3.2757620763606705
2021-01-14,3.319193470558592
2021-01-15,3.3349924295765256
2021-01-16,3.2962520957152006
2021-01-17,3.3385628188921994
2021-01-18,3.339960312911201
2021-01-19,3.3563285446185276
2021-01-20,3.395897278158366
2021-01-21,3.386148821145521
2021-01-22,3.4772193205842306
2021-01-23,3.57955754939828
2021-01-24,3.5770287867088286
2021-01-25,3.689362819802339
2021-01-26,3.632889212237128
2021-01-27,3.6423722192296792
2021-01-28,3.539036303129285
2021-01-29,3.579645531584983
2021-01-30,3.674484049484127
2021-01-31,3.6715877638398844
2021-02-01,3.61989676879964
2021-02-02,3.6328454971297512
2021-02-03,3.582250839736965
2021-02-04,3.7712723619484874
2021-02-05,3.8579599381712217
2021-02-06,3.942595833627251
2021-02-07,3.9137155060993054
2021-02-08,3.870239621317948
2021-02-09,3.9080954405614405
2021-02-10,3.9189634137702383
2021-02-11,3.8831048494909743
2021-02-12,3.8760096639021007
2021-02-13,3.8795789212118352
2021-02-14,3.861335582372577
2021-02-15,3.8495539781612993
2021-02-16,3.833179504423139
2021-02-17,3.7999268736020424
2021-02-18,3.8330107577250687
2021-02-19,3.8994132683746527
2021-02-20,3.898183937028654
2021-02-21,3.871058804767495
2021-02-22,3.8801587592603473
2021-02-23,3.532995957080302
2021-02-24,3.3817942737386386
2021-02-25,3.3864327878515743
2021-02-26,3.425680776447767
2021-02-27,3.417914836283882
2021-02-28,3.425418664850928
2021-03-01,3.3980592767063964
2021-03-02,3.364020792167335
2021-03-03,3.2185148993871557
2021-03-04,3.338237628949873
2021-03-05,3.3381305584145715
2021-03-06,3.314681227381843
2021-03-07,3.3859233191608182
2021-03-08,3.4281972797414997
2021-03-09,3.672180943139135
2021-03-10,3.685184151910912
2021-03-11,3.522722945933422
2021-03-12,3.5336524938049303
2021-03-13,3.467312896628042
2021-03-14,3.5508060366619474
2021-03-15,3.5075732517102667
2021-03-16,3.4854875901132893
2021-03-17,3.484364634655284
2021-03-18,3.4837044542054656
2021-03-19,3.484658397074282
2021-03-20,3.4923409540343386
2021-03-21,3.4872634831574763
2021-03-22,3.4724063014268447
2021-03-23,3.4677364344828345
2021-03-24,3.47178489611511
2021-03-25,3.346951397849486
2021-03-26,3.3413884077574973
2021-03-27,3.3074971347883673
2021-03-28,3.3126391188708606
2021-03-29,3.2956479104573195
2021-03-30,3.1979450289072426
2021-03-31,3.2064966317571115
2021-04-01,3.2209824941236627
2021-04-02,3.220687511758107
2021-04-03,3.2763473364394637
2021-04-04,3.2124077162857123
2021-04-05,3.2428454818475454
2021-04-06,3.23913779674387
2021-04-07,3.2341487515176452
2021-04-08,3.1714252003177306
2021-04-09,3.2145857169956944
2021-04-10,3.220078121072296
2021-04-11,3.2496003376735763
2021-04-12,3.2544517870037275
2021-04-13,3.253131214806643
2021-04-14,3.296083895452885
2021-04-15,3.4219239209186267
2021-04-16,3.4412075696175886
2021-04-17,3.381278617460574
2021-04-18,3.332426977794589
2021-04-19,3.294999741127615
2021-04-20,3.2553155846831308
2021-04-21,3.4201701342434574
2021-04-22,3.4115077413372323
2021-04-23,3.4579909414449146
2021-04-24,3.469798650385437
2021-04-25,3.399996268357783
2021-04-26,3.444305924856278
2021-04-27,3.473984122366077
2021-04-28,3.5215960327713987
2021-04-29,3.5686134552134336
2021-04-30,3.5685105981414096
2021-05-01,3.5946746790283672
2021-05-02,3.6575606754383556
2021-05-03,3.6559377322146873
2021-05-04,3.9825542089133648
2021-05-05,3.8843531076070645
2021-05-06,4.068859109196717
2021-05-07,4.003417556470851
2021-05-08,3.9580087046353887
2021-05-09,4.091993275850629
2021-05-10,4.09231984569905
2021-05-11,4.202310035394298
2021-05-12,4.236665613428994
2021-05-13,4.1923177874188156
2021-05-14,4.055213915812009
2021-05-15,4.102852927703499
2021-05-16,3.9676466063025067
2021-05-17,3.9434481509707298
2021-05-18,3.7266702227407276
2021-05-19,3.7882163764782883
2021-05-20,3.760211582311016
2021-05-21,3.797282418506009
2021-05-22,3.577761453878812
2021-05-23,3.5152796422662838
2021-05-24,3.4219200325612995
2021-05-25,3.4465090638760016
2021-05-26,3.484462559306154
2021-05-27,3.523529053993212
2021-05-28,3.458454988993227
2021-05-29,3.335248828719755
2021-05-30,3.278543001821661
2021-05-31,3.3193999075795477
2021-06-01,3.4310064425811944
2021-06-02,3.4102978893770794
2021-06-03,3.443912616911532
2021-06-04,3.4100501573694935
2021-06-05,3.2798567862728487
2021-06-06,3.2542618180751646
2021-06-07,3.2825092492398737
2021-06-08,3.243495353058429
2021-06-09,3.2138435291956315
2021-06-10,3.2447967822956674
2021-06-11,3.1481383089704487
2021-06-12,3.167872075030122
2021-06-13,3.1720371139420074
2021-06-14,3.222961335835482
2021-06-15,3.1966638500869635
2021-06-16,3.190491291766176
2021-06-17,3.254234744678206
2021-06-18,3.2356206666721685
2021-06-19,3.2121153801041946
2021-06-20,3.1810724074158254
2021-06-21,3.211244257810565
2021-06-22,3.018117991728625
2021-06-23,3.0127987807660546
2021-06-24,3.041202485155901
2021-06-25,3.0421477614322594
2021-06-26,2.9929437438058764
2021-06-27,3.0003839277271944
2021-06-28,3.0663729883679403
2021-06-29,3.0942161289482617
2021-06-30,3.08245724358261
2021-07-01,3.1429986887469963
2021-07-02,3.0940865845472048
2021-07-03,3.1011657415307723
2021-07-04,3.128198208975286
2021-07-05,3.163619895872494
2021-07-06,3.1118440851191562
2021-07-07,3.2163716682460533
2021-07-08,3.206584852633144
2021-07-09,3.0828426559120357
2021-07-10,3.086664861468894
2021-07-11,3.0705942944559657
2021-07-12,3.08054378425377
2021-07-13,3.069026536724718
2021-07-14,3.068815037604844
2021-07-15,3.1031775414413287
2021-07-16,3.035224496212162
2021-07-17,3.030153405897624
2021-07-18,3.038265294435818
2021-07-19,3.0333414776363523
2021-07-20,2.9946931943553468
2021-07-21,3.01906341570864
2021-07-22,2.945582774155453
2021-07-23,2.951868223574281
2021-07-24,2.9120581481243755
2021-07-25,2.934130902301339
2021-07-26,2.9344423068541867
2021-07-27,2.9441787493370883
2021-07-28,3.0367812420198543
2021-07-29,3.02313506025896
2021-07-30,3.0487960308553586
2021-07-31,3.11473144599828
2021-08-01,3.137672580755506
2021-08-02,3.144042083395665
2021-08-03,3.17074096153355
2021-08-04,3.1473496260568057
2021-08-05,3.2391444292507763
2021-08-06,3.222917035507692
2021-08-07,3.191580258931857
2021-08-08,3.275128353938285
2021-08-09,3.2258946197584333
2021-08-10,3.204387433410932
2021-08-11,3.2013072353292276
2021-08-12,3.1918839694097234
2021-08-13,3.166336258591339
2021-08-14,3.349883448426347
2021-08-15,3.3300271317757715
2021-08-16,3.341093825501441
2021-08-17,3.2805869196148345
2021-08-18,3.254825758046743
2021-08-19,3.2879277924997656
2021-08-20,3.3253640034672265
2021-08-21,3.3269820184258694
2021-08-22,3.306331853071406
2021-08-23,3.308471530356028
2021-08-24,3.3067933012654653
2021-08-25,3.29852456497643
2021-08-26,3.2942474974583424
2021-08-27,3.2612429224669
2021-08-28,3.3217700746644434
2021-08-29,3.311291380794375
2021-08-30,3.302819657096106
2021-08-31,3.299517838989135
2021-09-01,3.400413376406765
2021-09-02,3.4456079959497226
2021-09-03,3.436343377535043
2021-09-04,3.4634125023550806
2021-09-05,3.4474442877078637
2021-09-06,3.4619375825316046
2021-09-07,3.453250690625947
2021-09-08,3.5990090742971854
2021-09-09,3.6292078787506235
2021-09-10,3.583537139517154
2021-09-11,3.574081957930498
2021-09-12,3.5888624556004998
2021-09-13,3.626590505141922
2021-09-14,3.5360235050240845
2021-09-15,3.6533961810127793
2021-09-16,3.636362426847594
2021-09-17,3.639178607581398
2021-09-18,3.6089709482662573
2021-09-19,3.617060405753532
2021-09-20,3.5841745265801035
2021-09-21,3.41013912936608
2021-09-22,3.262505785292219
2021-09-23,3.3852056994388873
2021-09-24,3.3738465324011355
2021-09-25,3.399043083244812
2021-09-26,3.394879089862102
2021-09-27,3.434957800127716
2021-09-28,3.3980591835980727
2021-09-29,3.3969460336092667
2021-09-30,3.401928151958432
2021-10-01,3.570937577585377
2021-10-02,3.696850818388818
2021-10-03,3.7169157648019344
2021-10-04,3.7234305808086168
2021-10-05,3.7429274571468505
2021-10-06,3.718557198653846
2021-10-07,3.7229832689966504
2021-10-08,3.7289980843212085
2021-10-09,3.7177156164756657
2021-10-10,3.7189774598134906
2021-10-11,3.6725263193320594
2021-10-12,3.7318150548593088
2021-10-13,3.703232774450542
2021-10-14,3.7343904429369883
2021-10-15,3.752043639422713
2021-10-16,3.7240781949041106
2021-10-17,3.7119389846263426
2021-10-18,3.7141459625259055
2021-10-19,3.7080182091875256
2021-10-20,3.696782889146084
2021-10-21,3.786853360963206
2021-10-22,3.7945576559840957
2021-10-23,3.766174037905048
2021-10-24,3.811290181655188
2021-10-25,3.7887596759834175
2021-10-26,3.8058725713302812
2021-10-27,3.8034734078462256
2021-10-28,3.694241977239987
2021-10-29,3.6563295600954033
2021-10-30,3.659661543923226
2021-10-31,3.6359204724785155
2021-11-01,3.625864718247775
2021-11-02,3.625372329772538
2021-11-03,3.6909419508312085
2021-11-04,3.696876489084866
2021-11-05,3.644031646596012
2021-11-06,3.607030505112313
2021-11-07,3.6144696538935275
2021-11-08,3.6325748212558517
2021-11-09,3.6134651355539904
2021-11-10,3.572242239399769
2021-11-11,3.573658388385522
2021-11-12,3.58571463126814
2021-11-13,3.592301394870915
2021-11-14,3.5854507618008897
2021-11-15,3.5794439372317584
2021-11-16,3.5799812866787972
2021-11-17,3.640512742945022
2021-11-18,3.669158341841771
2021-11-19,3.6960615811500674
2021-11-20,3.7502027056341305
2021-11-21,3.7740122279867343
2021-11-22,3.737904513848017
2021-11-23,3.7721049176912183
2021-11-24,3.7690696066306417
2021-11-25,3.756976400314748
2021-11-26,3.8118630332819476
2021-11-27,3.5516487317721888
2021-11-28,3.5625812288925025
2021-11-29,3.6070738036882606
2021-11-30,3.6040233579159997
2021-12-01,3.804174495895696
2021-12-02,3.818944709273337
2021-12-03,3.8048730569088853
2021-12-04,3.683212386338851
2021-12-05,3.6588559653673105
2021-12-06,3.675277486804015
2021-12-07,3.6771377966411873
2021-12-08,3.705244774251201
2021-12-09,3.7188011700870467
2021-12-10,3.659335652660557
2021-12-11,3.513761246325539
2021-12-12,3.5563962720436546
2021-12-13,3.563937115164529
2021-12-14,3.4114068981503127
2021-12-15,3.4129988635296074
2021-12-16,3.399140131269618
2021-12-17,3.3685268939843733
2021-12-18,3.3399112202481684
2021-12-19,3.3582418500769156
2021-12-20,3.347828966471619
2021-12-21,3.370488763647729
2021-12-22,3.3790186360274683
2021-12-23,3.3132025366325806
2021-12-24,3.3142772173034096
2021-12-25,3.2981142417842286
2021-12-26,3.306918507393638
2021-12-27,3.298014119779274
2021-12-28,3.3164904293050825
2021-12-29,3.2392312124103886
2021-12-30,3.2209286477090284
2021-12-31,3.2603026899554015
2022-01-01,3.2366891666520927
2022-01-02,3.256139882465082
2022-01-03,3.269078143333587
2022-01-04,3.328230126108294
2022-01-05,3.3418409668210294
2022-01-06,3.2716312775129475
2022-01-07,3.283657758334758
2022-01-08,3.115855707394005
2022-01-09,3.0838083250431385
2022-01-10,3.100756039790523
2022-01-11,3.102858581446397
2022-01-12,3.1365072125950704
2022-01-13,3.179161406546325
2022-01-14,3.1484905428131857
2022-01-15,3.1366678996701225
2022-01-16,3.1397216907648127
2022-01-17,3.1433282004676326
2022-01-18,3.107398306029682
2022-01-19,3.1021226897079317
2022-01-20,3.039342924798317
2022-01-21,3.0231795313809493
2022-01-22,2.7445292993420427
2022-01-23,2.695268259260825
2022-01-24,2.7326864055175633
2022-01-25,2.7653628982217167
2022-01-26,2.816612913656803
2022-01-27,2.806795096868279
2022-01-28,2.801118427873594
2022-01-29,2.783100969518391
2022-01-30,2.798604560257069
2022-01-31,2.7973918524391714
2022-02-01,2.797251573154424
2022-02-02,2.813195330077654
2022-02-03,2.8027372148298455
2022-02-04,2.933605665754073
2022-02-05,2.8410974891130905
2022-02-06,2.8447155966285984
2022-02-07,2.8544866166058216
2022-02-08,2.909084294449184
2022-02-09,2.9106017408792866
2022-02-10,2.9105871335033116
2022-02-11,2.888851493402206
2022-02-12,2.835197590504538
2022-02-13,2.8313620402805877
2022-02-14,2.8166363386332747
2022-02-15,2.8129430458285407
2022-02-16,2.765573341865362
2022-02-17,2.685367586611977
2022-02-18,2.558943507390906
2022-02-19,2.482165774158686
2022-02-20,2.476456413088425
2022-02-21,2.434442548480517
2022-02-22,2.4176754349534617
2022-02-23,2.494119483996078
2022-02-24,2.49902761715592
2022-02-25,2.5254944595157625
2022-02-26,2.5261887673706354
2022-02-27,2.5275699244495606
2022-02-28,2.4804449183196327
2022-03-01,2.644407464687597
2022-03-02,2.7442301230612633
2022-03-03,2.8247902923646215
2022-03-04,2.78140266468193
2022-03-05,2.6802107974176597
2022-03-06,2.691468883018634
2022-03-07,2.6566713410681193
2022-03-08,2.6995726432480507
2022-03-09,2.743822130864369
2022-03-10,2.7072372248727787
2022-03-11,2.62944265783569
2022-03-12,2.628825720867419
2022-03-13,2.631026101457746
2022-03-14,2.614112810943009
2022-03-15,2.5601037416566363
2022-03-16,2.592434512330616
2022-03-17,2.586993993736709
2022-03-18,2.5873402788560558
2022-03-19,2.6048944705624493
2022-03-20,2.6069512257415575
2022-03-21,2.5819250771037137
2022-03-22,2.583221887185094
2022-03-23,2.563773892696514
2022-03-24,2.6581531880744533
2022-03-25,2.659570052163919
2022-03-26,2.664441856680623
2022-03-27,2.673742387655601
2022-03-28,2.7091095399565557
2022-03-29,2.706946883009641
2022-03-30,2.706451584440134
2022-03-31,2.6964992518992577
2022-04-01,2.647235036407336
2022-04-02,2.629752612209915
2022-04-03,2.6257809091077737
2022-04-04,2.642113428379946
2022-04-05,2.6396821840930222
2022-04-06,2.6402525833815336
2022-04-07,2.629175708450823
2022-04-08,2.6136304342503838
2022-04-09,2.609855995023498
2022-04-10,2.6246648764822957
2022-04-11,2.6099851191647496
2022-04-12,2.5893324875958394
2022-04-13,2.612649424696432
2022-04-14,2.6118809993247525
2022-04-15,2.614118797586283
2022-04-16,2.617438130216018
2022-04-17,2.6212772694470297
2022-04-18,2.6017498105335757
2022-04-19,2.6084513147608344
2022-04-20,2.60061089202239
2022-04-21,2.57351810947615
2022-04-22,2.573197939967523
2022-04-23,2.6231365606803183
2022-04-24,2.6142212207131506
2022-04-25,2.609935480303613
2022-04-26,2.6063492272416955
2022-04-27,2.583884767094459
2022-04-28,2.573300129066962
2022-04-29,2.600675196731517
2022-04-30,2.5786057881246354
2022-05-01,2.5522925164107475
2022-05-02,2.578312992078646
2022-05-03,2.579694902500566
2022-05-04,2.4805241458236087
2022-05-05,2.4751729852274305
2022-05-06,2.477902916754832
2022-05-07,2.4545024323960543
2022-05-08,2.437300295565882
2022-05-09,2.403035352484686
2022-05-10,2.2818188799574295
2022-05-11,2.3443098501747377
2022-05-12,1.9207068959675055
2022-05-13,1.947597185445884
2022-05-14,1.9605237261963802
2022-05-15,1.974752991081447
2022-05-16,2.002146576096345
2022-05-17,1.8943725734788748
2022-05-18,1.894023774522944
2022-05-19,1.784074355738085
2022-05-20,1.9064224899301823
2022-05-21,1.8826307831588929
2022-05-22,1.8869252450100509
2022-05-23,1.9081082790772017
2022-05-24,1.9568348572628271
2022-05-25,1.9706297229401588
2022-05-26,1.9813873741414723
2022-05-27,2.077354618404406
2022-05-28,2.1284559421838645
2022-05-29,2.149315665799577
2022-05-30,2.1555854155371486
2022-05-31,2.1880323826800923
2022-06-01,2.158840832825552
2022-06-02,2.115232464555406
2022-06-03,2.106707379759462
2022-06-04,2.087862306869255
2022-06-05,2.096770534130721
2022-06-06,2.0964865435835875
2022-06-07,2.0753021844112545
2022-06-08,2.0699713871555745
2022-06-09,2.0499045963053266
2022-06-10,2.115741457200497
2022-06-11,2.0628701031868335
2022-06-12,2.015390062909668
2022-06-13,1.978609290122548
2022-06-14,2.020733901582185
2022-06-15,2.0207234992781573
2022-06-16,1.987326912108893
2022-06-17,1.6731609423736096
2022-06-18,1.6811981893027983
2022-06-19,1.6392862444489702
2022-06-20,1.693994343854693
2022-06-21,1.693093548197197
2022-06-22,1.7468873905372284
2022-06-23,1.5605000307933437
2022-06-24,1.5528450829021838
2022-06-25,1.5156982166296358
2022-06-26,1.5218062274174704
2022-06-27,1.5036773609621805
2022-06-28,1.5014984966890266
2022-06-29,1.4928219708198718
2022-06-30,1.450016223047166
2022-07-01,1.4288729381815801
2022-07-02,1.441564900712469
2022-07-03,1.4441103888101046
2022-07-04,1.4468361275537118
2022-07-05,1.471938262838683
2022-07-06,1.4695221599951218
2022-07-07,1.4400927094316873
2022-07-08,1.4343952594708127
2022-07-09,1.40462200386027
2022-07-10,1.4051563940042522
2022-07-11,1.3855577169392947
2022-07-12,1.3895692155081731
2022-07-13,1.3569536156350537
2022-07-14,1.5457226480757544
2022-07-15,1.5169757554323147
2022-07-16,1.5162349049143036
2022-07-17,1.5634208346541614
2022-07-18,1.5562340013636526
2022-07-19,1.809482864770386
2022-07-20,1.8665142207073429
2022-07-21,1.8566675129667582
2022-07-22,1.8538979576839474
2022-07-23,1.8162104544542472
2022-07-24,1.82012685777246
2022-07-25,1.8360545043478322
2022-07-26,1.9094674442850326
2022-07-27,1.9208305388059996
2022-07-28,1.8286745884957922
2022-07-29,1.7970636734612668
2022-07-30,1.7522252197846562
2022-07-31,1.743776094174055
2022-08-01,1.7370873729809422
2022-08-02,1.7230995220117218
2022-08-03,1.7237877483840722
2022-08-04,1.7163190059247042
2022-08-05,1.6585647035416302
2022-08-06,1.5665060644010786
2022-08-07,1.5516522957739636
2022-08-08,1.5540245843527307
2022-08-09,1.616009963841293
2022-08-10,1.6009209000678617
2022-08-11,1.6277353632882208
2022-08-12,1.6151366607651483
2022-08-13,1.5976169616287468
2022-08-14,1.6039889980115043
2022-08-15,1.5894598315383117
2022-08-16,1.5946608883876487
2022-08-17,1.598490682539651
2022-08-18,1.6020507262332448
2022-08-19,1.6002952202485314
2022-08-20,1.684597196769651
2022-08-21,1.6733678798415503
2022-08-22,1.6861726574614824
2022-08-23,1.7065465303071403
2022-08-24,1.7344190776256176
2022-08-25,1.730472085676664
2022-08-26,1.7334876171745455
2022-08-27,1.594554860964801
2022-08-28,1.588143297187979
2022-08-29,1.5658737570586203
2022-08-30,1.5380939105424387
2022-08-31,1.529848546797791
2022-09-01,1.5485831303291082
2022-09-02,1.5016922673667374
2022-09-03,1.4871141733705509
2022-09-04,1.4805857180817266
2022-09-05,1.4870902760423654
2022-09-06,1.4991287488760734
2022-09-07,1.5295165914732192
2022-09-08,1.5271261701848378
2022-09-09,1.5259215957103403
2022-09-10,1.5584933774347491
2022-09-11,1.5748654851182677
2022-09-12,1.5718065062553175
2022-09-13,1.5644175548757113
2022-09-14,1.5387038500373795
2022-09-15,1.5643181336643284
2022-09-16,1.5860759853483595
2022-09-17,1.5311506546820224
2022-09-18,1.5425458294882375
2022-09-19,1.495481241423915
2022-09-20,1.4888757150217047
2022-09-21,1.471637836052494
2022-09-22,1.4154415601475736
2022-09-23,1.2960836656668995
2022-09-24,1.2915381657199039
2022-09-25,1.2873393259175705
2022-09-26,1.2784639156340871
2022-09-27,1.2537152165707364
2022-09-28,1.24681780370019
2022-09-29,1.2349441487044077
2022-09-30,1.2796968200761916
2022-10-01,1.2831478038063855
2022-10-02,1.2763854655484836
2022-10-03,1.2628613160126454
2022-10-04,1.2619842153643233
2022-10-05,1.2564729932218646
2022-10-06,1.2602701149427755
2022-10-07,1.2768675498616886
2022-10-08,1.2960342240036877
2022-10-09,1.2898183877342657
2022-10-10,1.2920831053497213
2022-10-11,1.2897047963599413
2022-10-12,1.2847093944985017
2022-10-13,1.2927999579789073
2022-10-14,1.3274968373282334
2022-10-15,1.3464173082693183
2022-10-16,1.3377253255621353
2022-10-17,1.3488309856312675
2022-10-18,1.3547039440135515
2022-10-19,1.3854946777651667
2022-10-20,1.3799473112525558
2022-10-21,1.3643997929451588
2022-10-22,1.3853030625871439
2022-10-23,1.3898206804798205
2022-10-24,1.4072971615470216
2022-10-25,1.4407460622373207
2022-10-26,1.4958635282461894
2022-10-27,1.6149819160264123
2022-10-28,1.6263337805368792
2022-10-29,1.6195308539227424
2022-10-30,1.6404854583094022
2022-10-31,1.6302195123787673
2022-11-01,1.6302152207145755
2022-11-02,1.6396902392743389
2022-11-03,1.6071843075126886
2022-11-04,1.574751309249746
2022-11-05,1.6155752602180702
2022-11-06,1.6091800820279034
2022-11-07,1.5891184411514525
2022-11-08,1.577748612612017
2022-11-09,1.3742914394205143
2022-11-10,1.2250920751401995
2022-11-11,1.319417374268376
2022-11-12,1.2942346723933633
2022-11-13,1.28281583536598
2022-11-14,1.2693989555007261
2022-11-15,1.3169947448473438
2022-11-16,1.316734479497451
2022-11-17,1.2993910170685246
2022-11-18,1.303910888163912
2022-11-19,1.3033035443169922
2022-11-20,1.3048638866441389
2022-11-21,1.276426893981373
2022-11-22,1.3080770354501658
2022-11-23,1.315111820013449
2022-11-24,1.350951593267176
2022-11-25,1.357360354518572
2022-11-26,1.355949630743816
2022-11-27,1.3577335535018085
2022-11-28,1.3530448259530263
2022-11-29,1.353352498443117
2022-11-30,1.3497632988140562
