date,Miner to Miner Flow (Total)
2021-01-24,300.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,1.44513873
2021-04-25,3.63583954
2021-04-26,1.13431283
2021-04-27,1.23381406
2021-04-28,1.29182833
2021-04-29,1.3061655
2021-04-30,1.15580455
2021-05-01,0.88953481
2021-05-02,0.51445041
2021-05-03,0.52424021
2021-05-04,0.58587362
2021-05-05,0.629335
2021-05-06,0.60118119
2021-05-07,0.70664369
2021-05-08,0.81610872
2021-05-09,0.83621509
2021-05-10,0.74823831
2021-05-11,1.74536655
2021-05-12,1.50260696
2021-05-13,1.33502917
2021-05-14,1.2533627
2021-05-15,1.64006358
2021-05-16,1.91694782
2021-05-17,1.94885957
2021-05-18,2.59186951
2021-05-19,2.65936555
2021-05-20,2.6979626
2021-05-21,2.90683488
2021-05-22,3.02876668
2021-05-23,3.11735662
2021-05-24,2.94625288
2021-05-25,2.57352923
2021-05-26,2.57819132
2021-05-27,2.66302935
2021-05-28,2.62596891
2021-05-29,2.64043273
2021-05-30,2.42545049
2021-05-31,2.75809058
2021-06-01,3.21584227
2021-06-02,3.47461207
2021-06-03,3.06880647
2021-06-04,3.00377107
2021-06-05,2.39068563
2021-06-06,2.32838046
2021-06-07,2.35659311
2021-06-08,3.01625664
2021-06-09,4.15066613
2021-06-10,4.3929199
2021-06-11,3.42510657
2021-06-12,1.65523214
2021-06-13,1.26625363
2021-06-14,1.2495758
2021-06-15,1.11300031
2021-06-16,1.34592208
2021-06-17,1.38829732
2021-06-18,1.45249514
2021-06-19,1.40655094
2021-06-20,1.28558273
2021-06-21,1.49240046
2021-06-22,1.31418982
2021-06-23,1.20099871
2021-06-24,1.2424221
2021-06-25,1.28342825
2021-06-26,1.34398431
2021-06-27,1.36319183
2021-06-28,1.36702238
2021-06-29,1.38309384
2021-06-30,1.21654354
2021-07-01,1.0935515
2021-07-02,0.85789223
2021-07-03,0.81222947
2021-07-04,0.99375903
2021-07-05,1.11855108
2021-07-06,1.1984139
2021-07-07,1.17348909
2021-07-08,1.41762372
2021-07-09,1.43815675
2021-07-10,1.36089078
2021-07-11,1.56643566
2021-07-12,1.23250026
2021-07-13,1.47574387
2021-07-14,1.27432912
2021-07-15,1.58866863
2021-07-16,1.43913273
2021-07-17,1.53656787
2021-07-18,1.6878468
2021-07-19,1.235851
2021-07-20,1.75194501
2021-07-21,1.68277125
2021-07-22,1.63120801
2021-07-23,1.70524569
2021-07-24,1.49659909
2021-07-25,1.73807036
2021-07-26,1.47466548
2021-07-27,1.59665005
2021-07-28,1.12976616
2021-07-29,1.03362275
2021-07-30,1.01379979
2021-07-31,0.94877599
2021-08-01,0.75942771
2021-08-02,0.39376452
2021-08-03,0.67175489
2021-08-04,0.75180147
2021-08-05,0.84508386
2021-08-06,0.81346904
2021-08-07,1.01306619
2021-08-08,0.86411896
2021-08-09,1.08379773
2021-08-10,1.56110077
2021-08-11,1.51157481
2021-08-12,1.42609329
2021-08-13,1.42183972
2021-08-14,1.23461383
2021-08-15,0.99218336
2021-08-16,0.90042446
