physical_column_id,raw_object_id,provider,relpath,column_name,observed_dtype,non_null_count,null_count,profile_status
col_202af8664fde99fc,raw_07adf767845b3da1,AlternativeMe,data_local/raw/alternativeme/fear_greed_index__daily.csv,date,str,2994,0,observed
col_49dbedf67f452502,raw_07adf767845b3da1,AlternativeMe,data_local/raw/alternativeme/fear_greed_index__daily.csv,fng_value,int64,2994,0,observed
col_522632d1df53aec1,raw_07adf767845b3da1,AlternativeMe,data_local/raw/alternativeme/fear_greed_index__daily.csv,fng_classification,str,2994,0,observed
col_f36aa90f4bdcdc77,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,date,str,75,0,observed
col_80eb8d55c4755a1c,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,Africa,int64,75,0,observed
col_5c844840b72de4da,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,Asia,int64,75,0,observed
col_8f018a9e634fa82f,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,Europe,int64,75,0,observed
col_2bba1cac6471e514,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,Latin America,int64,75,0,observed
col_2b9bbf384b088300,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,North America,int64,75,0,observed
col_8ca7d0a6f8018654,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,Oceania,int64,75,0,observed
col_e0bb47597cf935f5,raw_cde121a789c330c8,Artemis,data_local/raw/artemis/Adjusted Stablecoin Transactions by Region (Ethereum and Solana).csv,Southeast Asia,int64,75,0,observed
col_13ba0bf15c854157,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,symbol,str,20,0,observed
col_849476c9189ef710,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_SHARE_VOLUME,float64,20,0,observed
col_5965e8791703ea3f,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,MC,float64,0,20,observed
col_592de8d412740636,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_FULLY_DILUTED_MARKET_CAP,float64,20,0,observed
col_796cbf048a977842,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_NAV,float64,20,0,observed
col_4df020ffff85570d,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_M_NAV,float64,20,0,observed
col_2a7e9839e0f76a97,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_FDM_NAV,float64,20,0,observed
col_24de29373b8c5d40,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_EV_MNAV,float64,20,0,observed
col_7bde430cf0d6f879,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,EQ_FD_EV_MNAV,float64,20,0,observed
col_0d1db7f4662f1cfc,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,TICKER,str,20,0,observed
col_53d2d838eb75b921,raw_717166e055e502a8,Artemis,data_local/raw/artemis/Artemis - Digital Asset Treasuries Overview.csv,ASSETS_HELD,str,20,0,observed
col_0010e1b7ba09d823,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,date,str,825,0,observed
col_7bbbec9196326f5b,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,ARKB,float64,825,0,observed
col_ddc847bee34acbf0,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,BITB,float64,825,0,observed
col_9d41b099f3198a5b,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,BRRR,float64,825,0,observed
col_a9956d0ac11bef0b,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,Bitcoin,float64,825,0,observed
col_0a3614387f5e8d36,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,BTCO,float64,825,0,observed
col_f7fc0cbd097a5883,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,BTCW,float64,825,0,observed
col_675733bc58bcf1c4,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,EZBC,float64,825,0,observed
col_5433eb98a13fa5cf,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,FBTC,float64,825,0,observed
col_5c7d23a6d02c2db3,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,GBTC,float64,825,0,observed
col_b0c719dcdcb0b42e,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,HODL,float64,825,0,observed
col_c53a1b19514737c6,raw_98aaee875357d60e,Artemis,data_local/raw/artemis/Bitcoin ETFs AUM.csv,IBIT,float64,825,0,observed
col_7d83cdfce355d2d2,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,date,str,1483,0,observed
col_4c1a82a4af7e6de5,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,American Bitcoin - Number of Tokens Held,float64,142,1341,observed
col_cc00da21d59c1bda,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,Strive Asset Management - Number of Tokens Held,float64,250,1233,observed
col_9ebf734f6a6a7d7f,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,Bitcoin Standard Treasury Company - Number of Tokens Held,float64,250,1233,observed
col_26bc1cd0831ba5cb,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,Metaplanet - Number of Tokens Held,float64,528,955,observed
col_6a4a9bf0aac2e267,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,Strategy - Number of Tokens Held,int64,1483,0,observed
col_fb265172f82d2f92,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,Nakamoto Holdings - Number of Tokens Held,float64,250,1233,observed
col_f6e76741ba5853be,raw_778ab4209b433b43,Artemis,data_local/raw/artemis/BTC DATs - Bitcoin Count.csv,Twenty One Capital - Number of Tokens Held,float64,250,1233,observed
col_e34302495850de9c,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,date,str,1483,0,observed
col_3708eb1653acf8af,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,American Bitcoin - Fully Diluted EV / Nav,float64,142,1341,observed
col_09da21ec1fea5c04,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,Strive Asset Management - Fully Diluted EV / Nav,float64,250,1233,observed
col_059322569afc8af7,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,Metaplanet - Fully Diluted EV / Nav,float64,528,955,observed
col_3ac5f65bc870ff85,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,Strategy - Fully Diluted EV / Nav,float64,1483,0,observed
col_0854b2bc21f4e56f,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,Nakamoto Holdings - Fully Diluted EV / Nav,float64,250,1233,observed
col_06fa33eda5dde1da,raw_d5a206fa13157fe8,Artemis,data_local/raw/artemis/BTC DATs- Fully Diluted EV NAV.csv,Twenty One Capital - Fully Diluted EV / Nav,float64,250,1233,observed
col_d053e99c678c52e5,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,date,str,1374,0,observed
col_211298ff841b8cba,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,Binance,float64,1374,0,observed
col_da5b7073d1166aa8,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,Bitget,float64,653,721,observed
col_5395134c1a386840,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,Bybit,float64,1338,36,observed
col_f739fbc263598591,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,Crypto.com,float64,1260,114,observed
col_9f73c1bd81db62db,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,Gate.io,float64,1260,114,observed
col_d14391ae6615b5aa,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,Kraken,float64,1260,114,observed
col_1ef8b1cf11f53a63,raw_680af948a31d7f49,Artemis,data_local/raw/artemis/Centralized Exchanges - Open Interest.csv,OKX,float64,1374,0,observed
col_da84eda9bf9b587e,raw_bc4a57a06fa8def6,Artemis,data_local/raw/artemis/Centralized Exchanges - Perpetuals Volume.csv,date,str,1565,0,observed
col_5a92e554eb8a3f3e,raw_bc4a57a06fa8def6,Artemis,data_local/raw/artemis/Centralized Exchanges - Perpetuals Volume.csv,Binance,float64,1565,0,observed
col_bd907127e989d77c,raw_bc4a57a06fa8def6,Artemis,data_local/raw/artemis/Centralized Exchanges - Perpetuals Volume.csv,Bitget,float64,653,912,observed
col_9269a4ec0ef037ab,raw_bc4a57a06fa8def6,Artemis,data_local/raw/artemis/Centralized Exchanges - Perpetuals Volume.csv,Bybit,float64,1491,74,observed
col_67ad99dad5fe9118,raw_bc4a57a06fa8def6,Artemis,data_local/raw/artemis/Centralized Exchanges - Perpetuals Volume.csv,Crypto.com,float64,1260,305,observed
col_6a5f803b3314e35d,raw_bc4a57a06fa8def6,Artemis,data_local/raw/artemis/Centralized Exchanges - Perpetuals Volume.csv,Gate.io,float64,1260,305,observed
