date,timestamp_utc,US,US Alliance,International
2006-04-11,2006-04-11T00:00:00Z,0.0,0.0,0.0
2006-04-12,2006-04-12T00:00:00Z,0.0,0.0,0.0
2006-04-13,2006-04-13T00:00:00Z,0.0,0.0,0.0
2006-04-14,2006-04-14T00:00:00Z,0.0,0.0,0.0
2006-04-15,2006-04-15T00:00:00Z,0.0,0.0,0.0
2006-04-16,2006-04-16T00:00:00Z,0.0,0.0,0.0
2006-04-17,2006-04-17T00:00:00Z,0.0,0.0,0.0
2006-04-18,2006-04-18T00:00:00Z,0.0,0.0,0.0
2006-04-19,2006-04-19T00:00:00Z,0.0,0.0,0.0
2006-04-20,2006-04-20T00:00:00Z,0.0,0.0,0.0
2006-04-21,2006-04-21T00:00:00Z,0.0,0.0,0.0
2006-04-22,2006-04-22T00:00:00Z,0.0,0.0,0.0
2006-04-23,2006-04-23T00:00:00Z,0.0,0.0,0.0
2006-04-24,2006-04-24T00:00:00Z,0.0,0.0,0.0
2006-04-25,2006-04-25T00:00:00Z,0.0,0.0,0.0
2006-04-26,2006-04-26T00:00:00Z,0.0,0.0,0.0
2006-04-27,2006-04-27T00:00:00Z,0.0,0.0,0.0
2006-04-28,2006-04-28T00:00:00Z,0.0,0.0,0.0
2006-04-29,2006-04-29T00:00:00Z,0.0,0.0,0.0
2006-04-30,2006-04-30T00:00:00Z,0.0,0.0,0.0
2006-05-01,2006-05-01T00:00:00Z,0.0,0.0,0.0
2006-05-02,2006-05-02T00:00:00Z,0.0,0.0,0.0
2006-05-03,2006-05-03T00:00:00Z,0.0,0.0,0.0
2006-05-04,2006-05-04T00:00:00Z,0.0,0.0,0.0
2006-05-05,2006-05-05T00:00:00Z,0.0,0.0,0.0
2006-05-06,2006-05-06T00:00:00Z,0.0,0.0,0.0
2006-05-07,2006-05-07T00:00:00Z,0.0,0.0,0.0
2006-05-08,2006-05-08T00:00:00Z,0.0,0.0,0.0
2006-05-09,2006-05-09T00:00:00Z,0.0,0.0,0.0
2006-05-10,2006-05-10T00:00:00Z,0.0,0.0,0.0
2006-05-11,2006-05-11T00:00:00Z,0.0,0.0,0.0
2006-05-12,2006-05-12T00:00:00Z,0.0,0.0,0.0
2006-05-13,2006-05-13T00:00:00Z,0.0,0.0,0.0
2006-05-14,2006-05-14T00:00:00Z,0.0,0.0,0.0
