date,Korea Premium Index
2020-07-16,-0.78
2020-07-17,-0.86
2020-07-18,-1.4
2020-07-19,-1.54
2020-07-20,-0.66
2020-07-21,-0.99
2020-07-22,-1.29
2020-07-23,-1.82
2020-07-24,-1.36
2020-07-25,-1.82
2020-07-26,-2.11
2020-07-27,-2.3
2020-07-28,-2.66
2020-07-29,-1.13
2020-07-30,-1.47
2020-07-31,-0.67
2020-08-01,-0.88
2020-08-02,-1.03
2020-08-03,-1.08
2020-08-04,-0.5
2020-08-05,-0.65
2020-08-06,-0.66
2020-08-07,0.0
2020-08-08,-0.63
2020-08-09,-0.32
2020-08-10,-0.9
2020-08-11,0.72
2020-08-12,0.08
2020-08-13,-1.13
2020-08-14,-0.83
2020-08-15,-1.4
2020-08-16,-1.83
2020-08-17,-2.8
2020-08-18,-1.26
2020-08-19,-0.4
2020-08-20,-0.28
2020-08-21,0.57
2020-08-22,-0.52
2020-08-23,-0.66
2020-08-24,-1.05
2020-08-25,0.25
2020-08-26,-0.44
2020-08-27,-0.39
2020-08-28,-1.05
2020-08-29,-0.72
2020-08-30,-1.35
2020-08-31,-0.31
2020-09-01,-1.23
2020-09-02,0.53
2020-09-03,1.99
2020-09-04,1.19
2020-09-05,2.3
2020-09-06,1.2
2020-09-07,0.32
2020-09-08,0.7
2020-09-09,0.07
2020-09-10,0.42
2020-09-11,-0.07
2020-09-12,-0.28
2020-09-13,0.89
2020-09-14,-0.28
2020-09-15,0.37
2020-09-16,-0.11
2020-09-17,-0.21
2020-09-18,-0.61
2020-09-19,0.39
2020-09-20,0.95
2020-09-21,1.28
2020-09-22,0.49
2020-09-23,0.28
2020-09-24,-0.19
2020-09-25,-0.95
2020-09-26,-1.0
2020-09-27,-1.29
2020-09-28,-1.01
2020-09-29,-0.79
2020-09-30,-0.38
2020-10-01,0.13
2020-10-02,1.04
2020-10-03,0.99
2020-10-04,0.15
2020-10-05,-0.25
2020-10-06,0.98
2020-10-07,0.21
2020-10-08,-0.64
2020-10-09,-0.88
2020-10-10,-0.67
2020-10-11,-0.68
2020-10-12,-0.37
2020-10-13,-0.02
2020-10-14,0.33
2020-10-15,0.18
2020-10-16,0.25
2020-10-17,0.62
2020-10-18,0.41
2020-10-19,-0.21
2020-10-20,0.56
2020-10-21,-1.3
2020-10-22,-0.9
2020-10-23,-0.66
2020-10-24,-0.37
2020-10-25,-0.18
2020-10-26,0.16
2020-10-27,-1.03
2020-10-28,0.83
2020-10-29,-0.34
2020-10-30,-0.2
2020-10-31,0.09
2020-11-01,0.06
2020-11-02,0.59
2020-11-03,-0.14
2020-11-04,-0.34
2020-11-05,-1.68
2020-11-06,-0.65
2020-11-07,-0.07
2020-11-08,-0.5
2020-11-09,-0.64
2020-11-10,0.23
2020-11-11,-0.65
2020-11-12,-1.06
2020-11-13,-1.14
2020-11-14,-0.16
2020-11-15,-0.08
2020-11-16,-1.54
2020-11-17,-1.17
2020-11-18,0.25
2020-11-19,0.66
2020-11-20,-0.99
2020-11-21,-2.29
2020-11-22,-1.09
2020-11-23,-1.88
2020-11-24,-1.68
2020-11-25,0.13
2020-11-26,1.09
2020-11-27,0.56
2020-11-28,-0.69
2020-11-29,-0.61
2020-11-30,-2.18
2020-12-01,0.32
2020-12-02,-0.98
2020-12-03,-1.2
2020-12-04,0.95
2020-12-05,-0.11
2020-12-06,-0.37
2020-12-07,0.02
2020-12-08,0.65
2020-12-09,0.69
2020-12-10,0.56
2020-12-11,0.11
2020-12-12,0.08
2020-12-13,-0.81
2020-12-14,-0.61
2020-12-15,-0.56
2020-12-16,-1.9
2020-12-17,-0.79
2020-12-18,-0.51
2020-12-19,-0.05
2020-12-20,0.44
2020-12-21,1.61
2020-12-22,1.4
2020-12-23,2.74
2020-12-24,0.77
2020-12-25,-0.49
2020-12-26,0.68
2020-12-27,1.33
2020-12-28,1.31
2020-12-29,1.48
2020-12-30,1.0
2020-12-31,1.74
2021-01-01,0.93
2021-01-02,2.1
2021-01-03,4.28
2021-01-04,4.66
2021-01-05,3.2
2021-01-06,1.59
2021-01-07,4.25
2021-01-08,6.48
2021-01-09,3.99
2021-01-10,4.11
2021-01-11,3.9
2021-01-12,2.98
2021-01-13,0.82
2021-01-14,-0.42
2021-01-15,1.66
2021-01-16,1.19
2021-01-17,0.28
2021-01-18,-0.75
2021-01-19,-0.55
2021-01-20,0.31
2021-01-21,1.24
2021-01-22,0.15
2021-01-23,-0.03
2021-01-24,-0.51
2021-01-25,1.01
2021-01-26,0.25
2021-01-27,2.23
2021-01-28,-1.01
2021-01-29,-2.0
2021-01-30,-3.25
2021-01-31,-1.57
2021-02-01,-2.35
2021-02-02,-4.58
2021-02-03,-6.34
2021-02-04,-3.52
2021-02-05,-5.59
2021-02-06,-5.3
2021-02-07,-3.79
2021-02-08,-5.86
2021-02-09,-6.5
2021-02-10,-2.72
2021-02-11,-3.14
2021-02-12,-2.73
2021-02-13,-2.99
2021-02-14,-1.97
2021-02-15,-0.82
2021-02-16,1.05
2021-02-17,-0.1
2021-02-18,1.34
2021-02-19,2.81
2021-02-20,4.18
2021-02-21,3.15
2021-02-22,3.39
2021-02-23,1.22
2021-02-24,2.12
2021-02-25,3.55
2021-02-26,4.41
2021-02-27,2.67
2021-02-28,1.51
2021-03-01,0.8
2021-03-02,2.89
2021-03-03,2.01
2021-03-04,4.29
2021-03-05,3.22
2021-03-06,1.89
2021-03-07,0.97
2021-03-08,1.13
2021-03-09,0.59
2021-03-10,1.03
2021-03-11,0.26
2021-03-12,2.87
