date,timestamp_utc,Staking Inflow Total
2020-11-03,2020-11-03T00:00:00Z,0.0
2020-11-04,2020-11-04T00:00:00Z,11620.0
2020-11-05,2020-11-05T00:00:00Z,20864.0
2020-11-06,2020-11-06T00:00:00Z,7616.0
2020-11-07,2020-11-07T00:00:00Z,3776.0
2020-11-08,2020-11-08T00:00:00Z,4064.0
2020-11-09,2020-11-09T00:00:00Z,1628.0
2020-11-10,2020-11-10T00:00:00Z,3328.0
2020-11-11,2020-11-11T00:00:00Z,4832.0
2020-11-12,2020-11-12T00:00:00Z,2112.0
2020-11-13,2020-11-13T00:00:00Z,3615.0
2020-11-14,2020-11-14T00:00:00Z,17184.0
2020-11-15,2020-11-15T00:00:00Z,12128.0
2020-11-16,2020-11-16T00:00:00Z,5440.0
2020-11-17,2020-11-17T00:00:00Z,2208.0
2020-11-18,2020-11-18T00:00:00Z,3872.0
2020-11-19,2020-11-19T00:00:00Z,2848.0
2020-11-20,2020-11-20T00:00:00Z,41056.0
2020-11-21,2020-11-21T00:00:00Z,88000.0
2020-11-22,2020-11-22T00:00:00Z,46688.0
2020-11-23,2020-11-23T00:00:00Z,177248.0
2020-11-24,2020-11-24T00:00:00Z,244096.0
2020-11-25,2020-11-25T00:00:00Z,35072.0
2020-11-26,2020-11-26T00:00:00Z,36128.0
2020-11-27,2020-11-27T00:00:00Z,26080.0
2020-11-28,2020-11-28T00:00:00Z,21888.0
2020-11-29,2020-11-29T00:00:00Z,16064.0
2020-11-30,2020-11-30T00:00:00Z,26240.0
2020-12-01,2020-12-01T00:00:00Z,39905.0
2020-12-02,2020-12-02T00:00:00Z,73249.0
2020-12-03,2020-12-03T00:00:00Z,14944.0
2020-12-04,2020-12-04T00:00:00Z,76736.0
2020-12-05,2020-12-05T00:00:00Z,40523.0
2020-12-06,2020-12-06T00:00:00Z,33155.0
2020-12-07,2020-12-07T00:00:00Z,45393.0
2020-12-08,2020-12-08T00:00:00Z,81568.0
2020-12-09,2020-12-09T00:00:00Z,42400.0
2020-12-10,2020-12-10T00:00:00Z,59904.0
2020-12-11,2020-12-11T00:00:00Z,37952.0
2020-12-12,2020-12-12T00:00:00Z,24832.0
2020-12-13,2020-12-13T00:00:00Z,25600.0
2020-12-14,2020-12-14T00:00:00Z,20544.0
2020-12-15,2020-12-15T00:00:00Z,20288.0
2020-12-16,2020-12-16T00:00:00Z,17857.0
2020-12-17,2020-12-17T00:00:00Z,20131.0
2020-12-18,2020-12-18T00:00:00Z,18140.0
2020-12-19,2020-12-19T00:00:00Z,67712.0
2020-12-20,2020-12-20T00:00:00Z,65440.0
2020-12-21,2020-12-21T00:00:00Z,96513.0
2020-12-22,2020-12-22T00:00:00Z,132288.0
2020-12-23,2020-12-23T00:00:00Z,83008.0
2020-12-24,2020-12-24T00:00:00Z,10976.0
2020-12-25,2020-12-25T00:00:00Z,11072.0
2020-12-26,2020-12-26T00:00:00Z,11552.0
2020-12-27,2020-12-27T00:00:00Z,42016.0
2020-12-28,2020-12-28T00:00:00Z,32384.0
2020-12-29,2020-12-29T00:00:00Z,13568.0
2020-12-30,2020-12-30T00:00:00Z,24544.0
2020-12-31,2020-12-31T00:00:00Z,20864.0
2021-01-01,2021-01-01T00:00:00Z,13184.0
2021-01-02,2021-01-02T00:00:00Z,12768.0
2021-01-03,2021-01-03T00:00:00Z,8320.0
2021-01-04,2021-01-04T00:00:00Z,36640.0
2021-01-05,2021-01-05T00:00:00Z,20192.0
2021-01-06,2021-01-06T00:00:00Z,24928.0
2021-01-07,2021-01-07T00:00:00Z,19168.0
2021-01-08,2021-01-08T00:00:00Z,27008.0
2021-01-09,2021-01-09T00:00:00Z,15712.0
2021-01-10,2021-01-10T00:00:00Z,12032.0
2021-01-11,2021-01-11T00:00:00Z,45504.0
2021-01-12,2021-01-12T00:00:00Z,26624.0
2021-01-13,2021-01-13T00:00:00Z,27136.0
2021-01-14,2021-01-14T00:00:00Z,44640.0
2021-01-15,2021-01-15T00:00:00Z,12384.0
2021-01-16,2021-01-16T00:00:00Z,17216.0
2021-01-17,2021-01-17T00:00:00Z,6560.0
2021-01-18,2021-01-18T00:00:00Z,52928.0
2021-01-19,2021-01-19T00:00:00Z,112256.0
2021-01-20,2021-01-20T00:00:00Z,72192.0
2021-01-21,2021-01-21T00:00:00Z,3648.0
2021-01-22,2021-01-22T00:00:00Z,11520.0
2021-01-23,2021-01-23T00:00:00Z,18624.0
2021-01-24,2021-01-24T00:00:00Z,13376.0
2021-01-25,2021-01-25T00:00:00Z,7168.0
2021-01-26,2021-01-26T00:00:00Z,8192.0
2021-01-27,2021-01-27T00:00:00Z,6496.0
2021-01-28,2021-01-28T00:00:00Z,11456.0
2021-01-29,2021-01-29T00:00:00Z,14912.0
2021-01-30,2021-01-30T00:00:00Z,5888.0
2021-01-31,2021-01-31T00:00:00Z,11168.0
2021-02-01,2021-02-01T00:00:00Z,7680.0
2021-02-02,2021-02-02T00:00:00Z,13600.0
2021-02-03,2021-02-03T00:00:00Z,22368.0
2021-02-04,2021-02-04T00:00:00Z,5600.0
2021-02-05,2021-02-05T00:00:00Z,7648.0
2021-02-06,2021-02-06T00:00:00Z,11392.0
2021-02-07,2021-02-07T00:00:00Z,15840.0
2021-02-08,2021-02-08T00:00:00Z,6496.0
2021-02-09,2021-02-09T00:00:00Z,18368.0
2021-02-10,2021-02-10T00:00:00Z,34432.0
2021-02-11,2021-02-11T00:00:00Z,11584.0
2021-02-12,2021-02-12T00:00:00Z,18752.0
2021-02-13,2021-02-13T00:00:00Z,4608.0
2021-02-14,2021-02-14T00:00:00Z,18720.0
2021-02-15,2021-02-15T00:00:00Z,7136.0
2021-02-16,2021-02-16T00:00:00Z,8064.0
2021-02-17,2021-02-17T00:00:00Z,31584.0
2021-02-18,2021-02-18T00:00:00Z,24800.0
2021-02-19,2021-02-19T00:00:00Z,9696.0
2021-02-20,2021-02-20T00:00:00Z,9216.0
2021-02-21,2021-02-21T00:00:00Z,12448.0
2021-02-22,2021-02-22T00:00:00Z,17344.0
2021-02-23,2021-02-23T00:00:00Z,4512.0
2021-02-24,2021-02-24T00:00:00Z,29280.0
2021-02-25,2021-02-25T00:00:00Z,49280.0
2021-02-26,2021-02-26T00:00:00Z,18816.0
2021-02-27,2021-02-27T00:00:00Z,7680.0
2021-02-28,2021-02-28T00:00:00Z,4192.0
2021-03-01,2021-03-01T00:00:00Z,11392.0
2021-03-02,2021-03-02T00:00:00Z,13408.0
2021-03-03,2021-03-03T00:00:00Z,6720.0
2021-03-04,2021-03-04T00:00:00Z,10624.0
2021-03-05,2021-03-05T00:00:00Z,46464.0
2021-03-06,2021-03-06T00:00:00Z,5216.0
2021-03-07,2021-03-07T00:00:00Z,11616.0
2021-03-08,2021-03-08T00:00:00Z,14592.0
2021-03-09,2021-03-09T00:00:00Z,17504.0
2021-03-10,2021-03-10T00:00:00Z,16544.0
2021-03-11,2021-03-11T00:00:00Z,5632.0
2021-03-12,2021-03-12T00:00:00Z,9056.0
2021-03-13,2021-03-13T00:00:00Z,6912.0
2021-03-14,2021-03-14T00:00:00Z,26816.0
2021-03-15,2021-03-15T00:00:00Z,2560.0
2021-03-16,2021-03-16T00:00:00Z,5312.0
2021-03-17,2021-03-17T00:00:00Z,6464.0
2021-03-18,2021-03-18T00:00:00Z,8096.0
2021-03-19,2021-03-19T00:00:00Z,6752.0
2021-03-20,2021-03-20T00:00:00Z,3744.0
2021-03-21,2021-03-21T00:00:00Z,2464.0
2021-03-22,2021-03-22T00:00:00Z,3232.0
2021-03-23,2021-03-23T00:00:00Z,4224.0
2021-03-24,2021-03-24T00:00:00Z,8256.0
2021-03-25,2021-03-25T00:00:00Z,4896.0
2021-03-26,2021-03-26T00:00:00Z,3808.0
2021-03-27,2021-03-27T00:00:00Z,12832.0
2021-03-28,2021-03-28T00:00:00Z,5056.0
2021-03-29,2021-03-29T00:00:00Z,5760.0
2021-03-30,2021-03-30T00:00:00Z,9728.0
2021-03-31,2021-03-31T00:00:00Z,4832.0
2021-04-01,2021-04-01T00:00:00Z,7968.0
2021-04-02,2021-04-02T00:00:00Z,14944.0
2021-04-03,2021-04-03T00:00:00Z,37120.0
2021-04-04,2021-04-04T00:00:00Z,17568.0
2021-04-05,2021-04-05T00:00:00Z,10208.0
2021-04-06,2021-04-06T00:00:00Z,12096.0
2021-04-07,2021-04-07T00:00:00Z,33952.0
2021-04-08,2021-04-08T00:00:00Z,6720.0
2021-04-09,2021-04-09T00:00:00Z,4416.0
2021-04-10,2021-04-10T00:00:00Z,11936.0
2021-04-11,2021-04-11T00:00:00Z,12512.0
2021-04-12,2021-04-12T00:00:00Z,19648.0
2021-04-13,2021-04-13T00:00:00Z,8032.0
2021-04-14,2021-04-14T00:00:00Z,6688.0
2021-04-15,2021-04-15T00:00:00Z,25792.0
2021-04-16,2021-04-16T00:00:00Z,9536.0
2021-04-17,2021-04-17T00:00:00Z,9248.0
2021-04-18,2021-04-18T00:00:00Z,3648.0
2021-04-19,2021-04-19T00:00:00Z,8512.0
2021-04-20,2021-04-20T00:00:00Z,16192.0
2021-04-21,2021-04-21T00:00:00Z,19552.0
2021-04-22,2021-04-22T00:00:00Z,16032.0
2021-04-23,2021-04-23T00:00:00Z,14016.0
2021-04-24,2021-04-24T00:00:00Z,12992.0
2021-04-25,2021-04-25T00:00:00Z,10752.0
2021-04-26,2021-04-26T00:00:00Z,22208.0
2021-04-27,2021-04-27T00:00:00Z,28896.0
2021-04-28,2021-04-28T00:00:00Z,17984.0
2021-04-29,2021-04-29T00:00:00Z,27424.0
2021-04-30,2021-04-30T00:00:00Z,8096.0
2021-05-01,2021-05-01T00:00:00Z,31200.0
2021-05-02,2021-05-02T00:00:00Z,6368.0
2021-05-03,2021-05-03T00:00:00Z,28896.0
2021-05-04,2021-05-04T00:00:00Z,50176.0
2021-05-05,2021-05-05T00:00:00Z,79520.0
2021-05-06,2021-05-06T00:00:00Z,28320.0
2021-05-07,2021-05-07T00:00:00Z,86944.0
2021-05-08,2021-05-08T00:00:00Z,28896.0
2021-05-09,2021-05-09T00:00:00Z,5344.0
2021-05-10,2021-05-10T00:00:00Z,10592.0
2021-05-11,2021-05-11T00:00:00Z,21984.0
2021-05-12,2021-05-12T00:00:00Z,42208.0
2021-05-13,2021-05-13T00:00:00Z,61536.0
2021-05-14,2021-05-14T00:00:00Z,28448.0
2021-05-15,2021-05-15T00:00:00Z,15168.0
2021-05-16,2021-05-16T00:00:00Z,9664.0
2021-05-17,2021-05-17T00:00:00Z,37312.0
2021-05-18,2021-05-18T00:00:00Z,27232.0
2021-05-19,2021-05-19T00:00:00Z,34976.0
2021-05-20,2021-05-20T00:00:00Z,17984.0
2021-05-21,2021-05-21T00:00:00Z,26880.0
2021-05-22,2021-05-22T00:00:00Z,51584.0
2021-05-23,2021-05-23T00:00:00Z,32224.0
2021-05-24,2021-05-24T00:00:00Z,31456.0
2021-05-25,2021-05-25T00:00:00Z,71584.0
2021-05-26,2021-05-26T00:00:00Z,125216.0
2021-05-27,2021-05-27T00:00:00Z,93824.0
2021-05-28,2021-05-28T00:00:00Z,4288.0
2021-05-29,2021-05-29T00:00:00Z,27040.0
2021-05-30,2021-05-30T00:00:00Z,8256.0
2021-05-31,2021-05-31T00:00:00Z,8544.0
2021-06-01,2021-06-01T00:00:00Z,8352.0
2021-06-02,2021-06-02T00:00:00Z,14304.0
2021-06-03,2021-06-03T00:00:00Z,67200.0
2021-06-04,2021-06-04T00:00:00Z,19648.0
2021-06-05,2021-06-05T00:00:00Z,15456.0
2021-06-06,2021-06-06T00:00:00Z,3168.0
2021-06-07,2021-06-07T00:00:00Z,9024.0
2021-06-08,2021-06-08T00:00:00Z,19200.0
2021-06-09,2021-06-09T00:00:00Z,56512.0
2021-06-10,2021-06-10T00:00:00Z,27424.0
2021-06-11,2021-06-11T00:00:00Z,20000.0
2021-06-12,2021-06-12T00:00:00Z,33952.0
2021-06-13,2021-06-13T00:00:00Z,23168.0
2021-06-14,2021-06-14T00:00:00Z,6592.0
2021-06-15,2021-06-15T00:00:00Z,24992.0
2021-06-16,2021-06-16T00:00:00Z,65280.0
2021-06-17,2021-06-17T00:00:00Z,29824.0
2021-06-18,2021-06-18T00:00:00Z,21696.0
2021-06-19,2021-06-19T00:00:00Z,20416.0
2021-06-20,2021-06-20T00:00:00Z,22592.0
2021-06-21,2021-06-21T00:00:00Z,5728.0
2021-06-22,2021-06-22T00:00:00Z,21728.0
2021-06-23,2021-06-23T00:00:00Z,134112.0
2021-06-24,2021-06-24T00:00:00Z,16704.0
2021-06-25,2021-06-25T00:00:00Z,19008.0
2021-06-26,2021-06-26T00:00:00Z,14624.0
2021-06-27,2021-06-27T00:00:00Z,1888.0
2021-06-28,2021-06-28T00:00:00Z,4096.0
2021-06-29,2021-06-29T00:00:00Z,44096.0
2021-06-30,2021-06-30T00:00:00Z,25088.0
2021-07-01,2021-07-01T00:00:00Z,35744.0
2021-07-02,2021-07-02T00:00:00Z,34944.0
2021-07-03,2021-07-03T00:00:00Z,7264.0
2021-07-04,2021-07-04T00:00:00Z,5824.0
2021-07-05,2021-07-05T00:00:00Z,24384.0
2021-07-06,2021-07-06T00:00:00Z,93216.0
2021-07-07,2021-07-07T00:00:00Z,12160.0
2021-07-08,2021-07-08T00:00:00Z,19040.0
2021-07-09,2021-07-09T00:00:00Z,15136.0
2021-07-10,2021-07-10T00:00:00Z,5536.0
2021-07-11,2021-07-11T00:00:00Z,2080.0
2021-07-12,2021-07-12T00:00:00Z,5440.0
2021-07-13,2021-07-13T00:00:00Z,12000.0
2021-07-14,2021-07-14T00:00:00Z,9696.0
2021-07-15,2021-07-15T00:00:00Z,11072.0
2021-07-16,2021-07-16T00:00:00Z,36032.0
2021-07-17,2021-07-17T00:00:00Z,13504.0
2021-07-18,2021-07-18T00:00:00Z,1760.0
2021-07-19,2021-07-19T00:00:00Z,2176.0
2021-07-20,2021-07-20T00:00:00Z,9440.0
2021-07-21,2021-07-21T00:00:00Z,12800.0
2021-07-22,2021-07-22T00:00:00Z,7968.0
2021-07-23,2021-07-23T00:00:00Z,26080.0
2021-07-24,2021-07-24T00:00:00Z,7136.0
2021-07-25,2021-07-25T00:00:00Z,1536.0
2021-07-26,2021-07-26T00:00:00Z,1088.0
2021-07-27,2021-07-27T00:00:00Z,11392.0
2021-07-28,2021-07-28T00:00:00Z,14880.0
2021-07-29,2021-07-29T00:00:00Z,7264.0
2021-07-30,2021-07-30T00:00:00Z,13568.0
2021-07-31,2021-07-31T00:00:00Z,6336.0
2021-08-01,2021-08-01T00:00:00Z,10176.0
2021-08-02,2021-08-02T00:00:00Z,2624.0
2021-08-03,2021-08-03T00:00:00Z,21792.0
2021-08-04,2021-08-04T00:00:00Z,29248.0
2021-08-05,2021-08-05T00:00:00Z,22176.0
2021-08-06,2021-08-06T00:00:00Z,9696.0
2021-08-07,2021-08-07T00:00:00Z,11936.0
