date,New Depositors
2021-12-15,517
2021-12-16,364
2021-12-17,549
2021-12-18,399
2021-12-19,689
2021-12-20,476
2021-12-21,366
2021-12-22,290
2021-12-23,161
2021-12-24,441
2021-12-25,184
2021-12-26,163
2021-12-27,310
2021-12-28,174
2021-12-29,231
2021-12-30,344
2021-12-31,223
2022-01-01,427
2022-01-02,434
2022-01-03,645
2022-01-04,877
2022-01-05,486
2022-01-06,498
2022-01-07,497
2022-01-08,490
2022-01-09,179
2022-01-10,376
2022-01-11,288
2022-01-12,214
2022-01-13,278
2022-01-14,410
2022-01-15,345
2022-01-16,228
2022-01-17,244
2022-01-18,229
2022-01-19,940
2022-01-20,118
2022-01-21,276
2022-01-22,734
2022-01-23,1522
2022-01-24,322
2022-01-25,594
2022-01-26,219
2022-01-27,475
2022-01-28,320
2022-01-29,434
2022-01-30,165
2022-01-31,243
2022-02-01,293
2022-02-02,182
2022-02-03,251
2022-02-04,586
2022-02-05,320
2022-02-06,208
2022-02-07,341
2022-02-08,531
2022-02-09,239
2022-02-10,581
2022-02-11,539
2022-02-12,158
2022-02-13,666
2022-02-14,214
2022-02-15,708
2022-02-16,425
2022-02-17,200
2022-02-18,431
2022-02-19,206
2022-02-20,236
2022-02-21,80
2022-02-22,505
2022-02-23,1661
2022-02-24,356
2022-02-25,446
2022-02-26,449
2022-02-27,485
2022-02-28,742
2022-03-01,1303
2022-03-02,757
2022-03-03,1348
2022-03-04,948
2022-03-05,747
2022-03-06,417
2022-03-07,1836
2022-03-08,1329
2022-03-09,1745
2022-03-10,1264
2022-03-11,1039
2022-03-12,718
2022-03-13,269
2022-03-14,1227
2022-03-15,6320
2022-03-16,2002
2022-03-17,1536
2022-03-18,1587
2022-03-19,3548
2022-03-20,425
2022-03-21,276
2022-03-22,813
2022-03-23,1138
2022-03-24,646
2022-03-25,713
2022-03-26,401
2022-03-27,264
2022-03-28,376
2022-03-29,734
2022-03-30,2056
2022-03-31,3790
2022-04-01,1292
2022-04-02,811
2022-04-03,1258
2022-04-04,503
2022-04-05,2105
2022-04-06,1013
2022-04-07,1522
2022-04-08,1254
2022-04-09,588
2022-04-10,929
2022-04-11,526
2022-04-12,887
2022-04-13,2232
2022-04-14,736
2022-04-15,2229
2022-04-16,1119
2022-04-17,70
2022-04-18,121
2022-04-19,2170
2022-04-20,1505
2022-04-21,1625
2022-04-22,1368
2022-04-23,418
2022-04-24,214
2022-04-25,480
2022-04-26,1944
2022-04-27,2158
2022-04-28,1429
2022-04-29,1008
2022-04-30,577
2022-05-01,1708
2022-05-02,3800
2022-05-03,1900
2022-05-04,1137
2022-05-05,682
2022-05-06,1706
2022-05-07,590
2022-05-08,201
2022-05-09,2067
2022-05-10,529
2022-05-11,609
2022-05-12,367
2022-05-13,445
2022-05-14,170
2022-05-15,138
2022-05-16,151
2022-05-17,251
2022-05-18,271
2022-05-19,826
2022-05-20,276
2022-05-21,281
2022-05-22,51
2022-05-23,111
2022-05-24,233
2022-05-25,384
2022-05-26,129
2022-05-27,384
2022-05-28,114
2022-05-29,343
2022-05-30,161
2022-05-31,650
2022-06-01,846
2022-06-02,332
2022-06-03,206
2022-06-04,193
2022-06-05,181
2022-06-06,227
2022-06-07,138
2022-06-08,75
2022-06-09,155
2022-06-10,220
2022-06-11,987
2022-06-12,564
2022-06-13,188
2022-06-14,150
2022-06-15,301
2022-06-16,267
2022-06-17,407
2022-06-18,210
2022-06-19,47
2022-06-20,318
2022-06-21,392
2022-06-22,290
2022-06-23,84
2022-06-24,146
2022-06-25,73
2022-06-26,163
2022-06-27,252
2022-06-28,75
2022-06-29,115
2022-06-30,84
2022-07-01,124
2022-07-02,209
2022-07-03,44
2022-07-04,63
2022-07-05,67
2022-07-06,167
2022-07-07,108
2022-07-08,114
2022-07-09,84
2022-07-10,182
2022-07-11,73
2022-07-12,91
2022-07-13,1973
2022-07-14,201
2022-07-15,230
2022-07-16,100
2022-07-17,134
2022-07-18,315
2022-07-19,144
2022-07-20,343
2022-07-21,388
2022-07-22,70
2022-07-23,37
2022-07-24,40
2022-07-25,59
2022-07-26,261
2022-07-27,100
2022-07-28,293
2022-07-29,194
2022-07-30,100
2022-07-31,148
2022-08-01,59
2022-08-02,173
2022-08-03,68
2022-08-04,171
2022-08-05,112
2022-08-06,67
2022-08-07,134
2022-08-08,167
2022-08-09,531
2022-08-10,197
2022-08-11,614
2022-08-12,1123
2022-08-13,141
2022-08-14,188
2022-08-15,105
2022-08-16,352
2022-08-17,159
2022-08-18,173
2022-08-19,83
2022-08-20,106
2022-08-21,90
2022-08-22,128
2022-08-23,411
2022-08-24,381
2022-08-25,90
2022-08-26,316
2022-08-27,73
2022-08-28,76
2022-08-29,203
2022-08-30,373
2022-08-31,120
2022-09-01,2995
2022-09-02,167
2022-09-03,178
2022-09-04,85
2022-09-05,111
2022-09-06,442
2022-09-07,1839
2022-09-08,513
2022-09-09,566
2022-09-10,160
2022-09-11,254
2022-09-12,1712
2022-09-13,245
2022-09-14,147
2022-09-15,958
2022-09-16,645
2022-09-17,574
2022-09-18,524
2022-09-19,544
2022-09-20,679
2022-09-21,495
2022-09-22,1773
2022-09-23,600
2022-09-24,469
2022-09-25,388
2022-09-26,778
2022-09-27,1022
2022-09-28,539
2022-09-29,639
2022-09-30,746
2022-10-01,378
2022-10-02,285
2022-10-03,381
2022-10-04,277
2022-10-05,406
2022-10-06,412
2022-10-07,585
2022-10-08,150
2022-10-09,359
2022-10-10,282
2022-10-11,222
2022-10-12,764
2022-10-13,322
2022-10-14,255
2022-10-15,270
2022-10-16,276
2022-10-17,440
2022-10-18,1477
2022-10-19,972
2022-10-20,471
2022-10-21,889
2022-10-22,427
2022-10-23,313
2022-10-24,349
2022-10-25,1461
2022-10-26,951
2022-10-27,1359
2022-10-28,669
2022-10-29,1368
2022-10-30,1207
2022-10-31,724
2022-11-01,943
2022-11-02,655
2022-11-03,752
2022-11-04,480
2022-11-05,497
2022-11-06,329
2022-11-07,301
2022-11-08,679
2022-11-09,673
2022-11-10,815
2022-11-11,1584
2022-11-12,390
2022-11-13,1061
2022-11-14,1014
2022-11-15,826
2022-11-16,501
2022-11-17,875
2022-11-18,1131
2022-11-19,647
2022-11-20,832
2022-11-21,1020
2022-11-22,3243
2022-11-23,899
2022-11-24,530
2022-11-25,957
2022-11-26,303
2022-11-27,186
2022-11-28,381
2022-11-29,1129
2022-11-30,421
2022-12-01,1357
2022-12-02,651
2022-12-03,203
2022-12-04,276
2022-12-05,379
2022-12-06,493
2022-12-07,313
2022-12-08,393
2022-12-09,828
2022-12-10,451
2022-12-11,262
2022-12-12,301
2022-12-13,374
2022-12-14,301
2022-12-15,294
2022-12-16,570
2022-12-17,423
2022-12-18,285
2022-12-19,455
2022-12-20,216
2022-12-21,404
2022-12-22,286
2022-12-23,365
2022-12-24,137
2022-12-25,108
2022-12-26,354
2022-12-27,931
2022-12-28,183
2022-12-29,458
2022-12-30,372
2022-12-31,268
2023-01-01,195
2023-01-02,275
2023-01-03,199
2023-01-04,452
2023-01-05,351
2023-01-06,832
2023-01-07,388
2023-01-08,254
2023-01-09,387
2023-01-10,439
2023-01-11,857
2023-01-12,347
2023-01-13,443
2023-01-14,479
2023-01-15,516
2023-01-16,462
2023-01-17,365
2023-01-18,347
2023-01-19,1085
2023-01-20,324
2023-01-21,404
2023-01-22,267
2023-01-23,2186
2023-01-24,352
2023-01-25,845
2023-01-26,494
2023-01-27,286
2023-01-28,435
2023-01-29,461
2023-01-30,483
2023-01-31,1023
2023-02-01,511
2023-02-02,729
2023-02-03,443
2023-02-04,703
2023-02-05,434
2023-02-06,342
2023-02-07,363
2023-02-08,727
2023-02-09,1045
2023-02-10,574
2023-02-11,720
2023-02-12,300
2023-02-13,271
2023-02-14,1073
2023-02-15,506
2023-02-16,934
2023-02-17,593
2023-02-18,418
2023-02-19,580
2023-02-20,1207
2023-02-21,1169
2023-02-22,991
2023-02-23,747
2023-02-24,497
2023-02-25,6228
2023-02-26,2271
2023-02-27,5620
2023-02-28,2265
2023-03-01,518
2023-03-02,1113
2023-03-03,524
2023-03-04,346
2023-03-05,129
2023-03-06,487
2023-03-07,453
2023-03-08,416
2023-03-09,1200
2023-03-10,347
2023-03-11,491
2023-03-12,523
2023-03-13,473
2023-03-14,595
2023-03-15,721
2023-03-16,586
2023-03-17,699
2023-03-18,538
2023-03-19,307
2023-03-20,976
2023-03-21,304
2023-03-22,1025
2023-03-23,480
2023-03-24,408
2023-03-25,433
2023-03-26,276
2023-03-27,315
2023-03-28,774
2023-03-29,813
2023-03-30,892
2023-03-31,1736
2023-04-01,307
2023-04-02,203
2023-04-03,192
2023-04-04,521
2023-04-05,694
2023-04-06,590
2023-04-07,378
2023-04-08,442
2023-04-09,291
2023-04-10,319
2023-04-11,367
2023-04-12,530
2023-04-13,2962
2023-04-14,3461
2023-04-15,1265
2023-04-16,3760
2023-04-17,2847
2023-04-18,3475
2023-04-19,2928
2023-04-20,3359
2023-04-21,4016
2023-04-22,1678
2023-04-23,1422
2023-04-24,4098
2023-04-25,2935
2023-04-26,3657
2023-04-27,3116
2023-04-28,2663
2023-04-29,1330
2023-04-30,1170
2023-05-01,1844
2023-05-02,3016
2023-05-03,6119
2023-05-04,3696
2023-05-05,2130
2023-05-06,5553
2023-05-07,5603
2023-05-08,1984
2023-05-09,3328
2023-05-10,6567
2023-05-11,6850
2023-05-12,7107
2023-05-13,2890
2023-05-14,1616
2023-05-15,2630
2023-05-16,4911
2023-05-17,4244
2023-05-18,5838
2023-05-19,4176
2023-05-20,4341
2023-05-21,3090
2023-05-22,2291
2023-05-23,6869
2023-05-24,2456
2023-05-25,1934
2023-05-26,5115
2023-05-27,2333
2023-05-28,1410
2023-05-29,1953
2023-05-30,2442
2023-05-31,3223
2023-06-01,12729
2023-06-02,6948
2023-06-03,2042
2023-06-04,764
2023-06-05,2628
2023-06-06,2940
2023-06-07,2641
2023-06-08,3525
2023-06-09,1447
2023-06-10,666
2023-06-11,1404
2023-06-12,1607
2023-06-13,2406
2023-06-14,1276
2023-06-15,2342
2023-06-16,1216
2023-06-17,1025
2023-06-18,834
2023-06-19,2186
2023-06-20,1818
2023-06-21,2596
2023-06-22,4813
2023-06-23,1765
2023-06-24,1133
2023-06-25,1415
2023-06-26,2029
2023-06-27,3322
2023-06-28,929
2023-06-29,1196
2023-06-30,1909
2023-07-01,1610
2023-07-02,1106
2023-07-03,697
2023-07-04,1387
2023-07-05,1061
2023-07-06,1465
2023-07-07,2048
2023-07-08,772
2023-07-09,398
2023-07-10,930
2023-07-11,2254
2023-07-12,2469
2023-07-13,3958
2023-07-14,3074
2023-07-15,985
2023-07-16,785
2023-07-17,1303
2023-07-18,1173
2023-07-19,3933
2023-07-20,2719
2023-07-21,2821
2023-07-22,1246
2023-07-23,1514
2023-07-24,805
2023-07-25,3343
2023-07-26,1962
2023-07-27,2049
2023-07-28,4435
2023-07-29,874
2023-07-30,1083
2023-07-31,904
2023-08-01,1189
2023-08-02,903
2023-08-03,722
2023-08-04,1407
2023-08-05,981
2023-08-06,520
2023-08-07,839
2023-08-08,1328
2023-08-09,1749
2023-08-10,2081
2023-08-11,3282
2023-08-12,977
2023-08-13,776
2023-08-14,905
2023-08-15,1712
2023-08-16,1248
2023-08-17,1160
2023-08-18,3052
2023-08-19,2019
2023-08-20,803
2023-08-21,2765
2023-08-22,3587
2023-08-23,1176
2023-08-24,1872
2023-08-25,1816
2023-08-26,887
2023-08-27,601
2023-08-28,1925
2023-08-29,3608
2023-08-30,1761
2023-08-31,1901
2023-09-01,1654
2023-09-02,633
2023-09-03,413
2023-09-04,1310
2023-09-05,1339
2023-09-06,699
2023-09-07,1056
2023-09-08,1377
2023-09-09,654
2023-09-10,453
2023-09-11,2004
2023-09-12,935
2023-09-13,4232
2023-09-14,767
2023-09-15,1742
2023-09-16,382
2023-09-17,672
2023-09-18,1902
2023-09-19,1849
2023-09-20,2636
2023-09-21,708
2023-09-22,1283
2023-09-23,1063
2023-09-24,770
2023-09-25,1022
2023-09-26,1969
2023-09-27,1057
2023-09-28,974
2023-09-29,2353
2023-09-30,853
2023-10-01,764
2023-10-02,1372
2023-10-03,1408
2023-10-04,1439
2023-10-05,1423
2023-10-06,1903
2023-10-07,516
2023-10-08,975
2023-10-09,3453
2023-10-10,2927
2023-10-11,1098
2023-10-12,1478
2023-10-13,2253
2023-10-14,1620
2023-10-15,515
2023-10-16,1197
2023-10-17,2093
2023-10-18,1716
2023-10-19,1059
2023-10-20,762
2023-10-21,724
2023-10-22,474
2023-10-23,2014
2023-10-24,1162
2023-10-25,1277
2023-10-26,1344
2023-10-27,1410
2023-10-28,715
2023-10-29,1094
2023-10-30,3901
2023-10-31,2296
2023-11-01,1693
2023-11-02,1153
2023-11-03,3509
2023-11-04,1624
2023-11-05,1499
2023-11-06,2920
2023-11-07,2218
2023-11-08,3626
2023-11-09,2503
2023-11-10,1675
2023-11-11,757
2023-11-12,2717
2023-11-13,958
2023-11-14,1678
2023-11-15,796
2023-11-16,1159
2023-11-17,1839
2023-11-18,842
2023-11-19,1145
2023-11-20,1305
2023-11-21,1176
2023-11-22,3936
2023-11-23,2539
2023-11-24,1392
2023-11-25,1212
2023-11-26,603
2023-11-27,1884
2023-11-28,1294
2023-11-29,1684
2023-11-30,2466
2023-12-01,2871
2023-12-02,2794
2023-12-03,5397
2023-12-04,1630
2023-12-05,1383
2023-12-06,1651
2023-12-07,1283
2023-12-08,1369
2023-12-09,452
2023-12-10,575
2023-12-11,2102
2023-12-12,1560
2023-12-13,2591
2023-12-14,1432
2023-12-15,1106
2023-12-16,426
2023-12-17,1402
2023-12-18,1434
2023-12-19,2105
2023-12-20,2724
2023-12-21,1357
2023-12-22,3170
2023-12-23,1172
2023-12-24,1132
2023-12-25,1542
2023-12-26,691
2023-12-27,3249
2023-12-28,1452
2023-12-29,1854
2023-12-30,2732
2023-12-31,1246
2024-01-01,1543
2024-01-02,1733
2024-01-03,1823
2024-01-04,1312
2024-01-05,1822
2024-01-06,747
2024-01-07,638
2024-01-08,1768
2024-01-09,1703
2024-01-10,3094
2024-01-11,1897
2024-01-12,1739
2024-01-13,761
2024-01-14,528
2024-01-15,2225
2024-01-16,1628
2024-01-17,1998
2024-01-18,3244
2024-01-19,2660
2024-01-20,1233
2024-01-21,1218
2024-01-22,1703
2024-01-23,2907
2024-01-24,2195
2024-01-25,3413
2024-01-26,4208
2024-01-27,2556
2024-01-28,1309
2024-01-29,2064
2024-01-30,2732
2024-01-31,5271
2024-02-01,4535
2024-02-02,5280
2024-02-03,832
2024-02-04,1661
2024-02-05,2439
2024-02-06,2447
2024-02-07,5636
2024-02-08,4055
2024-02-09,4944
2024-02-10,3670
2024-02-11,2200
2024-02-12,2486
2024-02-13,4204
2024-02-14,2639
2024-02-15,2512
2024-02-16,3066
2024-02-17,2739
2024-02-18,704
2024-02-19,1289
2024-02-20,2834
2024-02-21,1517
2024-02-22,2197
2024-02-23,1947
2024-02-24,1048
2024-02-25,1266
2024-02-26,2881
2024-02-27,4653
2024-02-28,3086
2024-02-29,2751
2024-03-01,2643
2024-03-02,1974
2024-03-03,1921
2024-03-04,916
2024-03-05,1608
2024-03-06,3071
2024-03-07,2111
2024-03-08,3139
2024-03-09,785
2024-03-10,746
2024-03-11,1734
2024-03-12,767
2024-03-13,1853
2024-03-14,2603
2024-03-15,3285
2024-03-16,1430
2024-03-17,1367
2024-03-18,1626
2024-03-19,2364
2024-03-20,4993
2024-03-21,3136
2024-03-22,1462
2024-03-23,1114
2024-03-24,652
2024-03-25,1857
2024-03-26,2955
2024-03-27,4672
2024-03-28,2181
2024-03-29,2089
2024-03-30,1615
2024-03-31,1338
2024-04-01,1578
2024-04-02,2178
2024-04-03,2850
2024-04-04,1279
2024-04-05,1206
2024-04-06,1580
2024-04-07,1319
2024-04-08,1677
2024-04-09,3131
2024-04-10,2273
2024-04-11,3730
2024-04-12,2193
2024-04-13,1400
2024-04-14,1458
2024-04-15,2851
2024-04-16,941
2024-04-17,1524
2024-04-18,709
2024-04-19,1304
2024-04-20,1261
2024-04-21,912
2024-04-22,1143
2024-04-23,1031
2024-04-24,1180
2024-04-25,635
2024-04-26,1188
2024-04-27,1061
2024-04-28,273
2024-04-29,1265
2024-04-30,438
2024-05-01,276
2024-05-02,335
2024-05-03,716
2024-05-04,450
2024-05-05,843
2024-05-06,446
2024-05-07,1358
2024-05-08,681
2024-05-09,766
2024-05-10,745
2024-05-11,354
2024-05-12,1006
2024-05-13,468
2024-05-14,1107
2024-05-15,765
2024-05-16,740
2024-05-17,509
2024-05-18,500
2024-05-19,872
2024-05-20,3314
2024-05-21,3488
2024-05-22,475
2024-05-23,759
2024-05-24,595
2024-05-25,305
2024-05-26,372
2024-05-27,627
2024-05-28,4667
2024-05-29,3761
2024-05-30,1785
2024-05-31,2697
2024-06-01,810
2024-06-02,1655
2024-06-03,1966
2024-06-04,2437
2024-06-05,1942
2024-06-06,1136
2024-06-07,1126
2024-06-08,1380
2024-06-09,1861
2024-06-10,880
2024-06-11,1305
2024-06-12,541
2024-06-13,2325
2024-06-14,1823
2024-06-15,282
2024-06-16,786
2024-06-17,1999
2024-06-18,641
2024-06-19,2675
2024-06-20,2083
2024-06-21,1693
2024-06-22,1544
2024-06-23,1120
2024-06-24,855
2024-06-25,2184
2024-06-26,786
2024-06-27,2349
2024-06-28,1068
2024-06-29,309
2024-06-30,369
2024-07-01,1026
2024-07-02,1187
2024-07-03,2211
2024-07-04,899
2024-07-05,1222
2024-07-06,237
2024-07-07,512
2024-07-08,885
2024-07-09,1129
2024-07-10,1512
2024-07-11,2606
2024-07-12,1705
2024-07-13,797
2024-07-14,164
2024-07-15,1521
2024-07-16,1255
2024-07-17,1861
2024-07-18,1252
2024-07-19,2891
2024-07-20,4061
2024-07-21,1432
2024-07-22,973
2024-07-23,1977
2024-07-24,1768
2024-07-25,938
2024-07-26,2044
2024-07-27,1146
2024-07-28,975
2024-07-29,2794
2024-07-30,3976
2024-07-31,1237
2024-08-01,1725
2024-08-02,320
2024-08-03,224
2024-08-04,190
2024-08-05,812
2024-08-06,733
2024-08-07,1404
2024-08-08,904
2024-08-09,1147
2024-08-10,433
2024-08-11,333
2024-08-12,1552
2024-08-13,2418
2024-08-14,983
2024-08-15,2962
2024-08-16,1138
2024-08-17,416
2024-08-18,148
2024-08-19,2107
2024-08-20,781
2024-08-21,697
2024-08-22,503
2024-08-23,813
2024-08-24,438
2024-08-25,281
2024-08-26,1439
2024-08-27,993
2024-08-28,2674
2024-08-29,1912
2024-08-30,1699
2024-08-31,1027
2024-09-01,525
2024-09-02,826
2024-09-03,2604
2024-09-04,1017
2024-09-05,861
2024-09-06,664
2024-09-07,528
2024-09-08,441
2024-09-09,720
2024-09-10,337
2024-09-11,2989
2024-09-12,914
2024-09-13,2956
2024-09-14,197
2024-09-15,616
2024-09-16,789
2024-09-17,421
2024-09-18,589
2024-09-19,330
2024-09-20,977
2024-09-21,369
2024-09-22,375
2024-09-23,787
2024-09-24,1600
2024-09-25,1624
2024-09-26,885
2024-09-27,1926
2024-09-28,319
2024-09-29,420
2024-09-30,1141
2024-10-01,1342
2024-10-02,2248
2024-10-03,2014
2024-10-04,1459
2024-10-05,940
2024-10-06,566
2024-10-07,1590
2024-10-08,727
2024-10-09,297
2024-10-10,554
2024-10-11,1115
2024-10-12,1320
2024-10-13,404
2024-10-14,1009
2024-10-15,1782
2024-10-16,1246
2024-10-17,1526
2024-10-18,1677
2024-10-19,313
2024-10-20,818
2024-10-21,1456
2024-10-22,2521
2024-10-23,1170
2024-10-24,1656
2024-10-25,1179
2024-10-26,2109
2024-10-27,816
2024-10-28,1604
2024-10-29,3546
2024-10-30,4513
2024-10-31,1722
2024-11-01,718
2024-11-02,224
2024-11-03,1083
2024-11-04,925
2024-11-05,1488
2024-11-06,1442
2024-11-07,2792
2024-11-08,1300
2024-11-09,804
2024-11-10,610
2024-11-11,858
2024-11-12,1058
2024-11-13,906
2024-11-14,1519
2024-11-15,948
2024-11-16,516
2024-11-17,323
2024-11-18,842
2024-11-19,1042
2024-11-20,672
2024-11-21,675
2024-11-22,3673
2024-11-23,2858
2024-11-24,1751
2024-11-25,845
2024-11-26,1273
2024-11-27,2060
2024-11-28,1509
2024-11-29,1366
2024-11-30,1017
2024-12-01,982
