date,timestamp_utc,Coinbase Premium Index
2017-08-17,2017-08-17T00:00:00Z,-0.44039735
2017-08-18,2017-08-18T00:00:00Z,-0.37079875
2017-08-19,2017-08-19T00:00:00Z,0.91780963
2017-08-20,2017-08-20T00:00:00Z,-0.43798061
2017-08-21,2017-08-21T00:00:00Z,-0.39902255
2017-08-22,2017-08-22T00:00:00Z,1.41704325
2017-08-23,2017-08-23T00:00:00Z,0.55742066
2017-08-24,2017-08-24T00:00:00Z,0.35248284
2017-08-25,2017-08-25T00:00:00Z,0.88619973
2017-08-26,2017-08-26T00:00:00Z,0.66507452
2017-08-27,2017-08-27T00:00:00Z,0.02010743
2017-08-28,2017-08-28T00:00:00Z,0.44508671
2017-08-29,2017-08-29T00:00:00Z,-0.59247398
2017-08-30,2017-08-30T00:00:00Z,-0.47417926
2017-08-31,2017-08-31T00:00:00Z,1.14607968
2017-09-01,2017-09-01T00:00:00Z,1.13525202
2017-09-02,2017-09-02T00:00:00Z,3.4184298
2017-09-03,2017-09-03T00:00:00Z,3.30339117
2017-09-04,2017-09-04T00:00:00Z,11.6608521
2017-09-05,2017-09-05T00:00:00Z,2.56015893
2017-09-06,2017-09-06T00:00:00Z,1.30746269
2017-09-07,2017-09-07T00:00:00Z,0.31988998
2017-09-08,2017-09-08T00:00:00Z,1.64031816
2017-09-09,2017-09-09T00:00:00Z,2.78021163
2017-09-10,2017-09-10T00:00:00Z,2.32708688
2017-09-11,2017-09-11T00:00:00Z,0.39354188
2017-09-12,2017-09-12T00:00:00Z,0.18369846
2017-09-13,2017-09-13T00:00:00Z,-0.4333538
2017-09-14,2017-09-14T00:00:00Z,4.01468333
2017-09-15,2017-09-15T00:00:00Z,3.11462451
2017-09-16,2017-09-16T00:00:00Z,2.61922907
2017-09-17,2017-09-17T00:00:00Z,0.8192584
2017-09-18,2017-09-18T00:00:00Z,1.16440914
2017-09-19,2017-09-19T00:00:00Z,-0.42253521
2017-09-20,2017-09-20T00:00:00Z,0.54964539
2017-09-21,2017-09-21T00:00:00Z,0.43190661
2017-09-22,2017-09-22T00:00:00Z,-0.04545455
2017-09-23,2017-09-23T00:00:00Z,0.03497359
2017-09-24,2017-09-24T00:00:00Z,0.42907801
2017-09-25,2017-09-25T00:00:00Z,-0.00339651
2017-09-26,2017-09-26T00:00:00Z,0.30218826
2017-09-27,2017-09-27T00:00:00Z,0.03551366
2017-09-28,2017-09-28T00:00:00Z,-0.03637085
2017-09-29,2017-09-29T00:00:00Z,-0.11635069
2017-09-30,2017-09-30T00:00:00Z,-0.91667762
2017-10-01,2017-10-01T00:00:00Z,-0.23030104
2017-10-02,2017-10-02T00:00:00Z,0.07419899
2017-10-03,2017-10-03T00:00:00Z,-0.04102845
2017-10-04,2017-10-04T00:00:00Z,0.00342477
2017-10-05,2017-10-05T00:00:00Z,0.02713612
2017-10-06,2017-10-06T00:00:00Z,-0.98777349
2017-10-07,2017-10-07T00:00:00Z,0.03536864
2017-10-08,2017-10-08T00:00:00Z,-0.60115087
2017-10-09,2017-10-09T00:00:00Z,-0.06393216
2017-10-10,2017-10-10T00:00:00Z,-0.21765336
2017-10-11,2017-10-11T00:00:00Z,-0.66116246
2017-10-12,2017-10-12T00:00:00Z,-0.61515181
2017-10-13,2017-10-13T00:00:00Z,-0.61249852
2017-10-14,2017-10-14T00:00:00Z,-1.06140351
2017-10-15,2017-10-15T00:00:00Z,-0.31660552
2017-10-16,2017-10-16T00:00:00Z,-0.24762075
2017-10-17,2017-10-17T00:00:00Z,0.37437736
2017-10-18,2017-10-18T00:00:00Z,1.25605425
2017-10-19,2017-10-19T00:00:00Z,-0.20734789
2017-10-20,2017-10-20T00:00:00Z,-0.44661916
2017-10-21,2017-10-21T00:00:00Z,0.3545862
2017-10-22,2017-10-22T00:00:00Z,0.4595119
2017-10-23,2017-10-23T00:00:00Z,1.68629265
2017-10-24,2017-10-24T00:00:00Z,-0.13114534
2017-10-25,2017-10-25T00:00:00Z,0.77082414
2017-10-26,2017-10-26T00:00:00Z,0.4309321
2017-10-27,2017-10-27T00:00:00Z,0.42520163
2017-10-28,2017-10-28T00:00:00Z,1.11008326
2017-10-29,2017-10-29T00:00:00Z,-0.53114754
2017-10-30,2017-10-30T00:00:00Z,-0.12367779
2017-10-31,2017-10-31T00:00:00Z,-0.45588718
2017-11-01,2017-11-01T00:00:00Z,1.32747988
2017-11-02,2017-11-02T00:00:00Z,0.80531224
2017-11-03,2017-11-03T00:00:00Z,0.63141279
2017-11-04,2017-11-04T00:00:00Z,1.21460207
2017-11-05,2017-11-05T00:00:00Z,0.35191013
2017-11-06,2017-11-06T00:00:00Z,-0.21814277
2017-11-07,2017-11-07T00:00:00Z,0.21934334
2017-11-08,2017-11-08T00:00:00Z,1.61375487
2017-11-09,2017-11-09T00:00:00Z,0.89659295
2017-11-10,2017-11-10T00:00:00Z,1.54684838
2017-11-11,2017-11-11T00:00:00Z,1.82891426
2017-11-12,2017-11-12T00:00:00Z,0.60935657
2017-11-13,2017-11-13T00:00:00Z,0.8211125
2017-11-14,2017-11-14T00:00:00Z,-0.16983999
2017-11-15,2017-11-15T00:00:00Z,0.14487067
2017-11-16,2017-11-16T00:00:00Z,-0.38613533
2017-11-17,2017-11-17T00:00:00Z,0.32605742
2017-11-18,2017-11-18T00:00:00Z,-0.01730803
2017-11-19,2017-11-19T00:00:00Z,0.12424114
2017-11-20,2017-11-20T00:00:00Z,0.22317783
2017-11-21,2017-11-21T00:00:00Z,-0.16845245
2017-11-22,2017-11-22T00:00:00Z,0.28372521
2017-11-23,2017-11-23T00:00:00Z,0.39753086
2017-11-24,2017-11-24T00:00:00Z,0.42217484
2017-11-25,2017-11-25T00:00:00Z,1.07184617
2017-11-26,2017-11-26T00:00:00Z,2.40903984
2017-11-27,2017-11-27T00:00:00Z,1.10520633
