date,Exchange Netflow (Total)
2015-08-07,1435993.8023820375
2015-08-08,847425.7133057117
2015-08-09,440603.67958080216
2015-08-10,701482.3655612807
2015-08-11,278920.3296010494
2015-08-12,221425.35069091665
2015-08-13,419072.16490348673
2015-08-14,931311.6308757048
2015-08-15,267405.53130404896
2015-08-16,486753.4163203348
2015-08-17,72590.57764238596
2015-08-18,177902.52701684786
2015-08-19,-79788.7497276396
2015-08-20,-55157.36515642294
2015-08-21,-12246.414112699596
2015-08-22,-3099.630053040688
2015-08-23,-38960.9526873384
2015-08-24,-15036.892002474897
2015-08-25,42826.777057662046
2015-08-26,21505.195211455663
2015-08-27,15191.993608918012
2015-08-28,20352.04927888232
2015-08-29,11.24563539151859
2015-08-30,48157.64971798269
2015-08-31,24737.46360617134
2015-09-01,126856.5288827272
2015-09-02,-35337.403464077914
2015-09-03,49562.706233406905
2015-09-04,53936.81190660507
2015-09-05,-15750.281409867925
2015-09-06,35207.40731290651
2015-09-07,47931.26157661625
2015-09-08,62023.26380346827
2015-09-09,943967.8764820184
2015-09-10,9688.388094521591
2015-09-11,-82673.95211025642
2015-09-12,-14139.850028395243
2015-09-13,-19498.89958906716
2015-09-14,31801.991657233822
2015-09-15,11871.44434222809
2015-09-16,38204.18325216546
2015-09-17,-6060.909794995823
2015-09-18,37155.89274786245
2015-09-19,12296.11281895732
2015-09-20,-8955.594606820021
2015-09-21,42624.41192425951
2015-09-22,7621.093707197993
2015-09-23,15932.467712334954
2015-09-24,51682.69786950837
2015-09-25,-6939.655558302882
2015-09-26,4449.682230760765
2015-09-27,-15865.937898704173
2015-09-28,141977.60800582296
2015-09-29,-47441.90404358352
2015-09-30,72211.29473035267
2015-10-01,-29546.00905688443
2015-10-02,27323.538593593865
2015-10-03,3506.225072437453
2015-10-04,6439.208123576827
2015-10-05,-20141.69457060661
2015-10-06,-167743.72605355392
2015-10-07,4442.732897977461
2015-10-08,68700.02869438815
2015-10-09,-2031.323253175171
2015-10-10,-2383.863793961442
2015-10-11,-51515.52317898352
2015-10-12,-2809.9874549207016
2015-10-13,6589.609216613433
2015-10-14,43065.18074460572
2015-10-15,-6584.6636760270485
2015-10-16,-23383.27598857705
2015-10-17,26149.25580353933
2015-10-18,12044.485112923445
2015-10-19,-48431.16376761565
2015-10-20,-27713.487277947803
2015-10-21,221126.2363642336
2015-10-22,19016.75469610555
2015-10-23,138851.915707946
2015-10-24,-6541.145503137886
2015-10-25,-4280.068477851441
2015-10-26,-93828.9150817542
2015-10-27,24142.636164038267
2015-10-28,33004.3358072479
2015-10-29,109446.39095778127
2015-10-30,322168.8007732755
2015-10-31,-13342.916099643902
2015-11-01,-15487.51296141168
2015-11-02,-7368.999296122871
2015-11-03,-43709.53357383306
2015-11-04,-9683.244522874653
2015-11-05,28018.723934526104
2015-11-06,33101.88289701726
2015-11-07,56292.94559271612
2015-11-08,38582.87605373332
2015-11-09,250559.6143205629
2015-11-10,9272.008294306464
2015-11-11,-90956.02784284975
2015-11-12,-44246.10943955567
2015-11-13,3769.7540859742585
2015-11-14,-58252.47274234888
2015-11-15,-24805.377572876627
2015-11-16,-32628.25652010496
2015-11-17,36258.14774636201
2015-11-18,-22954.370688093048
2015-11-19,-1980.1125013226265
2015-11-20,-6043.773287235439
2015-11-21,-9459.71524136998
2015-11-22,-21663.4966609836
2015-11-23,303984.64169184177
2015-11-24,-8454.784614602344
2015-11-25,-10851.673231064087
2015-11-26,649260.1609774721
2015-11-27,-35945.05167625968
2015-11-28,13837.380454646518
2015-11-29,-62096.6680222547
2015-11-30,13632.911523339351
2015-12-01,11868.589117613608
2015-12-02,8253.097072017408
2015-12-03,-53425.84549414608
2015-12-04,13847.702211641044
2015-12-05,24074.65921871551
2015-12-06,27233.72549788057
2015-12-07,-48960.59191685931
2015-12-08,48167.01802456099
2015-12-09,13900.364098918331
2015-12-10,-104173.58324016334
2015-12-11,-5966.074128837907
2015-12-12,22324.398235949426
2015-12-13,11753.649521288056
2015-12-14,-88224.99780544327
2015-12-15,112221.97651829344
2015-12-16,945414.977223668
2015-12-17,82838.91229959916
2015-12-18,76804.00365512737
2015-12-19,-9925.585708049286
2015-12-20,-19208.64867170812
2015-12-21,-14668.884029745515
2015-12-22,17631.208272096905
2015-12-23,-17493.51883688356
2015-12-24,-26930.06301861652
2015-12-25,4928.121664026814
2015-12-26,-13814.702516390227
2015-12-27,10843.629039203155
2015-12-28,-29068.888247005023
2015-12-29,-870.8002663956358
2015-12-30,-72034.5931618723
2015-12-31,40426.87174964325
2016-01-01,-40563.47379130904
2016-01-02,-35971.38307367735
2016-01-03,-51302.85354091409
2016-01-04,-23512.31563188424
2016-01-05,317517.4284764701
