date,timestamp_utc,Fees Burnt per Transaction USD (Median)
2021-01-01,2021-01-01T00:00:00Z,
2021-01-02,2021-01-02T00:00:00Z,
2021-01-03,2021-01-03T00:00:00Z,
2021-01-04,2021-01-04T00:00:00Z,
2021-01-05,2021-01-05T00:00:00Z,
2021-01-06,2021-01-06T00:00:00Z,
2021-01-07,2021-01-07T00:00:00Z,
2021-01-08,2021-01-08T00:00:00Z,
2021-01-09,2021-01-09T00:00:00Z,
2021-01-10,2021-01-10T00:00:00Z,
2021-01-11,2021-01-11T00:00:00Z,
2021-01-12,2021-01-12T00:00:00Z,
2021-01-13,2021-01-13T00:00:00Z,
2021-01-14,2021-01-14T00:00:00Z,
2021-01-15,2021-01-15T00:00:00Z,
2021-01-16,2021-01-16T00:00:00Z,
2021-01-17,2021-01-17T00:00:00Z,
2021-01-18,2021-01-18T00:00:00Z,
2021-01-19,2021-01-19T00:00:00Z,
2021-01-20,2021-01-20T00:00:00Z,
2021-01-21,2021-01-21T00:00:00Z,
2021-01-22,2021-01-22T00:00:00Z,
2021-01-23,2021-01-23T00:00:00Z,
2021-01-24,2021-01-24T00:00:00Z,
2021-01-25,2021-01-25T00:00:00Z,
2021-01-26,2021-01-26T00:00:00Z,
2021-01-27,2021-01-27T00:00:00Z,
2021-01-28,2021-01-28T00:00:00Z,
2021-01-29,2021-01-29T00:00:00Z,
2021-01-30,2021-01-30T00:00:00Z,
2021-01-31,2021-01-31T00:00:00Z,
2021-02-01,2021-02-01T00:00:00Z,
2021-02-02,2021-02-02T00:00:00Z,
2021-02-03,2021-02-03T00:00:00Z,
2021-02-04,2021-02-04T00:00:00Z,
2021-02-05,2021-02-05T00:00:00Z,
2021-02-06,2021-02-06T00:00:00Z,
2021-02-07,2021-02-07T00:00:00Z,
2021-02-08,2021-02-08T00:00:00Z,
2021-02-09,2021-02-09T00:00:00Z,
2021-02-10,2021-02-10T00:00:00Z,
2021-02-11,2021-02-11T00:00:00Z,
2021-02-12,2021-02-12T00:00:00Z,
2021-02-13,2021-02-13T00:00:00Z,
2021-02-14,2021-02-14T00:00:00Z,
2021-02-15,2021-02-15T00:00:00Z,
2021-02-16,2021-02-16T00:00:00Z,
2021-02-17,2021-02-17T00:00:00Z,
2021-02-18,2021-02-18T00:00:00Z,
2021-02-19,2021-02-19T00:00:00Z,
2021-02-20,2021-02-20T00:00:00Z,
2021-02-21,2021-02-21T00:00:00Z,
2021-02-22,2021-02-22T00:00:00Z,
2021-02-23,2021-02-23T00:00:00Z,
2021-02-24,2021-02-24T00:00:00Z,
2021-02-25,2021-02-25T00:00:00Z,
2021-02-26,2021-02-26T00:00:00Z,
2021-02-27,2021-02-27T00:00:00Z,
2021-02-28,2021-02-28T00:00:00Z,
2021-03-01,2021-03-01T00:00:00Z,
2021-03-02,2021-03-02T00:00:00Z,
2021-03-03,2021-03-03T00:00:00Z,
2021-03-04,2021-03-04T00:00:00Z,
2021-03-05,2021-03-05T00:00:00Z,
2021-03-06,2021-03-06T00:00:00Z,
2021-03-07,2021-03-07T00:00:00Z,
2021-03-08,2021-03-08T00:00:00Z,
2021-03-09,2021-03-09T00:00:00Z,
2021-03-10,2021-03-10T00:00:00Z,
2021-03-11,2021-03-11T00:00:00Z,
2021-03-12,2021-03-12T00:00:00Z,
2021-03-13,2021-03-13T00:00:00Z,
2021-03-14,2021-03-14T00:00:00Z,
2021-03-15,2021-03-15T00:00:00Z,
2021-03-16,2021-03-16T00:00:00Z,
2021-03-17,2021-03-17T00:00:00Z,
2021-03-18,2021-03-18T00:00:00Z,
2021-03-19,2021-03-19T00:00:00Z,
2021-03-20,2021-03-20T00:00:00Z,
2021-03-21,2021-03-21T00:00:00Z,
2021-03-22,2021-03-22T00:00:00Z,
2021-03-23,2021-03-23T00:00:00Z,
2021-03-24,2021-03-24T00:00:00Z,
2021-03-25,2021-03-25T00:00:00Z,
2021-03-26,2021-03-26T00:00:00Z,
2021-03-27,2021-03-27T00:00:00Z,
2021-03-28,2021-03-28T00:00:00Z,
2021-03-29,2021-03-29T00:00:00Z,
2021-03-30,2021-03-30T00:00:00Z,
2021-03-31,2021-03-31T00:00:00Z,
2021-04-01,2021-04-01T00:00:00Z,
2021-04-02,2021-04-02T00:00:00Z,
2021-04-03,2021-04-03T00:00:00Z,
2021-04-04,2021-04-04T00:00:00Z,
2021-04-05,2021-04-05T00:00:00Z,
2021-04-06,2021-04-06T00:00:00Z,
2021-04-07,2021-04-07T00:00:00Z,
2021-04-08,2021-04-08T00:00:00Z,
2021-04-09,2021-04-09T00:00:00Z,
2021-04-10,2021-04-10T00:00:00Z,
2021-04-11,2021-04-11T00:00:00Z,
2021-04-12,2021-04-12T00:00:00Z,
2021-04-13,2021-04-13T00:00:00Z,
2021-04-14,2021-04-14T00:00:00Z,
2021-04-15,2021-04-15T00:00:00Z,
2021-04-16,2021-04-16T00:00:00Z,
2021-04-17,2021-04-17T00:00:00Z,
2021-04-18,2021-04-18T00:00:00Z,
2021-04-19,2021-04-19T00:00:00Z,
2021-04-20,2021-04-20T00:00:00Z,
2021-04-21,2021-04-21T00:00:00Z,
2021-04-22,2021-04-22T00:00:00Z,
2021-04-23,2021-04-23T00:00:00Z,
2021-04-24,2021-04-24T00:00:00Z,
2021-04-25,2021-04-25T00:00:00Z,
2021-04-26,2021-04-26T00:00:00Z,
2021-04-27,2021-04-27T00:00:00Z,
2021-04-28,2021-04-28T00:00:00Z,
2021-04-29,2021-04-29T00:00:00Z,
2021-04-30,2021-04-30T00:00:00Z,
2021-05-01,2021-05-01T00:00:00Z,
2021-05-02,2021-05-02T00:00:00Z,
2021-05-03,2021-05-03T00:00:00Z,
2021-05-04,2021-05-04T00:00:00Z,
2021-05-05,2021-05-05T00:00:00Z,
2021-05-06,2021-05-06T00:00:00Z,
2021-05-07,2021-05-07T00:00:00Z,
2021-05-08,2021-05-08T00:00:00Z,
2021-05-09,2021-05-09T00:00:00Z,
2021-05-10,2021-05-10T00:00:00Z,
2021-05-11,2021-05-11T00:00:00Z,
2021-05-12,2021-05-12T00:00:00Z,
2021-05-13,2021-05-13T00:00:00Z,
2021-05-14,2021-05-14T00:00:00Z,
2021-05-15,2021-05-15T00:00:00Z,
2021-05-16,2021-05-16T00:00:00Z,
2021-05-17,2021-05-17T00:00:00Z,
2021-05-18,2021-05-18T00:00:00Z,
2021-05-19,2021-05-19T00:00:00Z,
2021-05-20,2021-05-20T00:00:00Z,
2021-05-21,2021-05-21T00:00:00Z,
2021-05-22,2021-05-22T00:00:00Z,
2021-05-23,2021-05-23T00:00:00Z,
2021-05-24,2021-05-24T00:00:00Z,
2021-05-25,2021-05-25T00:00:00Z,
2021-05-26,2021-05-26T00:00:00Z,
2021-05-27,2021-05-27T00:00:00Z,
2021-05-28,2021-05-28T00:00:00Z,
2021-05-29,2021-05-29T00:00:00Z,
2021-05-30,2021-05-30T00:00:00Z,
2021-05-31,2021-05-31T00:00:00Z,
2021-06-01,2021-06-01T00:00:00Z,
2021-06-02,2021-06-02T00:00:00Z,
2021-06-03,2021-06-03T00:00:00Z,
2021-06-04,2021-06-04T00:00:00Z,
2021-06-05,2021-06-05T00:00:00Z,
2021-06-06,2021-06-06T00:00:00Z,
2021-06-07,2021-06-07T00:00:00Z,
2021-06-08,2021-06-08T00:00:00Z,
2021-06-09,2021-06-09T00:00:00Z,
2021-06-10,2021-06-10T00:00:00Z,
2021-06-11,2021-06-11T00:00:00Z,
2021-06-12,2021-06-12T00:00:00Z,
2021-06-13,2021-06-13T00:00:00Z,
2021-06-14,2021-06-14T00:00:00Z,
2021-06-15,2021-06-15T00:00:00Z,
2021-06-16,2021-06-16T00:00:00Z,
2021-06-17,2021-06-17T00:00:00Z,
2021-06-18,2021-06-18T00:00:00Z,
2021-06-19,2021-06-19T00:00:00Z,
2021-06-20,2021-06-20T00:00:00Z,
2021-06-21,2021-06-21T00:00:00Z,
2021-06-22,2021-06-22T00:00:00Z,
2021-06-23,2021-06-23T00:00:00Z,
2021-06-24,2021-06-24T00:00:00Z,
2021-06-25,2021-06-25T00:00:00Z,
2021-06-26,2021-06-26T00:00:00Z,
2021-06-27,2021-06-27T00:00:00Z,
2021-06-28,2021-06-28T00:00:00Z,
2021-06-29,2021-06-29T00:00:00Z,
2021-06-30,2021-06-30T00:00:00Z,
2021-07-01,2021-07-01T00:00:00Z,
2021-07-02,2021-07-02T00:00:00Z,
2021-07-03,2021-07-03T00:00:00Z,
2021-07-04,2021-07-04T00:00:00Z,
2021-07-05,2021-07-05T00:00:00Z,
2021-07-06,2021-07-06T00:00:00Z,
2021-07-07,2021-07-07T00:00:00Z,
2021-07-08,2021-07-08T00:00:00Z,
2021-07-09,2021-07-09T00:00:00Z,
2021-07-10,2021-07-10T00:00:00Z,
2021-07-11,2021-07-11T00:00:00Z,
2021-07-12,2021-07-12T00:00:00Z,
2021-07-13,2021-07-13T00:00:00Z,
2021-07-14,2021-07-14T00:00:00Z,
2021-07-15,2021-07-15T00:00:00Z,
2021-07-16,2021-07-16T00:00:00Z,
2021-07-17,2021-07-17T00:00:00Z,
2021-07-18,2021-07-18T00:00:00Z,
2021-07-19,2021-07-19T00:00:00Z,
2021-07-20,2021-07-20T00:00:00Z,
2021-07-21,2021-07-21T00:00:00Z,
2021-07-22,2021-07-22T00:00:00Z,
2021-07-23,2021-07-23T00:00:00Z,
2021-07-24,2021-07-24T00:00:00Z,
2021-07-25,2021-07-25T00:00:00Z,
2021-07-26,2021-07-26T00:00:00Z,
2021-07-27,2021-07-27T00:00:00Z,
2021-07-28,2021-07-28T00:00:00Z,
2021-07-29,2021-07-29T00:00:00Z,
2021-07-30,2021-07-30T00:00:00Z,
2021-07-31,2021-07-31T00:00:00Z,
2021-08-01,2021-08-01T00:00:00Z,
2021-08-02,2021-08-02T00:00:00Z,
2021-08-03,2021-08-03T00:00:00Z,
2021-08-04,2021-08-04T00:00:00Z,
2021-08-05,2021-08-05T00:00:00Z,7.168741410399429
2021-08-06,2021-08-06T00:00:00Z,4.690704704762758
2021-08-07,2021-08-07T00:00:00Z,5.415379332880424
2021-08-08,2021-08-08T00:00:00Z,4.303869879085387
2021-08-09,2021-08-09T00:00:00Z,5.2811210921875045
2021-08-10,2021-08-10T00:00:00Z,5.510249622715524
2021-08-11,2021-08-11T00:00:00Z,6.603775592873589
2021-08-12,2021-08-12T00:00:00Z,5.287221288231572
2021-08-13,2021-08-13T00:00:00Z,5.902148029202512
2021-08-14,2021-08-14T00:00:00Z,5.431493541107594
2021-08-15,2021-08-15T00:00:00Z,4.80120504585575
2021-08-16,2021-08-16T00:00:00Z,5.71371274621172
2021-08-17,2021-08-17T00:00:00Z,5.109945496057788
2021-08-18,2021-08-18T00:00:00Z,4.663618031557342
2021-08-19,2021-08-19T00:00:00Z,4.088336311578304
2021-08-20,2021-08-20T00:00:00Z,4.532897895291443
2021-08-21,2021-08-21T00:00:00Z,3.81906698270702
2021-08-22,2021-08-22T00:00:00Z,4.119493990034883
2021-08-23,2021-08-23T00:00:00Z,7.019347890779319
2021-08-24,2021-08-24T00:00:00Z,9.199968021906646
2021-08-25,2021-08-25T00:00:00Z,11.102345377171266
2021-08-26,2021-08-26T00:00:00Z,10.1983387508726
2021-08-27,2021-08-27T00:00:00Z,11.79792774632024
2021-08-28,2021-08-28T00:00:00Z,9.1582541777867
2021-08-29,2021-08-29T00:00:00Z,9.321695253209864
2021-08-30,2021-08-30T00:00:00Z,11.367639445629669
2021-08-31,2021-08-31T00:00:00Z,12.96405994105874
2021-09-01,2021-09-01T00:00:00Z,15.661968583713753
2021-09-02,2021-09-02T00:00:00Z,14.879297443334575
2021-09-03,2021-09-03T00:00:00Z,21.19956291126224
2021-09-04,2021-09-04T00:00:00Z,17.221977945438077
2021-09-05,2021-09-05T00:00:00Z,16.1224369865827
2021-09-06,2021-09-06T00:00:00Z,16.74883858785399
2021-09-07,2021-09-07T00:00:00Z,16.33016070594524
2021-09-08,2021-09-08T00:00:00Z,16.612404682224277
2021-09-09,2021-09-09T00:00:00Z,16.175146425924048
2021-09-10,2021-09-10T00:00:00Z,11.145678135944443
2021-09-11,2021-09-11T00:00:00Z,7.577647607743686
2021-09-12,2021-09-12T00:00:00Z,7.840807664566463
2021-09-13,2021-09-13T00:00:00Z,9.604923250925872
2021-09-14,2021-09-14T00:00:00Z,7.508715189879306
2021-09-15,2021-09-15T00:00:00Z,8.180579349466894
2021-09-16,2021-09-16T00:00:00Z,9.78280624836234
2021-09-17,2021-09-17T00:00:00Z,9.230681456666463
2021-09-18,2021-09-18T00:00:00Z,7.018717306934946
2021-09-19,2021-09-19T00:00:00Z,6.6526594818889615
2021-09-20,2021-09-20T00:00:00Z,9.341408267159991
2021-09-21,2021-09-21T00:00:00Z,9.26986437046881
2021-09-22,2021-09-22T00:00:00Z,7.633092143826906
2021-09-23,2021-09-23T00:00:00Z,8.2465094021872
2021-09-24,2021-09-24T00:00:00Z,7.95823986327212
2021-09-25,2021-09-25T00:00:00Z,5.307463521394035
2021-09-26,2021-09-26T00:00:00Z,7.103433993469231
2021-09-27,2021-09-27T00:00:00Z,8.78426988243773
2021-09-28,2021-09-28T00:00:00Z,9.38017493295521
2021-09-29,2021-09-29T00:00:00Z,8.467924656836464
2021-09-30,2021-09-30T00:00:00Z,10.071116230001651
2021-10-01,2021-10-01T00:00:00Z,10.16560319853848
2021-10-02,2021-10-02T00:00:00Z,8.070734755967058
2021-10-03,2021-10-03T00:00:00Z,7.898334387141539
2021-10-04,2021-10-04T00:00:00Z,12.288112424173196
2021-10-05,2021-10-05T00:00:00Z,14.465145687999067
2021-10-06,2021-10-06T00:00:00Z,15.520676598384307
2021-10-07,2021-10-07T00:00:00Z,17.165611898978124
2021-10-08,2021-10-08T00:00:00Z,13.848510720798652
2021-10-09,2021-10-09T00:00:00Z,10.68135126440179
2021-10-10,2021-10-10T00:00:00Z,9.92355143819957
2021-10-11,2021-10-11T00:00:00Z,13.952962685137956
2021-10-12,2021-10-12T00:00:00Z,11.846906173513958
2021-10-13,2021-10-13T00:00:00Z,13.800414928472904
2021-10-14,2021-10-14T00:00:00Z,16.32050401530314
2021-10-15,2021-10-15T00:00:00Z,17.933732228318135
2021-10-16,2021-10-16T00:00:00Z,12.108787960292736
2021-10-17,2021-10-17T00:00:00Z,10.974716709241804
2021-10-18,2021-10-18T00:00:00Z,11.3109066823225
2021-10-19,2021-10-19T00:00:00Z,10.160939305752462
2021-10-20,2021-10-20T00:00:00Z,11.448829246536413
2021-10-21,2021-10-21T00:00:00Z,12.413745631716056
2021-10-22,2021-10-22T00:00:00Z,11.379514556862327
2021-10-23,2021-10-23T00:00:00Z,9.582346514542738
2021-10-24,2021-10-24T00:00:00Z,10.1845565328971
2021-10-25,2021-10-25T00:00:00Z,13.581952875049812
2021-10-26,2021-10-26T00:00:00Z,17.052202141842415
2021-10-27,2021-10-27T00:00:00Z,21.534020260964336
2021-10-28,2021-10-28T00:00:00Z,25.15399440709199
2021-10-29,2021-10-29T00:00:00Z,25.09199856515958
2021-10-30,2021-10-30T00:00:00Z,23.896133755641703
2021-10-31,2021-10-31T00:00:00Z,23.511216803808853
2021-11-01,2021-11-01T00:00:00Z,24.2571293547816
2021-11-02,2021-11-02T00:00:00Z,28.12842330934978
2021-11-03,2021-11-03T00:00:00Z,26.72351837147684
2021-11-04,2021-11-04T00:00:00Z,23.3963111584232
2021-11-05,2021-11-05T00:00:00Z,21.306514025426168
2021-11-06,2021-11-06T00:00:00Z,17.726835074011078
2021-11-07,2021-11-07T00:00:00Z,16.360463892073597
2021-11-08,2021-11-08T00:00:00Z,20.476577687275427
2021-11-09,2021-11-09T00:00:00Z,30.38235045067082
2021-11-10,2021-11-10T00:00:00Z,25.991651279917352
2021-11-11,2021-11-11T00:00:00Z,25.83797896091187
2021-11-12,2021-11-12T00:00:00Z,24.05035949929435
2021-11-13,2021-11-13T00:00:00Z,20.837945369381405
2021-11-14,2021-11-14T00:00:00Z,18.108929535703663
2021-11-15,2021-11-15T00:00:00Z,24.243206205880632
2021-11-16,2021-11-16T00:00:00Z,21.775892737983146
2021-11-17,2021-11-17T00:00:00Z,18.773372386690657
2021-11-18,2021-11-18T00:00:00Z,20.738746578736748
2021-11-19,2021-11-19T00:00:00Z,18.815597369101067
2021-11-20,2021-11-20T00:00:00Z,17.76985504502841
2021-11-21,2021-11-21T00:00:00Z,15.975102308895304
2021-11-22,2021-11-22T00:00:00Z,21.7797092581632
2021-11-23,2021-11-23T00:00:00Z,20.759481660053
2021-11-24,2021-11-24T00:00:00Z,19.62424566351135
2021-11-25,2021-11-25T00:00:00Z,20.667098324120094
2021-11-26,2021-11-26T00:00:00Z,16.662338382007206
2021-11-27,2021-11-27T00:00:00Z,16.368310460571003
2021-11-28,2021-11-28T00:00:00Z,17.56693356116663
2021-11-29,2021-11-29T00:00:00Z,19.56163613233268
2021-11-30,2021-11-30T00:00:00Z,20.506793301943272
2021-12-01,2021-12-01T00:00:00Z,23.323872070156582
2021-12-02,2021-12-02T00:00:00Z,18.017769077810613
2021-12-03,2021-12-03T00:00:00Z,16.91652590087593
2021-12-04,2021-12-04T00:00:00Z,20.251708784833127
2021-12-05,2021-12-05T00:00:00Z,12.421234732978464
2021-12-06,2021-12-06T00:00:00Z,16.723760509522513
2021-12-07,2021-12-07T00:00:00Z,14.547767466886055
2021-12-08,2021-12-08T00:00:00Z,11.92274202909312
2021-12-09,2021-12-09T00:00:00Z,12.148619528442708
2021-12-10,2021-12-10T00:00:00Z,10.296076160049871
2021-12-11,2021-12-11T00:00:00Z,10.2264209448405
2021-12-12,2021-12-12T00:00:00Z,8.74264059893503
2021-12-13,2021-12-13T00:00:00Z,9.816798366083336
2021-12-14,2021-12-14T00:00:00Z,10.653182381181908
2021-12-15,2021-12-15T00:00:00Z,11.996740615341922
2021-12-16,2021-12-16T00:00:00Z,12.2304076468961
2021-12-17,2021-12-17T00:00:00Z,11.269253329041202
2021-12-18,2021-12-18T00:00:00Z,9.43084328748675
2021-12-19,2021-12-19T00:00:00Z,7.7165394036603585
2021-12-20,2021-12-20T00:00:00Z,8.89711012703486
2021-12-21,2021-12-21T00:00:00Z,9.63761292456887
2021-12-22,2021-12-22T00:00:00Z,9.994030416191343
2021-12-23,2021-12-23T00:00:00Z,11.954685447194809
2021-12-24,2021-12-24T00:00:00Z,10.535445407732292
2021-12-25,2021-12-25T00:00:00Z,12.017112348971906
2021-12-26,2021-12-26T00:00:00Z,8.959949005231485
2021-12-27,2021-12-27T00:00:00Z,11.072505761770216
2021-12-28,2021-12-28T00:00:00Z,13.700985554117224
2021-12-29,2021-12-29T00:00:00Z,18.11568794755928
2021-12-30,2021-12-30T00:00:00Z,15.12981154937022
2021-12-31,2021-12-31T00:00:00Z,13.41361269530112
2022-01-01,2022-01-01T00:00:00Z,12.402911923409825
2022-01-02,2022-01-02T00:00:00Z,14.502737392405493
2022-01-03,2022-01-03T00:00:00Z,15.076952742464671
2022-01-04,2022-01-04T00:00:00Z,16.97030534484686
2022-01-05,2022-01-05T00:00:00Z,17.779989947600736
2022-01-06,2022-01-06T00:00:00Z,16.53971278312272
2022-01-07,2022-01-07T00:00:00Z,16.866136658328248
2022-01-08,2022-01-08T00:00:00Z,12.844815021293112
2022-01-09,2022-01-09T00:00:00Z,18.03780054059432
2022-01-10,2022-01-10T00:00:00Z,28.023423594842008
2022-01-11,2022-01-11T00:00:00Z,23.135386815653145
2022-01-12,2022-01-12T00:00:00Z,22.088500954084
2022-01-13,2022-01-13T00:00:00Z,19.74217104505657
2022-01-14,2022-01-14T00:00:00Z,23.21390329176544
2022-01-15,2022-01-15T00:00:00Z,16.79996844860687
2022-01-16,2022-01-16T00:00:00Z,16.789502334172216
2022-01-17,2022-01-17T00:00:00Z,16.66684199282659
2022-01-18,2022-01-18T00:00:00Z,14.543598233890677
2022-01-19,2022-01-19T00:00:00Z,13.716150202332908
2022-01-20,2022-01-20T00:00:00Z,14.504351277000424
2022-01-21,2022-01-21T00:00:00Z,16.792999851282705
2022-01-22,2022-01-22T00:00:00Z,14.734152891336016
2022-01-23,2022-01-23T00:00:00Z,12.03364162752294
2022-01-24,2022-01-24T00:00:00Z,12.697096326394682
2022-01-25,2022-01-25T00:00:00Z,12.40033677577168
2022-01-26,2022-01-26T00:00:00Z,13.122657424234289
2022-01-27,2022-01-27T00:00:00Z,14.374758488096283
2022-01-28,2022-01-28T00:00:00Z,13.403608729666908
2022-01-29,2022-01-29T00:00:00Z,11.148926553847978
2022-01-30,2022-01-30T00:00:00Z,10.32035999627748
2022-01-31,2022-01-31T00:00:00Z,11.30087883627285
2022-02-01,2022-02-01T00:00:00Z,15.179809945432687
2022-02-02,2022-02-02T00:00:00Z,14.344998197323797
2022-02-03,2022-02-03T00:00:00Z,11.90325758189336
2022-02-04,2022-02-04T00:00:00Z,11.855259171314666
2022-02-05,2022-02-05T00:00:00Z,7.501595897325646
2022-02-06,2022-02-06T00:00:00Z,7.906786882333575
2022-02-07,2022-02-07T00:00:00Z,13.377810470504734
2022-02-08,2022-02-08T00:00:00Z,10.513195968312685
2022-02-09,2022-02-09T00:00:00Z,10.19209995457621
2022-02-10,2022-02-10T00:00:00Z,9.695141976068596
2022-02-11,2022-02-11T00:00:00Z,7.592682137343993
2022-02-12,2022-02-12T00:00:00Z,6.964205312160015
2022-02-13,2022-02-13T00:00:00Z,5.614625462814457
2022-02-14,2022-02-14T00:00:00Z,6.158036284661447
2022-02-15,2022-02-15T00:00:00Z,7.627733726738958
2022-02-16,2022-02-16T00:00:00Z,9.057748415955034
2022-02-17,2022-02-17T00:00:00Z,7.914349973777651
2022-02-18,2022-02-18T00:00:00Z,10.72055762672356
2022-02-19,2022-02-19T00:00:00Z,6.83999583053718
2022-02-20,2022-02-20T00:00:00Z,5.537738713268591
2022-02-21,2022-02-21T00:00:00Z,8.96720604160742
2022-02-22,2022-02-22T00:00:00Z,8.696904561498322
2022-02-23,2022-02-23T00:00:00Z,7.369896215762812
2022-02-24,2022-02-24T00:00:00Z,8.055261890268033
2022-02-25,2022-02-25T00:00:00Z,5.6673709484097765
2022-02-26,2022-02-26T00:00:00Z,4.36957256945972
2022-02-27,2022-02-27T00:00:00Z,4.120546673720899
2022-02-28,2022-02-28T00:00:00Z,6.867670916453113
2022-03-01,2022-03-01T00:00:00Z,6.4420921437372325
2022-03-02,2022-03-02T00:00:00Z,5.570632593222524
2022-03-03,2022-03-03T00:00:00Z,4.982970580340878
2022-03-04,2022-03-04T00:00:00Z,4.230502532308698
2022-03-05,2022-03-05T00:00:00Z,3.386644677111008
2022-03-06,2022-03-06T00:00:00Z,3.293643275859853
2022-03-07,2022-03-07T00:00:00Z,3.232108772849248
2022-03-08,2022-03-08T00:00:00Z,3.225985716726156
2022-03-09,2022-03-09T00:00:00Z,3.4909264971418605
2022-03-10,2022-03-10T00:00:00Z,3.001248187511904
2022-03-11,2022-03-11T00:00:00Z,2.680703501965197
2022-03-12,2022-03-12T00:00:00Z,1.9550144896847952
2022-03-13,2022-03-13T00:00:00Z,2.4347881920343952
2022-03-14,2022-03-14T00:00:00Z,2.8437232118361924
2022-03-15,2022-03-15T00:00:00Z,3.147960354835412
2022-03-16,2022-03-16T00:00:00Z,3.5163904402238737
2022-03-17,2022-03-17T00:00:00Z,5.384995341858001
2022-03-18,2022-03-18T00:00:00Z,5.229243830780237
2022-03-19,2022-03-19T00:00:00Z,3.2365162326484267
2022-03-20,2022-03-20T00:00:00Z,2.511472038543058
2022-03-21,2022-03-21T00:00:00Z,3.1828426915972523
2022-03-22,2022-03-22T00:00:00Z,3.938304947688596
2022-03-23,2022-03-23T00:00:00Z,3.9829050733015694
2022-03-24,2022-03-24T00:00:00Z,5.219854802654428
2022-03-25,2022-03-25T00:00:00Z,5.000519491462826
2022-03-26,2022-03-26T00:00:00Z,3.52241921467421
2022-03-27,2022-03-27T00:00:00Z,3.865087517076504
2022-03-28,2022-03-28T00:00:00Z,5.995306178293646
2022-03-29,2022-03-29T00:00:00Z,5.5606000944232665
2022-03-30,2022-03-30T00:00:00Z,6.199280797386535
2022-03-31,2022-03-31T00:00:00Z,6.116847890155181
2022-04-01,2022-04-01T00:00:00Z,8.08133878280977
2022-04-02,2022-04-02T00:00:00Z,7.083046206328222
2022-04-03,2022-04-03T00:00:00Z,6.876993072782402
2022-04-04,2022-04-04T00:00:00Z,8.577074888103475
2022-04-05,2022-04-05T00:00:00Z,9.252065266112371
2022-04-06,2022-04-06T00:00:00Z,7.197957079052235
2022-04-07,2022-04-07T00:00:00Z,7.437890784445581
2022-04-08,2022-04-08T00:00:00Z,6.854725654924305
2022-04-09,2022-04-09T00:00:00Z,4.40907082035737
2022-04-10,2022-04-10T00:00:00Z,4.103925312342802
2022-04-11,2022-04-11T00:00:00Z,5.0683334532651925
2022-04-12,2022-04-12T00:00:00Z,5.701370108869074
2022-04-13,2022-04-13T00:00:00Z,5.8553272858026055
