date,timestamp_utc,Fees Burnt per Transaction (Median)
2021-01-01,2021-01-01T00:00:00Z,
2021-01-02,2021-01-02T00:00:00Z,
2021-01-03,2021-01-03T00:00:00Z,
2021-01-04,2021-01-04T00:00:00Z,
2021-01-05,2021-01-05T00:00:00Z,
2021-01-06,2021-01-06T00:00:00Z,
2021-01-07,2021-01-07T00:00:00Z,
2021-01-08,2021-01-08T00:00:00Z,
2021-01-09,2021-01-09T00:00:00Z,
2021-01-10,2021-01-10T00:00:00Z,
2021-01-11,2021-01-11T00:00:00Z,
2021-01-12,2021-01-12T00:00:00Z,
2021-01-13,2021-01-13T00:00:00Z,
2021-01-14,2021-01-14T00:00:00Z,
2021-01-15,2021-01-15T00:00:00Z,
2021-01-16,2021-01-16T00:00:00Z,
2021-01-17,2021-01-17T00:00:00Z,
2021-01-18,2021-01-18T00:00:00Z,
2021-01-19,2021-01-19T00:00:00Z,
2021-01-20,2021-01-20T00:00:00Z,
2021-01-21,2021-01-21T00:00:00Z,
2021-01-22,2021-01-22T00:00:00Z,
2021-01-23,2021-01-23T00:00:00Z,
2021-01-24,2021-01-24T00:00:00Z,
2021-01-25,2021-01-25T00:00:00Z,
2021-01-26,2021-01-26T00:00:00Z,
2021-01-27,2021-01-27T00:00:00Z,
2021-01-28,2021-01-28T00:00:00Z,
2021-01-29,2021-01-29T00:00:00Z,
2021-01-30,2021-01-30T00:00:00Z,
2021-01-31,2021-01-31T00:00:00Z,
2021-02-01,2021-02-01T00:00:00Z,
2021-02-02,2021-02-02T00:00:00Z,
2021-02-03,2021-02-03T00:00:00Z,
2021-02-04,2021-02-04T00:00:00Z,
2021-02-05,2021-02-05T00:00:00Z,
2021-02-06,2021-02-06T00:00:00Z,
2021-02-07,2021-02-07T00:00:00Z,
2021-02-08,2021-02-08T00:00:00Z,
2021-02-09,2021-02-09T00:00:00Z,
2021-02-10,2021-02-10T00:00:00Z,
2021-02-11,2021-02-11T00:00:00Z,
2021-02-12,2021-02-12T00:00:00Z,
2021-02-13,2021-02-13T00:00:00Z,
2021-02-14,2021-02-14T00:00:00Z,
2021-02-15,2021-02-15T00:00:00Z,
2021-02-16,2021-02-16T00:00:00Z,
2021-02-17,2021-02-17T00:00:00Z,
2021-02-18,2021-02-18T00:00:00Z,
2021-02-19,2021-02-19T00:00:00Z,
2021-02-20,2021-02-20T00:00:00Z,
2021-02-21,2021-02-21T00:00:00Z,
2021-02-22,2021-02-22T00:00:00Z,
2021-02-23,2021-02-23T00:00:00Z,
2021-02-24,2021-02-24T00:00:00Z,
2021-02-25,2021-02-25T00:00:00Z,
2021-02-26,2021-02-26T00:00:00Z,
2021-02-27,2021-02-27T00:00:00Z,
2021-02-28,2021-02-28T00:00:00Z,
2021-03-01,2021-03-01T00:00:00Z,
2021-03-02,2021-03-02T00:00:00Z,
2021-03-03,2021-03-03T00:00:00Z,
2021-03-04,2021-03-04T00:00:00Z,
2021-03-05,2021-03-05T00:00:00Z,
2021-03-06,2021-03-06T00:00:00Z,
2021-03-07,2021-03-07T00:00:00Z,
2021-03-08,2021-03-08T00:00:00Z,
2021-03-09,2021-03-09T00:00:00Z,
2021-03-10,2021-03-10T00:00:00Z,
2021-03-11,2021-03-11T00:00:00Z,
2021-03-12,2021-03-12T00:00:00Z,
2021-03-13,2021-03-13T00:00:00Z,
2021-03-14,2021-03-14T00:00:00Z,
2021-03-15,2021-03-15T00:00:00Z,
2021-03-16,2021-03-16T00:00:00Z,
2021-03-17,2021-03-17T00:00:00Z,
2021-03-18,2021-03-18T00:00:00Z,
2021-03-19,2021-03-19T00:00:00Z,
2021-03-20,2021-03-20T00:00:00Z,
2021-03-21,2021-03-21T00:00:00Z,
2021-03-22,2021-03-22T00:00:00Z,
2021-03-23,2021-03-23T00:00:00Z,
2021-03-24,2021-03-24T00:00:00Z,
2021-03-25,2021-03-25T00:00:00Z,
2021-03-26,2021-03-26T00:00:00Z,
2021-03-27,2021-03-27T00:00:00Z,
2021-03-28,2021-03-28T00:00:00Z,
2021-03-29,2021-03-29T00:00:00Z,
2021-03-30,2021-03-30T00:00:00Z,
2021-03-31,2021-03-31T00:00:00Z,
2021-04-01,2021-04-01T00:00:00Z,
2021-04-02,2021-04-02T00:00:00Z,
2021-04-03,2021-04-03T00:00:00Z,
2021-04-04,2021-04-04T00:00:00Z,
2021-04-05,2021-04-05T00:00:00Z,
2021-04-06,2021-04-06T00:00:00Z,
2021-04-07,2021-04-07T00:00:00Z,
2021-04-08,2021-04-08T00:00:00Z,
2021-04-09,2021-04-09T00:00:00Z,
2021-04-10,2021-04-10T00:00:00Z,
2021-04-11,2021-04-11T00:00:00Z,
2021-04-12,2021-04-12T00:00:00Z,
2021-04-13,2021-04-13T00:00:00Z,
2021-04-14,2021-04-14T00:00:00Z,
2021-04-15,2021-04-15T00:00:00Z,
2021-04-16,2021-04-16T00:00:00Z,
2021-04-17,2021-04-17T00:00:00Z,
2021-04-18,2021-04-18T00:00:00Z,
2021-04-19,2021-04-19T00:00:00Z,
2021-04-20,2021-04-20T00:00:00Z,
2021-04-21,2021-04-21T00:00:00Z,
2021-04-22,2021-04-22T00:00:00Z,
2021-04-23,2021-04-23T00:00:00Z,
2021-04-24,2021-04-24T00:00:00Z,
2021-04-25,2021-04-25T00:00:00Z,
2021-04-26,2021-04-26T00:00:00Z,
2021-04-27,2021-04-27T00:00:00Z,
2021-04-28,2021-04-28T00:00:00Z,
2021-04-29,2021-04-29T00:00:00Z,
2021-04-30,2021-04-30T00:00:00Z,
2021-05-01,2021-05-01T00:00:00Z,
2021-05-02,2021-05-02T00:00:00Z,
2021-05-03,2021-05-03T00:00:00Z,
2021-05-04,2021-05-04T00:00:00Z,
2021-05-05,2021-05-05T00:00:00Z,
2021-05-06,2021-05-06T00:00:00Z,
2021-05-07,2021-05-07T00:00:00Z,
2021-05-08,2021-05-08T00:00:00Z,
2021-05-09,2021-05-09T00:00:00Z,
2021-05-10,2021-05-10T00:00:00Z,
2021-05-11,2021-05-11T00:00:00Z,
2021-05-12,2021-05-12T00:00:00Z,
2021-05-13,2021-05-13T00:00:00Z,
2021-05-14,2021-05-14T00:00:00Z,
2021-05-15,2021-05-15T00:00:00Z,
2021-05-16,2021-05-16T00:00:00Z,
2021-05-17,2021-05-17T00:00:00Z,
2021-05-18,2021-05-18T00:00:00Z,
2021-05-19,2021-05-19T00:00:00Z,
2021-05-20,2021-05-20T00:00:00Z,
2021-05-21,2021-05-21T00:00:00Z,
2021-05-22,2021-05-22T00:00:00Z,
2021-05-23,2021-05-23T00:00:00Z,
2021-05-24,2021-05-24T00:00:00Z,
2021-05-25,2021-05-25T00:00:00Z,
2021-05-26,2021-05-26T00:00:00Z,
2021-05-27,2021-05-27T00:00:00Z,
2021-05-28,2021-05-28T00:00:00Z,
2021-05-29,2021-05-29T00:00:00Z,
2021-05-30,2021-05-30T00:00:00Z,
2021-05-31,2021-05-31T00:00:00Z,
2021-06-01,2021-06-01T00:00:00Z,
2021-06-02,2021-06-02T00:00:00Z,
2021-06-03,2021-06-03T00:00:00Z,
2021-06-04,2021-06-04T00:00:00Z,
2021-06-05,2021-06-05T00:00:00Z,
2021-06-06,2021-06-06T00:00:00Z,
2021-06-07,2021-06-07T00:00:00Z,
2021-06-08,2021-06-08T00:00:00Z,
2021-06-09,2021-06-09T00:00:00Z,
2021-06-10,2021-06-10T00:00:00Z,
2021-06-11,2021-06-11T00:00:00Z,
2021-06-12,2021-06-12T00:00:00Z,
2021-06-13,2021-06-13T00:00:00Z,
2021-06-14,2021-06-14T00:00:00Z,
2021-06-15,2021-06-15T00:00:00Z,
2021-06-16,2021-06-16T00:00:00Z,
2021-06-17,2021-06-17T00:00:00Z,
2021-06-18,2021-06-18T00:00:00Z,
2021-06-19,2021-06-19T00:00:00Z,
2021-06-20,2021-06-20T00:00:00Z,
2021-06-21,2021-06-21T00:00:00Z,
2021-06-22,2021-06-22T00:00:00Z,
2021-06-23,2021-06-23T00:00:00Z,
2021-06-24,2021-06-24T00:00:00Z,
2021-06-25,2021-06-25T00:00:00Z,
2021-06-26,2021-06-26T00:00:00Z,
2021-06-27,2021-06-27T00:00:00Z,
2021-06-28,2021-06-28T00:00:00Z,
2021-06-29,2021-06-29T00:00:00Z,
2021-06-30,2021-06-30T00:00:00Z,
2021-07-01,2021-07-01T00:00:00Z,
2021-07-02,2021-07-02T00:00:00Z,
2021-07-03,2021-07-03T00:00:00Z,
2021-07-04,2021-07-04T00:00:00Z,
2021-07-05,2021-07-05T00:00:00Z,
2021-07-06,2021-07-06T00:00:00Z,
2021-07-07,2021-07-07T00:00:00Z,
2021-07-08,2021-07-08T00:00:00Z,
2021-07-09,2021-07-09T00:00:00Z,
2021-07-10,2021-07-10T00:00:00Z,
2021-07-11,2021-07-11T00:00:00Z,
2021-07-12,2021-07-12T00:00:00Z,
2021-07-13,2021-07-13T00:00:00Z,
2021-07-14,2021-07-14T00:00:00Z,
2021-07-15,2021-07-15T00:00:00Z,
2021-07-16,2021-07-16T00:00:00Z,
2021-07-17,2021-07-17T00:00:00Z,
2021-07-18,2021-07-18T00:00:00Z,
2021-07-19,2021-07-19T00:00:00Z,
2021-07-20,2021-07-20T00:00:00Z,
2021-07-21,2021-07-21T00:00:00Z,
2021-07-22,2021-07-22T00:00:00Z,
2021-07-23,2021-07-23T00:00:00Z,
2021-07-24,2021-07-24T00:00:00Z,
2021-07-25,2021-07-25T00:00:00Z,
2021-07-26,2021-07-26T00:00:00Z,
2021-07-27,2021-07-27T00:00:00Z,
2021-07-28,2021-07-28T00:00:00Z,
2021-07-29,2021-07-29T00:00:00Z,
2021-07-30,2021-07-30T00:00:00Z,
2021-07-31,2021-07-31T00:00:00Z,
2021-08-01,2021-08-01T00:00:00Z,
2021-08-02,2021-08-02T00:00:00Z,
2021-08-03,2021-08-03T00:00:00Z,
2021-08-04,2021-08-04T00:00:00Z,
2021-08-05,2021-08-05T00:00:00Z,0.0025344189569113
2021-08-06,2021-08-06T00:00:00Z,0.0016216465099346
2021-08-07,2021-08-07T00:00:00Z,0.0017131699328781
2021-08-08,2021-08-08T00:00:00Z,0.0014287208009672
2021-08-09,2021-08-09T00:00:00Z,0.0016701740327554
2021-08-10,2021-08-10T00:00:00Z,0.0017538505371023
2021-08-11,2021-08-11T00:00:00Z,0.002088732766777
2021-08-12,2021-08-12T00:00:00Z,0.0017349867461222
2021-08-13,2021-08-13T00:00:00Z,0.0017756610580323
2021-08-14,2021-08-14T00:00:00Z,0.0016631016444248
2021-08-15,2021-08-15T00:00:00Z,0.001450281240016
2021-08-16,2021-08-16T00:00:00Z,0.0018154798924169
2021-08-17,2021-08-17T00:00:00Z,0.001696680769764
2021-08-18,2021-08-18T00:00:00Z,0.0015466110223148
2021-08-19,2021-08-19T00:00:00Z,0.001283883398427
2021-08-20,2021-08-20T00:00:00Z,0.0013793042115902
2021-08-21,2021-08-21T00:00:00Z,0.0011838243433717
2021-08-22,2021-08-22T00:00:00Z,0.0012711645892792
2021-08-23,2021-08-23T00:00:00Z,0.0021126441518683
2021-08-24,2021-08-24T00:00:00Z,0.0029010806730754
2021-08-25,2021-08-25T00:00:00Z,0.0034393353001861
2021-08-26,2021-08-26T00:00:00Z,0.0032965955764033
2021-08-27,2021-08-27T00:00:00Z,0.003602268467574
2021-08-28,2021-08-28T00:00:00Z,0.0028204885867616
2021-08-29,2021-08-29T00:00:00Z,0.0028897548808791
2021-08-30,2021-08-30T00:00:00Z,0.0035192673322775
2021-08-31,2021-08-31T00:00:00Z,0.0037789515276651
2021-09-01,2021-09-01T00:00:00Z,0.0040905815434098
2021-09-02,2021-09-02T00:00:00Z,0.0039284999917612
2021-09-03,2021-09-03T00:00:00Z,0.0053813645961012
2021-09-04,2021-09-04T00:00:00Z,0.0044304001491151
2021-09-05,2021-09-05T00:00:00Z,0.0040790629959222
2021-09-06,2021-09-06T00:00:00Z,0.0042638275396133
2021-09-07,2021-09-07T00:00:00Z,0.004753219749264
2021-09-08,2021-09-08T00:00:00Z,0.004746800979375
2021-09-09,2021-09-09T00:00:00Z,0.004722145089795
2021-09-10,2021-09-10T00:00:00Z,0.0034729382779243
2021-09-11,2021-09-11T00:00:00Z,0.0023196281075422
2021-09-12,2021-09-12T00:00:00Z,0.0023030047965945
2021-09-13,2021-09-13T00:00:00Z,0.002923339883667
2021-09-14,2021-09-14T00:00:00Z,0.0021855026276924
2021-09-15,2021-09-15T00:00:00Z,0.0022626132882198
2021-09-16,2021-09-16T00:00:00Z,0.0027409938798553
2021-09-17,2021-09-17T00:00:00Z,0.0027150537601234
2021-09-18,2021-09-18T00:00:00Z,0.0020426712853032
2021-09-19,2021-09-19T00:00:00Z,0.0019983715709716
2021-09-20,2021-09-20T00:00:00Z,0.0031378533661649
2021-09-21,2021-09-21T00:00:00Z,0.003351355031367
2021-09-22,2021-09-22T00:00:00Z,0.0024797041745069
2021-09-23,2021-09-23T00:00:00Z,0.0026144684565832
2021-09-24,2021-09-24T00:00:00Z,0.0027154620858204
2021-09-25,2021-09-25T00:00:00Z,0.0018153409136821
2021-09-26,2021-09-26T00:00:00Z,0.0023201245058038
2021-09-27,2021-09-27T00:00:00Z,0.0030013058459623
2021-09-28,2021-09-28T00:00:00Z,0.003343197436222
2021-09-29,2021-09-29T00:00:00Z,0.0029707222865163
2021-09-30,2021-09-30T00:00:00Z,0.003356269446549
2021-10-01,2021-10-01T00:00:00Z,0.00306945424438
2021-10-02,2021-10-02T00:00:00Z,0.0023813008977587
2021-10-03,2021-10-03T00:00:00Z,0.002309591179791
2021-10-04,2021-10-04T00:00:00Z,0.0036279265590415
2021-10-05,2021-10-05T00:00:00Z,0.004113618181218
2021-10-06,2021-10-06T00:00:00Z,0.004340156187023
2021-10-07,2021-10-07T00:00:00Z,0.004783117188381
2021-10-08,2021-10-08T00:00:00Z,0.003886030589956
2021-10-09,2021-10-09T00:00:00Z,0.00298668055623
2021-10-10,2021-10-10T00:00:00Z,0.0029051443243308
2021-10-11,2021-10-11T00:00:00Z,0.0039383002904967
2021-10-12,2021-10-12T00:00:00Z,0.0033933754148499
2021-10-13,2021-10-13T00:00:00Z,0.0038249725807457
2021-10-14,2021-10-14T00:00:00Z,0.004304619572379
2021-10-15,2021-10-15T00:00:00Z,0.0046352551908745
2021-10-16,2021-10-16T00:00:00Z,0.003161526086144
2021-10-17,2021-10-17T00:00:00Z,0.0028525858668343
2021-10-18,2021-10-18T00:00:00Z,0.0030201030557247
2021-10-19,2021-10-19T00:00:00Z,0.0026203368379711
2021-10-20,2021-10-20T00:00:00Z,0.0027506763971528
2021-10-21,2021-10-21T00:00:00Z,0.0030625576994183
2021-10-22,2021-10-22T00:00:00Z,0.002865260238888
2021-10-23,2021-10-23T00:00:00Z,0.0022992731490278
2021-10-24,2021-10-24T00:00:00Z,0.0024947234429924
2021-10-25,2021-10-25T00:00:00Z,0.003218188312647
2021-10-26,2021-10-26T00:00:00Z,0.004127874618126
2021-10-27,2021-10-27T00:00:00Z,0.0054879976431244
2021-10-28,2021-10-28T00:00:00Z,0.0058665630136698
2021-10-29,2021-10-29T00:00:00Z,0.0056769828550683
2021-10-30,2021-10-30T00:00:00Z,0.0055257607347153
2021-10-31,2021-10-31T00:00:00Z,0.0054807696741169
2021-11-01,2021-11-01T00:00:00Z,0.0056122127835235
2021-11-02,2021-11-02T00:00:00Z,0.0061231450973821
2021-11-03,2021-11-03T00:00:00Z,0.0058024808863637
2021-11-04,2021-11-04T00:00:00Z,0.0051579235445018
2021-11-05,2021-11-05T00:00:00Z,0.0047577824844957
2021-11-06,2021-11-06T00:00:00Z,0.003920030036811
2021-11-07,2021-11-07T00:00:00Z,0.0035443531788918
2021-11-08,2021-11-08T00:00:00Z,0.0042563927183856
2021-11-09,2021-11-09T00:00:00Z,0.0064198409700329
2021-11-10,2021-11-10T00:00:00Z,0.0056135310128492
2021-11-11,2021-11-11T00:00:00Z,0.0054727964218299
2021-11-12,2021-11-12T00:00:00Z,0.005153691190156
2021-11-13,2021-11-13T00:00:00Z,0.0044864659252057
2021-11-14,2021-11-14T00:00:00Z,0.0039141338184207
2021-11-15,2021-11-15T00:00:00Z,0.0053130660321792
2021-11-16,2021-11-16T00:00:00Z,0.0051719933995675
2021-11-17,2021-11-17T00:00:00Z,0.0043762902036696
2021-11-18,2021-11-18T00:00:00Z,0.005186158470507
2021-11-19,2021-11-19T00:00:00Z,0.0043767955456342
2021-11-20,2021-11-20T00:00:00Z,0.0040245105060326
2021-11-21,2021-11-21T00:00:00Z,0.003747878923829
2021-11-22,2021-11-22T00:00:00Z,0.0053264491679101
2021-11-23,2021-11-23T00:00:00Z,0.0047821342889268
2021-11-24,2021-11-24T00:00:00Z,0.0045948714613575
2021-11-25,2021-11-25T00:00:00Z,0.0045649211520091
2021-11-26,2021-11-26T00:00:00Z,0.0041205707139576
2021-11-27,2021-11-27T00:00:00Z,0.0039937566993339
2021-11-28,2021-11-28T00:00:00Z,0.0040864495781433
2021-11-29,2021-11-29T00:00:00Z,0.0043973671527809
2021-11-30,2021-11-30T00:00:00Z,0.0044257812939358
2021-12-01,2021-12-01T00:00:00Z,0.0050855376755545
2021-12-02,2021-12-02T00:00:00Z,0.003990901772425
2021-12-03,2021-12-03T00:00:00Z,0.0040109740557097
2021-12-04,2021-12-04T00:00:00Z,0.0049116822619433
2021-12-05,2021-12-05T00:00:00Z,0.002956315383294
2021-12-06,2021-12-06T00:00:00Z,0.0038416755007667
2021-12-07,2021-12-07T00:00:00Z,0.0033748847996116
2021-12-08,2021-12-08T00:00:00Z,0.002684930937591
2021-12-09,2021-12-09T00:00:00Z,0.0029579281336671
2021-12-10,2021-12-10T00:00:00Z,0.0026401199197323
2021-12-11,2021-12-11T00:00:00Z,0.0024994456554494
2021-12-12,2021-12-12T00:00:00Z,0.0021153349717393
2021-12-13,2021-12-13T00:00:00Z,0.002594124339177
2021-12-14,2021-12-14T00:00:00Z,0.0027607969746
2021-12-15,2021-12-15T00:00:00Z,0.002983074798879
2021-12-16,2021-12-16T00:00:00Z,0.003089715492255
2021-12-17,2021-12-17T00:00:00Z,0.0029071179313433
2021-12-18,2021-12-18T00:00:00Z,0.0023802006604176
2021-12-19,2021-12-19T00:00:00Z,0.00196567501767
2021-12-20,2021-12-20T00:00:00Z,0.002254726640775
2021-12-21,2021-12-21T00:00:00Z,0.0023996379191361
2021-12-22,2021-12-22T00:00:00Z,0.0025105890199459
2021-12-23,2021-12-23T00:00:00Z,0.0029062650332947
2021-12-24,2021-12-24T00:00:00Z,0.0026015390351367
2021-12-25,2021-12-25T00:00:00Z,0.0029331786065262
2021-12-26,2021-12-26T00:00:00Z,0.0022039553863541
2021-12-27,2021-12-27T00:00:00Z,0.002741624413192
2021-12-28,2021-12-28T00:00:00Z,0.003611716882263
2021-12-29,2021-12-29T00:00:00Z,0.004990923183372
2021-12-30,2021-12-30T00:00:00Z,0.0040785408458426
2021-12-31,2021-12-31T00:00:00Z,0.0036489080588889
2022-01-01,2022-01-01T00:00:00Z,0.0032932798082615
2022-01-02,2022-01-02T00:00:00Z,0.0037872599714201
2022-01-03,2022-01-03T00:00:00Z,0.0040036272911906
2022-01-04,2022-01-04T00:00:00Z,0.0044837457419641
2022-01-05,2022-01-05T00:00:00Z,0.0050231097697561
2022-01-06,2022-01-06T00:00:00Z,0.0048556594303838
2022-01-07,2022-01-07T00:00:00Z,0.0052733448902328
2022-01-08,2022-01-08T00:00:00Z,0.0041693451833219
2022-01-09,2022-01-09T00:00:00Z,0.0057234004032102
2022-01-10,2022-01-10T00:00:00Z,0.0090894313088618
2022-01-11,2022-01-11T00:00:00Z,0.0071398527979251
2022-01-12,2022-01-12T00:00:00Z,0.0065486316031878
2022-01-13,2022-01-13T00:00:00Z,0.006089145668067
2022-01-14,2022-01-14T00:00:00Z,0.0070147025691098
2022-01-15,2022-01-15T00:00:00Z,0.0050485185611488
2022-01-16,2022-01-16T00:00:00Z,0.005014185163491
2022-01-17,2022-01-17T00:00:00Z,0.0051907779036251
2022-01-18,2022-01-18T00:00:00Z,0.0046010947390764
2022-01-19,2022-01-19T00:00:00Z,0.0044463607714462
2022-01-20,2022-01-20T00:00:00Z,0.0048321179337524
2022-01-21,2022-01-21T00:00:00Z,0.0065370485086345
2022-01-22,2022-01-22T00:00:00Z,0.0061074804447118
2022-01-23,2022-01-23T00:00:00Z,0.0047400623268402
2022-01-24,2022-01-24T00:00:00Z,0.0052020760703381
2022-01-25,2022-01-25T00:00:00Z,0.005039831899305
2022-01-26,2022-01-26T00:00:00Z,0.0053246478206698
2022-01-27,2022-01-27T00:00:00Z,0.0059268433496923
2022-01-28,2022-01-28T00:00:00Z,0.0052633868534508
2022-01-29,2022-01-29T00:00:00Z,0.0042840962783545
2022-01-30,2022-01-30T00:00:00Z,0.0039648274095159
2022-01-31,2022-01-31T00:00:00Z,0.0042022806543496
2022-02-01,2022-02-01T00:00:00Z,0.0054421925151285
2022-02-02,2022-02-02T00:00:00Z,0.0053484393823416
2022-02-03,2022-02-03T00:00:00Z,0.004413407419617
2022-02-04,2022-02-04T00:00:00Z,0.0039561272362052
2022-02-05,2022-02-05T00:00:00Z,0.0024876928179671
2022-02-06,2022-02-06T00:00:00Z,0.002586155167869
2022-02-07,2022-02-07T00:00:00Z,0.0042578782909875
2022-02-08,2022-02-08T00:00:00Z,0.0033704382905508
2022-02-09,2022-02-09T00:00:00Z,0.0031392670665415
2022-02-10,2022-02-10T00:00:00Z,0.00315321568695
2022-02-11,2022-02-11T00:00:00Z,0.0025920149693594
2022-02-12,2022-02-12T00:00:00Z,0.0023845520027328
2022-02-13,2022-02-13T00:00:00Z,0.0019545588053023
2022-02-14,2022-02-14T00:00:00Z,0.002101038655779
2022-02-15,2022-02-15T00:00:00Z,0.0023940976029724
2022-02-16,2022-02-16T00:00:00Z,0.0028991269136872
2022-02-17,2022-02-17T00:00:00Z,0.0027351001799576
2022-02-18,2022-02-18T00:00:00Z,0.0038552922291649
2022-02-19,2022-02-19T00:00:00Z,0.002473569877815
2022-02-20,2022-02-20T00:00:00Z,0.0021113447515479
2022-02-21,2022-02-21T00:00:00Z,0.0034895600924292
2022-02-22,2022-02-22T00:00:00Z,0.0032968616332187
2022-02-23,2022-02-23T00:00:00Z,0.0028546953084651
2022-02-24,2022-02-24T00:00:00Z,0.0030996811509699
2022-02-25,2022-02-25T00:00:00Z,0.0020467476583979
2022-02-26,2022-02-26T00:00:00Z,0.0015725540822502
2022-02-27,2022-02-27T00:00:00Z,0.0015745436744195
2022-02-28,2022-02-28T00:00:00Z,0.0023499034584556
2022-03-01,2022-03-01T00:00:00Z,0.0021635063144184
2022-03-02,2022-03-02T00:00:00Z,0.0018893195735342
2022-03-03,2022-03-03T00:00:00Z,0.001757915470983
2022-03-04,2022-03-04T00:00:00Z,0.001612996580077
2022-03-05,2022-03-05T00:00:00Z,0.001270329175416
2022-03-06,2022-03-06T00:00:00Z,0.0012909731614397
2022-03-07,2022-03-07T00:00:00Z,0.001297045241247
2022-03-08,2022-03-08T00:00:00Z,0.0012519601527438
2022-03-09,2022-03-09T00:00:00Z,0.0012796767363274
2022-03-10,2022-03-10T00:00:00Z,0.0011508920660454
2022-03-11,2022-03-11T00:00:00Z,0.0010483626324285
2022-03-12,2022-03-12T00:00:00Z,0.0007610814560139
2022-03-13,2022-03-13T00:00:00Z,0.00096777536436
2022-03-14,2022-03-14T00:00:00Z,0.0010979222319701
2022-03-15,2022-03-15T00:00:00Z,0.0012019531964115
2022-03-16,2022-03-16T00:00:00Z,0.0012672376700907
2022-03-17,2022-03-17T00:00:00Z,0.0019136334666073
2022-03-18,2022-03-18T00:00:00Z,0.0017787751324424
2022-03-19,2022-03-19T00:00:00Z,0.0010961699596643
2022-03-20,2022-03-20T00:00:00Z,0.0008773297773721
2022-03-21,2022-03-21T00:00:00Z,0.0011008847447982
2022-03-22,2022-03-22T00:00:00Z,0.001325768867934
2022-03-23,2022-03-23T00:00:00Z,0.0013112816110178
2022-03-24,2022-03-24T00:00:00Z,0.0016773955692287
2022-03-25,2022-03-25T00:00:00Z,0.0016110959232556
2022-03-26,2022-03-26T00:00:00Z,0.0011194926170187
2022-03-27,2022-03-27T00:00:00Z,0.0011723740049002
2022-03-28,2022-03-28T00:00:00Z,0.0017981980485056
2022-03-29,2022-03-29T00:00:00Z,0.0016346478223717
2022-03-30,2022-03-30T00:00:00Z,0.001830533995395
2022-03-31,2022-03-31T00:00:00Z,0.0018633875261936
2022-04-01,2022-04-01T00:00:00Z,0.002338018119906
2022-04-02,2022-04-02T00:00:00Z,0.002056003257505
2022-04-03,2022-04-03T00:00:00Z,0.0019526022289737
2022-04-04,2022-04-04T00:00:00Z,0.0024363533751587
2022-04-05,2022-04-05T00:00:00Z,0.0027152483784714
2022-04-06,2022-04-06T00:00:00Z,0.00227163091239
2022-04-07,2022-04-07T00:00:00Z,0.0023046906721668
