date,timestamp_utc,Net Unrealized Profit (NUP)
2020-12-31,2020-12-31T00:00:00Z,0.68440472
2021-01-01,2021-01-01T00:00:00Z,0.68348719
2021-01-02,2021-01-02T00:00:00Z,0.707238
2021-01-03,2021-01-03T00:00:00Z,0.71857308
2021-01-04,2021-01-04T00:00:00Z,0.69325823
2021-01-05,2021-01-05T00:00:00Z,0.70915955
2021-01-06,2021-01-06T00:00:00Z,0.71405024
2021-01-07,2021-01-07T00:00:00Z,0.73463692
2021-01-08,2021-01-08T00:00:00Z,0.74069967
2021-01-09,2021-01-09T00:00:00Z,0.73517259
2021-01-10,2021-01-10T00:00:00Z,0.72273088
2021-01-11,2021-01-11T00:00:00Z,0.69371916
2021-01-12,2021-01-12T00:00:00Z,0.67538878
2021-01-13,2021-01-13T00:00:00Z,0.7017464
2021-01-14,2021-01-14T00:00:00Z,0.71685244
2021-01-15,2021-01-15T00:00:00Z,0.68863824
2021-01-16,2021-01-16T00:00:00Z,0.69858546
2021-01-17,2021-01-17T00:00:00Z,0.68451392
2021-01-18,2021-01-18T00:00:00Z,0.69465403
2021-01-19,2021-01-19T00:00:00Z,0.69417806
2021-01-20,2021-01-20T00:00:00Z,0.68207797
2021-01-21,2021-01-21T00:00:00Z,0.65497849
2021-01-22,2021-01-22T00:00:00Z,0.65972471
2021-01-23,2021-01-23T00:00:00Z,0.65228864
2021-01-24,2021-01-24T00:00:00Z,0.65497368
2021-01-25,2021-01-25T00:00:00Z,0.65885106
2021-01-26,2021-01-26T00:00:00Z,0.65673645
2021-01-27,2021-01-27T00:00:00Z,0.63692565
2021-01-28,2021-01-28T00:00:00Z,0.65915078
2021-01-29,2021-01-29T00:00:00Z,0.66416222
2021-01-30,2021-01-30T00:00:00Z,0.66234844
2021-01-31,2021-01-31T00:00:00Z,0.65149665
2021-02-01,2021-02-01T00:00:00Z,0.65377607
2021-02-02,2021-02-02T00:00:00Z,0.66792549
2021-02-03,2021-02-03T00:00:00Z,0.67978277
2021-02-04,2021-02-04T00:00:00Z,0.67521589
2021-02-05,2021-02-05T00:00:00Z,0.67083391
2021-02-06,2021-02-06T00:00:00Z,0.68965968
2021-02-07,2021-02-07T00:00:00Z,0.6850957
2021-02-08,2021-02-08T00:00:00Z,0.7298297
2021-02-09,2021-02-09T00:00:00Z,0.72678004
2021-02-10,2021-02-10T00:00:00Z,0.71841027
2021-02-11,2021-02-11T00:00:00Z,0.72885949
2021-02-12,2021-02-12T00:00:00Z,0.72712753
2021-02-13,2021-02-13T00:00:00Z,0.71763138
2021-02-14,2021-02-14T00:00:00Z,0.73652874
2021-02-15,2021-02-15T00:00:00Z,0.72094104
2021-02-16,2021-02-16T00:00:00Z,0.72530465
2021-02-17,2021-02-17T00:00:00Z,0.73896358
2021-02-18,2021-02-18T00:00:00Z,0.73142423
2021-02-19,2021-02-19T00:00:00Z,0.74551976
2021-02-20,2021-02-20T00:00:00Z,0.74677472
2021-02-21,2021-02-21T00:00:00Z,0.74790715
2021-02-22,2021-02-22T00:00:00Z,0.72004708
2021-02-23,2021-02-23T00:00:00Z,0.70237268
2021-02-24,2021-02-24T00:00:00Z,0.70635149
2021-02-25,2021-02-25T00:00:00Z,0.69484549
2021-02-26,2021-02-26T00:00:00Z,0.68322667
2021-02-27,2021-02-27T00:00:00Z,0.68508216
2021-02-28,2021-02-28T00:00:00Z,0.67387602
2021-03-01,2021-03-01T00:00:00Z,0.69937898
2021-03-02,2021-03-02T00:00:00Z,0.68889867
2021-03-03,2021-03-03T00:00:00Z,0.70272057
2021-03-04,2021-03-04T00:00:00Z,0.69213749
2021-03-05,2021-03-05T00:00:00Z,0.69259096
2021-03-06,2021-03-06T00:00:00Z,0.68949484
2021-03-07,2021-03-07T00:00:00Z,0.70517988
2021-03-08,2021-03-08T00:00:00Z,0.70386402
2021-03-09,2021-03-09T00:00:00Z,0.7111021
2021-03-10,2021-03-10T00:00:00Z,0.72335922
2021-03-11,2021-03-11T00:00:00Z,0.72861971
2021-03-12,2021-03-12T00:00:00Z,0.72313659
2021-03-13,2021-03-13T00:00:00Z,0.73973564
2021-03-14,2021-03-14T00:00:00Z,0.73530495
2021-03-15,2021-03-15T00:00:00Z,0.71180909
2021-03-16,2021-03-16T00:00:00Z,0.70352243
2021-03-17,2021-03-17T00:00:00Z,0.71838699
2021-03-18,2021-03-18T00:00:00Z,0.71948876
2021-03-19,2021-03-19T00:00:00Z,0.71693897
2021-03-20,2021-03-20T00:00:00Z,0.71443117
