date,timestamp_utc,NVT Golden Cross
2020-12-31,2020-12-31T00:00:00Z,0.7230364936351141
2021-01-01,2021-01-01T00:00:00Z,1.0449468570100968
2021-01-02,2021-01-02T00:00:00Z,1.2320579124836817
2021-01-03,2021-01-03T00:00:00Z,1.3762968014463886
2021-01-04,2021-01-04T00:00:00Z,1.6039584044771475
2021-01-05,2021-01-05T00:00:00Z,1.740583184292844
2021-01-06,2021-01-06T00:00:00Z,2.1063864433072785
2021-01-07,2021-01-07T00:00:00Z,2.0755672932465328
2021-01-08,2021-01-08T00:00:00Z,2.002972887924726
2021-01-09,2021-01-09T00:00:00Z,2.036481369552201
2021-01-10,2021-01-10T00:00:00Z,2.2860450494969475
2021-01-11,2021-01-11T00:00:00Z,1.9974373866022253
2021-01-12,2021-01-12T00:00:00Z,1.973781955753924
2021-01-13,2021-01-13T00:00:00Z,2.1604317001924773
2021-01-14,2021-01-14T00:00:00Z,2.183623954133094
2021-01-15,2021-01-15T00:00:00Z,2.3146574382471994
2021-01-16,2021-01-16T00:00:00Z,2.324051057965212
2021-01-17,2021-01-17T00:00:00Z,2.755274180530472
2021-01-18,2021-01-18T00:00:00Z,2.924305542507048
2021-01-19,2021-01-19T00:00:00Z,2.6358723667076456
2021-01-20,2021-01-20T00:00:00Z,2.237503200368954
2021-01-21,2021-01-21T00:00:00Z,2.129797616539349
2021-01-22,2021-01-22T00:00:00Z,2.0799307577209354
2021-01-23,2021-01-23T00:00:00Z,1.759071885507647
2021-01-24,2021-01-24T00:00:00Z,1.605537484957475
2021-01-25,2021-01-25T00:00:00Z,1.0366569817825826
2021-01-26,2021-01-26T00:00:00Z,0.6583215726473101
2021-01-27,2021-01-27T00:00:00Z,-0.1317898740278958
2021-01-28,2021-01-28T00:00:00Z,-0.5349484394255225
2021-01-29,2021-01-29T00:00:00Z,-0.7093054811057308
2021-01-30,2021-01-30T00:00:00Z,-0.7769658734401463
2021-01-31,2021-01-31T00:00:00Z,-0.5326341103889118
2021-02-01,2021-02-01T00:00:00Z,-0.5025661753361095
2021-02-02,2021-02-02T00:00:00Z,-0.7028805440719703
2021-02-03,2021-02-03T00:00:00Z,-0.972998254263352
2021-02-04,2021-02-04T00:00:00Z,-0.784612956253681
2021-02-05,2021-02-05T00:00:00Z,-0.8052646212185618
2021-02-06,2021-02-06T00:00:00Z,-0.6804181462127937
2021-02-07,2021-02-07T00:00:00Z,-0.4788123113766887
